"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":40380}]","40380","instructions","0","40382","0.0-0.0","","","",""
"","null","html-keyboard-response","1","40984","0.0-1.0-0.0","+","null","",""
"","24691","audio-keyboard-response","2","65821","0.0-1.0-1.0","../audio/teste-vocab--14.mp3","n","ler","li"
"","null","html-keyboard-response","3","66324","0.0-1.0-0.1","+","null","",""
"","76611","audio-keyboard-response","4","142956","0.0-1.0-1.1","../audio/teste-vocab--40.mp3","n","bebida","bwason"
"","null","html-keyboard-response","5","143458","0.0-1.0-0.2","+","null","",""
"","21","audio-keyboard-response","6","143772","0.0-1.0-1.2","../audio/teste-vocab--30.mp3","n","pintor","pent"
"","null","html-keyboard-response","7","144293","0.0-1.0-0.3","+","null","",""
"","229","audio-keyboard-response","8","144540","0.0-1.0-1.3","../audio/teste-vocab--125.mp3","n","lamaçal","labou"
"","null","html-keyboard-response","9","145054","0.0-1.0-0.4","+","null","",""
"","25851","audio-keyboard-response","10","170924","0.0-1.0-1.4","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","11","171444","0.0-1.0-0.5","+","null","",""
"","6059","audio-keyboard-response","12","177533","0.0-1.0-1.5","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","13","178034","0.0-1.0-0.6","+","null","",""
"","10240","audio-keyboard-response","14","188284","0.0-1.0-1.6","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","15","188803","0.0-1.0-0.7","+","null","",""
"","4459","audio-keyboard-response","16","193292","0.0-1.0-1.7","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","17","193793","0.0-1.0-0.8","+","null","",""
"","3139","audio-keyboard-response","18","196956","0.0-1.0-1.8","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","19","197463","0.0-1.0-0.9","+","null","",""
"","2440","audio-keyboard-response","20","199916","0.0-1.0-1.9","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","21","200423","0.0-1.0-0.10","+","null","",""
"","2131","audio-keyboard-response","22","202572","0.0-1.0-1.10","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","23","203083","0.0-1.0-0.11","+","null","",""
"","1920","audio-keyboard-response","24","205020","0.0-1.0-1.11","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","25","205534","0.0-1.0-0.12","+","null","",""
"","2021","audio-keyboard-response","26","207580","0.0-1.0-1.12","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","27","208083","0.0-1.0-0.13","+","null","",""
"","2229","audio-keyboard-response","28","210332","0.0-1.0-1.13","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","29","210833","0.0-1.0-0.14","+","null","",""
"","2080","audio-keyboard-response","30","212940","0.0-1.0-1.14","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","31","213453","0.0-1.0-0.15","+","null","",""
"","2120","audio-keyboard-response","32","215596","0.0-1.0-1.15","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","33","216113","0.0-1.0-0.16","+","null","",""
"","2760","audio-keyboard-response","34","218892","0.0-1.0-1.16","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","35","219393","0.0-1.0-0.17","+","null","",""
"","2240","audio-keyboard-response","36","221660","0.0-1.0-1.17","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","37","222163","0.0-1.0-0.18","+","null","",""
"","2539","audio-keyboard-response","38","224732","0.0-1.0-1.18","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","39","225233","0.0-1.0-0.19","+","null","",""
"","2131","audio-keyboard-response","40","227388","0.0-1.0-1.19","../audio/teste-vocab--83.mp3","s","morsa","mòs"
"","null","html-keyboard-response","41","227893","0.0-1.0-0.20","+","null","",""
"","3971","audio-keyboard-response","42","231884","0.0-1.0-1.20","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","43","232403","0.0-1.0-0.21","+","null","",""
"","1789","audio-keyboard-response","44","234220","0.0-1.0-1.21","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","45","234733","0.0-1.0-0.22","+","null","",""
"","2288","audio-keyboard-response","46","237036","0.0-1.0-1.22","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","47","237543","0.0-1.0-0.23","+","null","",""
"","2080","audio-keyboard-response","48","239644","0.0-1.0-1.23","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","49","240163","0.0-1.0-0.24","+","null","",""
