"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":56495},{""page_index"":1,""viewing_time"":1895}]","58391","instructions","0","58392","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","59496","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3731","audio-keyboard-response","2","63616","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","10789","audio-keyboard-response","3","74688","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","7952","audio-keyboard-response","4","82912","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","5920","audio-keyboard-response","5","89103","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","4051","audio-keyboard-response","6","93424","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","7389","audio-keyboard-response","7","101088","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","7672","audio-keyboard-response","8","109024","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","110301","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6149","audio-keyboard-response","10","116731","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","7520","audio-keyboard-response","11","124523","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","4141","audio-keyboard-response","12","128939","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","5709","audio-keyboard-response","13","134923","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","7840","audio-keyboard-response","14","143035","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","4229","audio-keyboard-response","15","147531","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","6149","audio-keyboard-response","16","153963","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","3312","audio-keyboard-response","17","157547","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","20273","html-keyboard-response","18","178071","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":30171}]","30171","instructions","19","208743","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","209851","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","8760","audio-keyboard-response","21","218999","0.0-3.0-1.0","../audio/61-1-masc.mp3"," ","","Aquele","","","",""
"","4128","audio-keyboard-response","22","223414","0.0-3.0-1.1","../audio/61-2-masc.mp3"," ","","senhor","","","",""
"","3219","audio-keyboard-response","23","226902","0.0-3.0-1.2","../audio/61-3-masc.mp3"," ","","é","","","",""
"","4691","audio-keyboard-response","24","231879","0.0-3.0-1.3","../audio/61-4-masc.mp3"," ","","muito","","","",""
"","3909","audio-keyboard-response","25","236071","0.0-3.0-1.4","../audio/61-5-masc.mp3"," ","","sovina","","","",""
"","5469","audio-keyboard-response","26","241817","0.0-3.0-1.5","../audio/61-6-masc.mp3"," ","","e","","","",""
"","3680","audio-keyboard-response","27","245785","0.0-3.0-1.6","../audio/61-7-masc.mp3"," ","","inflexível.","","","",""
"","null","html-keyboard-response","28","247051","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3920","audio-keyboard-response","29","251257","0.0-3.0-1.7","../audio/64-1-fem.mp3"," ","","O","","","",""
"","4872","audio-keyboard-response","30","256409","0.0-3.0-1.8","../audio/64-2-fem.mp3"," ","","dia","","","",""
"","6109","audio-keyboard-response","31","262793","0.0-3.0-1.9","../audio/64-3-fem.mp3"," ","","começou","","","",""
"","5091","audio-keyboard-response","32","268153","0.0-3.0-1.10","../audio/64-4-fem.mp3"," ","","com","","","",""
"","11128","audio-keyboard-response","33","279577","0.0-3.0-1.11","../audio/64-5-fem.mp3"," ","","garoa","","","",""
"","3939","audio-keyboard-response","34","283785","0.0-3.0-1.12","../audio/64-6-fem.mp3"," ","","gelada","","","",""
"","4520","audio-keyboard-response","35","288585","0.0-3.0-1.13","../audio/64-7-fem.mp3"," ","","e","","","",""
"","4051","audio-keyboard-response","36","292921","0.0-3.0-1.14","../audio/64-8-fem.mp3"," ","","leve.","","","",""
"","null","html-keyboard-response","37","294211","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3960","audio-keyboard-response","38","298457","0.0-3.0-1.15","../audio/63-1-fem.mp3"," ","","A","","","",""
"","5149","audio-keyboard-response","39","303887","0.0-3.0-1.16","../audio/63-2-fem.mp3"," ","","chuva","","","",""
"","3120","audio-keyboard-response","40","307279","0.0-3.0-1.17","../audio/63-3-fem.mp3"," ","","entrou","","","",""
"","2829","audio-keyboard-response","41","310383","0.0-3.0-1.18","../audio/63-4-fem.mp3"," ","","pela","","","",""
"","4000","audio-keyboard-response","42","314655","0.0-3.0-1.19","../audio/63-5-fem.mp3"," ","","abertura","","","",""
"","2629","audio-keyboard-response","43","317567","0.0-3.0-1.20","../audio/63-6-fem.mp3"," ","","na","","","",""
"","3051","audio-keyboard-response","44","320910","0.0-3.0-1.21","../audio/63-7-fem.mp3"," ","","janela.","","","",""
"","null","html-keyboard-response","45","322184","0.0-3.0-0.22-0.22","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","18939","audio-keyboard-response","46","341391","0.0-3.0-1.22","../audio/62-1-masc.mp3"," ","","As","","","",""
"","3771","audio-keyboard-response","47","345455","0.0-3.0-1.23","../audio/62-2-masc.mp3"," ","","artesãs","","","",""
"","3560","audio-keyboard-response","48","349295","0.0-3.0-1.24","../audio/62-3-masc.mp3"," ","","gostam","","","",""
"","2659","audio-keyboard-response","49","352223","0.0-3.0-1.25","../audio/62-4-masc.mp3"," ","","de","","","",""
"","4251","audio-keyboard-response","50","356751","0.0-3.0-1.26","../audio/62-5-masc.mp3"," ","","maquiagem","","","",""
"","2640","audio-keyboard-response","51","359663","0.0-3.0-1.27","../audio/62-6-masc.mp3"," ","","e","","","",""
"","2571","audio-keyboard-response","52","362511","0.0-3.0-1.28","../audio/62-7-masc.mp3"," ","","de","","","",""
"","2800","audio-keyboard-response","53","365577","0.0-3.0-1.29","../audio/62-8-masc.mp3"," ","","crochê.","","","",""
"","null","html-keyboard-response","54","366845","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3168","audio-keyboard-response","55","370297","0.0-3.0-1.30","../audio/65-1-fem.mp3"," ","","O","","","",""
"","2800","audio-keyboard-response","56","373369","0.0-3.0-1.31","../audio/65-2-fem.mp3"," ","","fantasma","","","",""
"","3499","audio-keyboard-response","57","377145","0.0-3.0-1.32","../audio/65-3-fem.mp3"," ","","veio","","","",""
"","2720","audio-keyboard-response","58","380137","0.0-3.0-1.33","../audio/65-4-fem.mp3"," ","","da","","","",""
"","4651","audio-keyboard-response","59","385065","0.0-3.0-1.34","../audio/65-5-fem.mp3"," ","","escuridão","","","",""
"","4421","audio-keyboard-response","60","389753","0.0-3.0-1.35","../audio/65-6-fem.mp3"," ","","do","","","",""
"","5899","audio-keyboard-response","61","395945","0.0-3.0-1.36","../audio/65-7-fem.mp3"," ","","armário.","","","",""
"","6176","html-keyboard-response","62","402377","0.0-3.0-2.36-0.36","<span style=""font-size:25px; font-family: monospace"">O fantasma veio da escuridão do armário?</span>","n","","","O fantasma veio da escuridão do armário?","null","exp-sent","false"
"","null","html-keyboard-response","63","403911","0.0-3.0-0.37-0.37","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6899","audio-keyboard-response","64","411097","0.0-3.0-1.37","../audio/18-1-fem.mp3"," ","","O","","","",""
"","4712","audio-keyboard-response","65","416089","0.0-3.0-1.38","../audio/18-2-fem.mp3"," ","","enredo","","","",""
"","3949","audio-keyboard-response","66","420314","0.0-3.0-1.39","../audio/18-3-fem.mp3"," ","","traz","","","",""
"","3531","audio-keyboard-response","67","424121","0.0-3.0-1.40","../audio/18-4-fem.mp3"," ","","um","","","",""
"","5040","audio-keyboard-response","68","429447","0.0-3.0-1.41","../audio/18-5-fem.mp3"," ","","dragão","","","",""
"","4149","audio-keyboard-response","69","433863","0.0-3.0-1.42","../audio/18-6-fem.mp3"," ","","forte","","","",""
"","5611","audio-keyboard-response","70","439751","0.0-3.0-1.43","../audio/18-7-fem.mp3"," ","","e","","","",""
"","4088","audio-keyboard-response","71","444134","0.0-3.0-1.44","../audio/18-8-fem.mp3"," ","","solitário.","","","",""
"","null","html-keyboard-response","72","445398","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3080","audio-keyboard-response","73","448743","0.0-3.0-1.45","../audio/19-1-fem.mp3"," ","","O","","","",""
"","5240","audio-keyboard-response","74","454279","0.0-3.0-1.46","../audio/19-2-fem.mp3"," ","","menino","","","",""
"","3120","audio-keyboard-response","75","457670","0.0-3.0-1.47","../audio/19-3-fem.mp3"," ","","ganhou","","","",""
"","3371","audio-keyboard-response","76","461319","0.0-3.0-1.48","../audio/19-4-fem.mp3"," ","","uma","","","",""
"","3480","audio-keyboard-response","77","465079","0.0-3.0-1.49","../audio/19-5-fem.mp3"," ","","bala","","","",""
"","3040","audio-keyboard-response","78","468390","0.0-3.0-1.50","../audio/19-6-fem.mp3"," ","","depois","","","",""
"","3440","audio-keyboard-response","79","472102","0.0-3.0-1.51","../audio/19-7-fem.mp3"," ","","do","","","",""
"","3669","audio-keyboard-response","80","476055","0.0-3.0-1.52","../audio/19-8-fem.mp3"," ","","almoço.","","","",""
"","null","html-keyboard-response","81","477319","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3640","audio-keyboard-response","82","481238","0.0-3.0-1.53","../audio/17-1-fem.mp3"," ","","Falaram","","","",""
"","6379","audio-keyboard-response","83","487895","0.0-3.0-1.54","../audio/17-2-fem.mp3"," ","","da","","","",""
"","6101","audio-keyboard-response","84","494286","0.0-3.0-1.55","../audio/17-3-fem.mp3"," ","","lei","","","",""
"","5059","audio-keyboard-response","85","499630","0.0-3.0-1.56","../audio/17-4-fem.mp3"," ","","no","","","",""
"","9440","audio-keyboard-response","86","509343","0.0-3.0-1.57","../audio/17-5-fem.mp3"," ","","ministério","","","",""
"","6232","audio-keyboard-response","87","515854","0.0-3.0-1.58","../audio/17-6-fem.mp3"," ","","diversas","","","",""
"","4352","audio-keyboard-response","88","520494","0.0-3.0-1.59","../audio/17-7-fem.mp3"," ","","vezes.","","","",""
"","null","html-keyboard-response","89","521766","0.0-3.0-0.60-0.60","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4899","audio-keyboard-response","90","526942","0.0-3.0-1.60","../audio/16-1-masc.mp3"," ","","Eu","","","",""
"","3912","audio-keyboard-response","91","531134","0.0-3.0-1.61","../audio/16-2-masc.mp3"," ","","nunca","","","",""
"","4451","audio-keyboard-response","92","535854","0.0-3.0-1.62","../audio/16-3-masc.mp3"," ","","conheci","","","",""
"","2739","audio-keyboard-response","93","538862","0.0-3.0-1.63","../audio/16-4-masc.mp3"," ","","um","","","",""
"","4501","audio-keyboard-response","94","543646","0.0-3.0-1.64","../audio/16-5-masc.mp3"," ","","general","","","",""
"","3400","audio-keyboard-response","95","547326","0.0-3.0-1.65","../audio/16-6-masc.mp3"," ","","do","","","",""
"","3149","audio-keyboard-response","96","550750","0.0-3.0-1.66","../audio/16-7-masc.mp3"," ","","exército.","","","",""
"","null","html-keyboard-response","97","552018","0.0-3.0-0.67-0.67","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2992","audio-keyboard-response","98","555286","0.0-3.0-1.67","../audio/20-1-fem.mp3"," ","","O","","","",""
"","5309","audio-keyboard-response","99","560870","0.0-3.0-1.68","../audio/20-2-fem.mp3"," ","","colega","","","",""
"","4251","audio-keyboard-response","100","565399","0.0-3.0-1.69","../audio/20-3-fem.mp3"," ","","parecia","","","",""
"","3080","audio-keyboard-response","101","568758","0.0-3.0-1.70","../audio/20-4-fem.mp3"," ","","muito","","","",""
