"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":554941},{""page_index"":1,""viewing_time"":14016}]","568958","instructions","0","568959","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","570062","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","7180","html-keyboard-response","2","577494","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","10564","html-keyboard-response","3","588310","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1205","html-keyboard-response","4","589765","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1269","html-keyboard-response","5","591285","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","85","html-keyboard-response","6","591621","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","484","html-keyboard-response","7","592357","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","5429","html-keyboard-response","8","598037","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","599289","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","785","html-keyboard-response","10","600325","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","3781","html-keyboard-response","11","604357","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","5973","html-keyboard-response","12","610582","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","4117","html-keyboard-response","13","614949","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","1556","html-keyboard-response","14","616757","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","12532","html-keyboard-response","15","629541","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","741","html-keyboard-response","16","630533","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","19636","html-keyboard-response","17","650421","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","32260","html-keyboard-response","18","682933","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":32938}]","32939","instructions","19","716373","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","717476","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2790","html-keyboard-response","21","720517","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">No</span>"," ","","exp-sent","No","","",""
"","741","html-keyboard-response","22","721509","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">passado</span>"," ","","exp-sent","passado","","",""
"","868","html-keyboard-response","23","722629","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">houve</span>"," ","","exp-sent","houve","","",""
"","724","html-keyboard-response","24","723605","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","853","html-keyboard-response","25","724709","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">rebelião</span>"," ","","exp-sent","rebelião","","",""
"","500","html-keyboard-response","26","725461","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">nesta</span>"," ","","exp-sent","nesta","","",""
"","1317","html-keyboard-response","27","727029","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">cidade.</span>"," ","","exp-sent","cidade.","","",""
"","null","html-keyboard-response","28","728282","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","417","html-keyboard-response","29","728949","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
