"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":1306}]","1306","instructions","0","1307","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","1920","0.0-1.0-0.0","+","null","","","","","",""
"","32897","html-keyboard-response","2","34818","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","35320","0.0-1.0-0.1","+","null","","","","","",""
"","16410","html-keyboard-response","4","51730","0.0-1.0-1.1","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","52233","0.0-1.0-0.2","+","null","","","","","",""
"","6841","html-keyboard-response","6","59074","0.0-1.0-1.2","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","59576","0.0-1.0-0.3","+","null","","","","","",""
"","5066","html-keyboard-response","8","64642","0.0-1.0-1.3","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","65144","0.0-1.0-0.4","+","null","","","","","",""
"","3881","html-keyboard-response","10","69026","0.0-1.0-1.4","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","69528","0.0-1.0-0.5","+","null","","","","","",""
"","9930","html-keyboard-response","12","79458","0.0-1.0-1.5","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","79961","0.0-1.0-0.6","+","null","","","","","",""
"","16840","html-keyboard-response","14","96802","0.0-1.0-1.6","crante","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":39831}]","39832","instructions","15","136634","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","137236","0.0-3.0-0.0","+","null","","","","","",""
"","4173","html-keyboard-response","17","141410","0.0-3.0-1.0","aperor","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","141911","0.0-3.0-0.1","+","null","","","","","",""
"","6955","html-keyboard-response","19","148866","0.0-3.0-1.1","socorro","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","20","149367","0.0-3.0-0.2","+","null","","","","","",""
"","4570","html-keyboard-response","21","153938","0.0-3.0-1.2","verceja","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","154439","0.0-3.0-0.3","+","null","","","","","",""
"","3674","html-keyboard-response","23","158114","0.0-3.0-1.3","perbas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","158614","0.0-3.0-0.4","+","null","","","","","",""
"","2763","html-keyboard-response","25","161378","0.0-3.0-1.4","fratos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","161879","0.0-3.0-0.5","+","null","","","","","",""
"","3594","html-keyboard-response","27","165474","0.0-3.0-1.5","carregar","s","v","noncog","word","S","exp","8"
"","null","html-keyboard-response","28","165975","0.0-3.0-0.6","+","null","","","","","",""
"","3834","html-keyboard-response","29","169810","0.0-3.0-1.6","atitro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","170311","0.0-3.0-0.7","+","null","","","","","",""
"","6378","html-keyboard-response","31","176690","0.0-3.0-1.7","bambu","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","32","177191","0.0-3.0-0.8","+","null","","","","","",""
"","2682","html-keyboard-response","33","179874","0.0-3.0-1.8","destino","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","34","180374","0.0-3.0-0.9","+","null","","","","","",""
"","6107","html-keyboard-response","35","186482","0.0-3.0-1.9","pitada","n","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","36","186983","0.0-3.0-0.10","+","null","","","","","",""
"","3594","html-keyboard-response","37","190578","0.0-3.0-1.10","bancada","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","38","191079","0.0-3.0-0.11","+","null","","","","","",""
"","5802","html-keyboard-response","39","196882","0.0-3.0-1.11","franda","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","197383","0.0-3.0-0.12","+","null","","","","","",""
"","5451","html-keyboard-response","41","202834","0.0-3.0-1.12","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","42","203347","0.0-3.0-0.13","+","null","","","","","",""
"","3487","html-keyboard-response","43","206834","0.0-3.0-1.13","fofo","s","a","noncog","word","S","exp","4"
"","null","html-keyboard-response","44","207335","0.0-3.0-0.14","+","null","","","","","",""
"","5914","html-keyboard-response","45","213250","0.0-3.0-1.14","garastia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","213751","0.0-3.0-0.15","+","null","","","","","",""
"","3307","html-keyboard-response","47","217058","0.0-3.0-1.15","grótis","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","217558","0.0-3.0-0.16","+","null","","","","","",""
"","3099","html-keyboard-response","49","220658","0.0-3.0-1.16","morija","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","221159","0.0-3.0-0.17","+","null","","","","","",""
"","3483","html-keyboard-response","51","224642","0.0-3.0-1.17","telafonir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","225144","0.0-3.0-0.18","+","null","","","","","",""
"","3434","html-keyboard-response","53","228578","0.0-3.0-1.18","trenos","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","229078","0.0-3.0-0.19","+","null","","","","","",""
"","2635","html-keyboard-response","55","231714","0.0-3.0-1.19","pneucania","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","232216","0.0-3.0-0.20","+","null","","","","","",""
"","4329","html-keyboard-response","57","236546","0.0-3.0-1.20","dipata","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","237047","0.0-3.0-0.21","+","null","","","","","",""
"","3546","html-keyboard-response","59","240593","0.0-3.0-1.21","carona","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","60","241094","0.0-3.0-0.22","+","null","","","","","",""
"","3371","html-keyboard-response","61","244466","0.0-3.0-1.22","revista","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","62","244967","0.0-3.0-0.23","+","null","","","","","",""
"","2699","html-keyboard-response","63","247666","0.0-3.0-1.23","espaço","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","64","248167","0.0-3.0-0.24","+","null","","","","","",""
"","2378","html-keyboard-response","65","250545","0.0-3.0-1.24","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","66","251047","0.0-3.0-0.25","+","null","","","","","",""
"","3818","html-keyboard-response","67","254865","0.0-3.0-1.25","undivídio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","255366","0.0-3.0-0.26","+","null","","","","","",""
"","6587","html-keyboard-response","69","261954","0.0-3.0-1.26","nivelado","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","70","262454","0.0-3.0-0.27","+","null","","","","","",""
"","4347","html-keyboard-response","71","266802","0.0-3.0-1.27","rédesa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","72","267303","0.0-3.0-0.28","+","null","","","","","",""
"","2090","html-keyboard-response","73","269393","0.0-3.0-1.28","trair","n","v","cog","word","S","exp","5"
"","null","html-keyboard-response","74","269895","0.0-3.0-0.29","+","null","","","","","",""
"","1115","html-keyboard-response","75","271010","0.0-3.0-1.29","telefone","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","76","271511","0.0-3.0-0.30","+","null","","","","","",""
"","1978","html-keyboard-response","77","273490","0.0-3.0-1.30","aivões","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","78","273991","0.0-3.0-0.31","+","null","","","","","",""
"","1370","html-keyboard-response","79","275362","0.0-3.0-1.31","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","80","275863","0.0-3.0-0.32","+","null","","","","","",""
"","3114","html-keyboard-response","81","278977","0.0-3.0-1.32","loaco","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","82","279479","0.0-3.0-0.33","+","null","","","","","",""
"","4378","html-keyboard-response","83","283858","0.0-3.0-1.33","mania","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","84","284359","0.0-3.0-0.34","+","null","","","","","",""
"","2570","html-keyboard-response","85","286930","0.0-3.0-1.34","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","86","287431","0.0-3.0-0.35","+","null","","","","","",""
"","5274","html-keyboard-response","87","292705","0.0-3.0-1.35","propaganda","n","n","cog","word","S","exp","10"
"","null","html-keyboard-response","88","293207","0.0-3.0-0.36","+","null","","","","","",""
"","2602","html-keyboard-response","89","295810","0.0-3.0-1.36","imitar","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","90","296312","0.0-3.0-0.37","+","null","","","","","",""
"","3018","html-keyboard-response","91","299330","0.0-3.0-1.37","aitrou","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","92","299831","0.0-3.0-0.38","+","null","","","","","",""
"","1722","html-keyboard-response","93","301553","0.0-3.0-1.38","filme","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","94","302054","0.0-3.0-0.39","+","null","","","","","",""
"","3675","html-keyboard-response","95","305730","0.0-3.0-1.39","encelhor","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","96","306231","0.0-3.0-0.40","+","null","","","","","",""
"","2682","html-keyboard-response","97","308913","0.0-3.0-1.40","beima","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","98","309414","0.0-3.0-0.41","+","null","","","","","",""
"","2875","html-keyboard-response","99","312290","0.0-3.0-1.41","ênclio","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","100","312791","0.0-3.0-0.42","+","null","","","","","",""
"","4121","html-keyboard-response","101","316913","0.0-3.0-1.42","farcas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","102","317414","0.0-3.0-0.43","+","null","","","","","",""
"","1979","html-keyboard-response","103","319393","0.0-3.0-1.43","mua","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","319894","0.0-3.0-0.44","+","null","","","","","",""
"","4555","html-keyboard-response","105","324449","0.0-3.0-1.44","animado","s","a","noncog","word","S","exp","7"
"","null","html-keyboard-response","106","324956","0.0-3.0-0.45","+","null","","","","","",""
"","5797","html-keyboard-response","107","330754","0.0-3.0-1.45","gordo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","108","331255","0.0-3.0-0.46","+","null","","","","","",""
"","1594","html-keyboard-response","109","332850","0.0-3.0-1.46","cravo","n","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","110","333351","0.0-3.0-0.47","+","null","","","","","",""
"","4842","html-keyboard-response","111","338193","0.0-3.0-1.47","pega-pega","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","112","338694","0.0-3.0-0.48","+","null","","","","","",""
"","1611","html-keyboard-response","113","340305","0.0-3.0-1.48","civil","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","114","340807","0.0-3.0-0.49","+","null","","","","","",""
"","2026","html-keyboard-response","115","342834","0.0-3.0-1.49","livro","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","116","343335","0.0-3.0-0.50","+","null","","","","","",""
