"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":5752}]","5752","instructions","0","5753","0.0-0.0","",""
"","6683","survey-text","1","12545","0.0-1.0","{""age"":""26""}",""
"","2093","survey-multi-choice","2","14745","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","3765","survey-multi-choice","3","18616","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","3391","survey-multi-choice","4","22112","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","5835","survey-multi-choice","5","28056","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","664999","survey-html-form","6","693160","0.0-6.0","{""language_0"":""CREOLE"",""listening_0"":""2"",""speaking_0"":""4"",""reading_0"":""9"",""writing_0"":""15"",""language_1"":""PORTUGUES"",""listening_1"":""21"",""speaking_1"":""21"",""reading_1"":""24"",""writing_1"":""25"",""language_2"":""FRANCAIS"",""listening_2"":""15"",""speaking_2"":""16"",""reading_2"":""15"",""writing_2"":""17"",""language_3"":""ESPANHOI"",""listening_3"":""15"",""speaking_3"":""16"",""reading_3"":""17"",""writing_3"":""17""}",""
"","275354","survey-html-form","7","968616","0.0-7.0","{""language_3"":""ESP"",""listening_3"":""3"",""speaking_3"":""2"",""reading_3"":""4"",""writing_3"":""6"",""language_1"":""PORT"",""listening_1"":""1"",""speaking_1"":""1"",""reading_1"":""1"",""writing_1"":""1"",""language_2"":""FRAN"",""listening_2"":""15"",""speaking_2"":""16"",""reading_2"":""16"",""writing_2"":""17""}",""
"","13249","survey-text","8","981967","0.0-8.0","{""country_of_origin"":""AYITI""}",""
"","88169","survey-text","9","1070239","0.0-9.0","{""country_of_residence"":""SENMICHEL DE LATALAY""}",""
"","474209","survey-html-form","10","1544551","0.0-10.0","{""country_0"":""BRASIL"",""duration_0"":""2 7MES"",""language_0"":""PORTUGUES"",""frequency_0"":""7"",""country_1"":""AYITI"",""duration_1"":""24 ANOS"",""language_1"":""CREOI"",""frequency_1"":""7"",""country_2"":""AYITI"",""duration_2"":""24"",""language_2"":""FRAN"",""frequency_2"":""5"",""country_3"":""REP DOM"",""duration_3"":""5 ANOS"",""language_3"":""ESPANHOL"",""frequency_3"":""5""}",""
"","106418","survey-html-form","11","1651070","0.0-11.0","{""language_0"":""ESP"",""context_0"":""1"",""language_1"":""PORT"",""context_1"":""1"",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","303554","survey-html-form","12","1954726","0.0-12.0","{""language_0"":""CREOL"",""home_0"":""2"",""friends_0"":""4"",""school_0"":""11"",""work_0"":""15"",""computer_0"":""-"",""games_0"":""-"",""language_1"":""FRAN"",""home_1"":""15"",""friends_1"":""15"",""school_1"":""15"",""work_1"":""-"",""computer_1"":""16"",""games_1"":""-"",""language_2"":""ESP"",""home_2"":""-"",""friends_2"":""16"",""school_2"":""-"",""work_2"":""17"",""computer_2"":""-"",""games_2"":""-"",""language_3"":""PORT"",""home_3"":""24"",""friends_3"":""24"",""school_3"":""-"",""work_3"":""24"",""computer_3"":""-"",""games_3"":""-""}",""
"","61785","survey-likert","13","2016614","0.0-13.0","{""new_languages"":2}","[0]"
"","219146","survey-html-form","14","2235862","0.0-14.0","{""language_0"":""CREOL"",""listen_0"":""6"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""FRA"",""listen_1"":""6"",""talk_1"":""5"",""read_1"":""6"",""write_1"":""7"",""language_2"":""ESP"",""listen_2"":""5"",""talk_2"":""6"",""read_2"":""7"",""write_2"":""5"",""language_3"":""PORT"",""listen_3"":""7"",""talk_3"":""7"",""read_3"":""6"",""write_3"":""6""}",""
"","286721","survey-html-form","15","2522686","0.0-15.0","{""language_0"":""CREOL"",""tv_0"":""1"",""radio_0"":""1/2"",""read_fun_0"":""-"",""read_work_0"":""-"",""write_0"":""-"",""social_nets_0"":""1"",""language_1"":""FRA"",""tv_1"":""10 MIN"",""radio_1"":""1/2"",""read_fun_1"":""20 MIN"",""read_work_1"":""-"",""write_1"":""-"",""social_nets_1"":""-"",""language_2"":""ESP"",""tv_2"":""10 MIN"",""radio_2"":""5 MIN"",""read_fun_2"":""15 MIN"",""read_work_2"":""-"",""write_2"":""-"",""social_nets_2"":""-"",""language_3"":""PORT"",""tv_3"":""1/2"",""radio_3"":""10 MIN"",""read_fun_3"":""15 MIN"",""read_work_3"":""-"",""write_3"":""-"",""social_nets_3"":""-""}",""
"","211393","survey-html-form","16","2734181","0.0-16.0","{""language_0"":""CR"",""family_0"":""30 MIN"",""friends_0"":""20 MIN"",""work_0"":""0"",""school_0"":"""",""language_1"":""PORT"",""family_1"":""0"",""friends_1"":""15 MIN"",""work_1"":""0"",""school_1"":"""",""language_2"":""FRAN"",""family_2"":""10 MIN"",""friends_2"":""15 MIN"",""work_2"":""0"",""school_2"":"""",""language_3"":""ESP"",""family_3"":""0"",""friends_3"":""10 MIN"",""work_3"":""0"",""school_3"":""""}",""
"","178864","survey-html-form","17","2913149","0.0-17.0","{""language_0_0"":""C, P"",""language_0_1"":""C, P"",""language_0_2"":""C F"",""language_0_3"":""F C"",""language_1_0"":""C, F"",""language_1_1"":""C P"",""language_1_2"":""C F"",""language_1_3"":""F C"",""language_2_0"":""C"",""language_2_1"":""C F"",""language_2_2"":""F C"",""language_2_3"":""F C"",""language_3_0"":""P"",""language_3_1"":""C P"",""language_3_2"":""C F"",""language_3_3"":""F C""}",""
"","289187","survey-html-form","18","3202437","0.0-18.0","{""language_2"":""PORT"",""think_2"":""7"",""selftalk_2"":""7"",""emotions_2"":""7"",""dream_2"":""7"",""math_2"":""4"",""remember_2"":""4"",""pray_2"":""7"",""language_1"":""FRAN"",""think_1"":""7"",""selftalk_1"":""4"",""emotions_1"":""7"",""dream_1"":""4"",""math_1"":""4"",""remember_1"":""4"",""pray_1"":""7"",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","15025","survey-multi-choice","19","3217564","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","550","survey-text","20","3218220","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","48505","survey-text","21","3266828","0.0-21.0","{""additional_info"":""aprender inglês""}",""
