"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":17662},{""page_index"":1,""viewing_time"":31808}]","49470","instructions","0","49471","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","50573","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6240","audio-keyboard-response","2","57119","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","2299","audio-keyboard-response","3","59695","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1912","audio-keyboard-response","4","61870","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1739","audio-keyboard-response","5","63886","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1320","audio-keyboard-response","6","65470","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1648","audio-keyboard-response","7","67406","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1400","audio-keyboard-response","8","69070","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","70323","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1019","audio-keyboard-response","10","71614","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1392","audio-keyboard-response","11","73279","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","5309","audio-keyboard-response","12","78862","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","10309","audio-keyboard-response","13","89454","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1051","audio-keyboard-response","14","90782","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1459","audio-keyboard-response","15","92526","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1120","audio-keyboard-response","16","93918","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1368","audio-keyboard-response","17","95566","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","12859","html-keyboard-response","18","108685","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":38414}]","38415","instructions","19","147614","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","148716","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3840","audio-keyboard-response","21","152893","0.0-3.0-1.0","../audio/71-1-masc.mp3"," ","","Minhas","","","",""
"","2440","audio-keyboard-response","22","155597","0.0-3.0-1.1","../audio/71-2-masc.mp3"," ","","comidas","","","",""
"","2120","audio-keyboard-response","23","157981","0.0-3.0-1.2","../audio/71-3-masc.mp3"," ","","favoritas","","","",""
"","2421","audio-keyboard-response","24","160669","0.0-3.0-1.3","../audio/71-4-masc.mp3"," ","","são","","","",""
"","2189","audio-keyboard-response","25","163133","0.0-3.0-1.4","../audio/71-5-masc.mp3"," ","","morango","","","",""
"","1360","audio-keyboard-response","26","164765","0.0-3.0-1.5","../audio/71-6-masc.mp3"," ","","e","","","",""
"","2061","audio-keyboard-response","27","167101","0.0-3.0-1.6","../audio/71-7-masc.mp3"," ","","uva.","","","",""
"","null","html-keyboard-response","28","168357","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1669","audio-keyboard-response","29","170301","0.0-3.0-1.7","../audio/74-1-fem.mp3"," ","","Este","","","",""
"","3059","audio-keyboard-response","30","173646","0.0-3.0-1.8","../audio/74-2-fem.mp3"," ","","emprego","","","",""
"","1688","audio-keyboard-response","31","175597","0.0-3.0-1.9","../audio/74-3-fem.mp3"," ","","é","","","",""
