"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":5847}]","5847","instructions","0","5848","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","6468","0.0-1.0-0.0","+","null","","","","","",""
"","34772","html-keyboard-response","2","41240","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","41741","0.0-1.0-0.1","+","null","","","","","",""
"","12154","html-keyboard-response","4","53895","0.0-1.0-1.1","órgão","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","54396","0.0-1.0-0.2","+","null","","","","","",""
"","3867","html-keyboard-response","6","58263","0.0-1.0-1.2","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","58764","0.0-1.0-0.3","+","null","","","","","",""
"","3786","html-keyboard-response","8","62551","0.0-1.0-1.3","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","63057","0.0-1.0-0.4","+","null","","","","","",""
"","4085","html-keyboard-response","10","67143","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","67645","0.0-1.0-0.5","+","null","","","","","",""
"","4346","html-keyboard-response","12","71991","0.0-1.0-1.5","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","72492","0.0-1.0-0.6","+","null","","","","","",""
"","9499","html-keyboard-response","14","81991","0.0-1.0-1.6","calmaria","n","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":5304}]","5304","instructions","15","87295","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","87897","0.0-3.0-0.0","+","null","","","","","",""
"","6029","html-keyboard-response","17","93927","0.0-3.0-1.0","filosofia","s","n","cog","word","S","exp","9"
"","null","html-keyboard-response","18","94428","0.0-3.0-0.1","+","null","","","","","",""
"","3754","html-keyboard-response","19","98183","0.0-3.0-1.1","azul","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","20","98684","0.0-3.0-0.2","+","null","","","","","",""
"","4922","html-keyboard-response","21","103607","0.0-3.0-1.2","fasdas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","104108","0.0-3.0-0.3","+","null","","","","","",""
