"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":4728}]","4728","instructions","0","4729","0.0-0.0","","","",""
"","null","html-keyboard-response","1","5360","0.0-1.0-0.0","+","null","",""
"","4520","audio-keyboard-response","2","9906","0.0-1.0-1.0","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","3","10410","0.0-1.0-0.1","+","null","",""
"","13661","audio-keyboard-response","4","24097","0.0-1.0-1.1","../audio/teste-vocab--109.mp3","n","anfíbio","anfibyen"
"","null","html-keyboard-response","5","24604","0.0-1.0-0.2","+","null","",""
"","3232","audio-keyboard-response","6","27857","0.0-1.0-1.2","../audio/teste-vocab--110.mp3","s","prodígio","pwodij"
"","null","html-keyboard-response","7","28368","0.0-1.0-0.3","+","null","",""
"","2541","audio-keyboard-response","8","30929","0.0-1.0-1.3","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","9","31430","0.0-1.0-0.4","+","null","",""
"","3051","audio-keyboard-response","10","34497","0.0-1.0-1.4","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","11","34998","0.0-1.0-0.5","+","null","",""
"","2040","audio-keyboard-response","12","37057","0.0-1.0-1.5","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","13","37558","0.0-1.0-0.6","+","null","",""
"","2539","audio-keyboard-response","14","40113","0.0-1.0-1.6","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","15","40616","0.0-1.0-0.7","+","null","",""
"","2480","audio-keyboard-response","16","43105","0.0-1.0-1.7","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","17","43612","0.0-1.0-0.8","+","null","",""
"","2341","audio-keyboard-response","18","45969","0.0-1.0-1.8","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","19","46470","0.0-1.0-0.9","+","null","",""
"","3040","audio-keyboard-response","20","49537","0.0-1.0-1.9","../audio/teste-vocab--51.mp3","n","recolher","kolekte"
"","null","html-keyboard-response","21","50039","0.0-1.0-0.10","+","null","",""
"","3120","audio-keyboard-response","22","53169","0.0-1.0-1.10","../audio/teste-vocab--99.mp3","n","arqueólogo","akeyológ"
"","null","html-keyboard-response","23","53672","0.0-1.0-0.11","+","null","",""
"","2080","audio-keyboard-response","24","55776","0.0-1.0-1.11","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","25","56280","0.0-1.0-0.12","+","null","",""
"","2741","audio-keyboard-response","26","59041","0.0-1.0-1.12","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","27","59551","0.0-1.0-0.13","+","null","",""
"","2909","audio-keyboard-response","28","62480","0.0-1.0-1.13","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","29","62994","0.0-1.0-0.14","+","null","",""
"","1928","audio-keyboard-response","30","64945","0.0-1.0-1.14","../audio/teste-vocab--39.mp3","s","cobra","koulèv"
"","null","html-keyboard-response","31","65457","0.0-1.0-0.15","+","null","",""
"","5440","audio-keyboard-response","32","70929","0.0-1.0-1.15","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","33","71445","0.0-1.0-0.16","+","null","",""
"","1981","audio-keyboard-response","34","73441","0.0-1.0-1.16","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","35","73942","0.0-1.0-0.17","+","null","",""
"","2720","audio-keyboard-response","36","76673","0.0-1.0-1.17","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","37","77176","0.0-1.0-0.18","+","null","",""
"","7829","audio-keyboard-response","38","85025","0.0-1.0-1.18","../audio/teste-vocab--52.mp3","n","construção","konstriksyon"
"","null","html-keyboard-response","39","85531","0.0-1.0-0.19","+","null","",""
"","2501","audio-keyboard-response","40","88049","0.0-1.0-1.19","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","41","88557","0.0-1.0-0.20","+","null","",""
"","1709","audio-keyboard-response","42","90289","0.0-1.0-1.20","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","43","90791","0.0-1.0-0.21","+","null","",""
"","1739","audio-keyboard-response","44","92545","0.0-1.0-1.21","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","45","93056","0.0-1.0-0.22","+","null","",""
"","3920","audio-keyboard-response","46","96993","0.0-1.0-1.22","../audio/teste-vocab--128.mp3","n","incisivo","ensisiv"
"","null","html-keyboard-response","47","97500","0.0-1.0-0.23","+","null","",""
"","43891","audio-keyboard-response","48","141392","0.0-1.0-1.23","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","49","141892","0.0-1.0-0.24","+","null","",""
"","1829","audio-keyboard-response","50","143839","0.0-1.0-1.24","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","51","144350","0.0-1.0-0.25","+","null","",""
"","2440","audio-keyboard-response","52","146832","0.0-1.0-1.25","../audio/teste-vocab--101.mp3","n","incandescente","enkandesan"
"","null","html-keyboard-response","53","147341","0.0-1.0-0.26","+","null","",""
"","1771","audio-keyboard-response","54","149135","0.0-1.0-1.26","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","55","149637","0.0-1.0-0.27","+","null","",""
"","1429","audio-keyboard-response","56","151088","0.0-1.0-1.27","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","57","151590","0.0-1.0-0.28","+","null","",""
"","2040","audio-keyboard-response","58","153647","0.0-1.0-1.28","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","59","154152","0.0-1.0-0.29","+","null","",""
"","2011","audio-keyboard-response","60","156176","0.0-1.0-1.29","../audio/teste-vocab--72.mp3","n","ilha","zile"
"","null","html-keyboard-response","61","156678","0.0-1.0-0.30","+","null","",""
"","3088","audio-keyboard-response","62","159792","0.0-1.0-1.30","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","63","160296","0.0-1.0-0.31","+","null","",""
"","2091","audio-keyboard-response","64","162400","0.0-1.0-1.31","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","65","162904","0.0-1.0-0.32","+","null","",""
"","1949","audio-keyboard-response","66","164880","0.0-1.0-1.32","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","67","165387","0.0-1.0-0.33","+","null","",""
"","2349","audio-keyboard-response","68","167760","0.0-1.0-1.33","../audio/teste-vocab--103.mp3","s","utensílio","istansil"
"","null","html-keyboard-response","69","168264","0.0-1.0-0.34","+","null","",""
"","1629","audio-keyboard-response","70","169920","0.0-1.0-1.34","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","71","170435","0.0-1.0-0.35","+","null","",""
"","3379","audio-keyboard-response","72","173840","0.0-1.0-1.35","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","73","174347","0.0-1.0-0.36","+","null","",""
"","1891","audio-keyboard-response","74","176256","0.0-1.0-1.36","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","75","176765","0.0-1.0-0.37","+","null","",""
"","2512","audio-keyboard-response","76","179295","0.0-1.0-1.37","../audio/teste-vocab--104.mp3","s","ira","pwal"
"","null","html-keyboard-response","77","179808","0.0-1.0-0.38","+","null","",""
"","2941","audio-keyboard-response","78","182768","0.0-1.0-1.38","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","79","183276","0.0-1.0-0.39","+","null","",""
"","1648","audio-keyboard-response","80","184943","0.0-1.0-1.39","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","81","185448","0.0-1.0-0.40","+","null","",""
"","1832","audio-keyboard-response","82","187296","0.0-1.0-1.40","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","83","187806","0.0-1.0-0.41","+","null","",""
"","3152","audio-keyboard-response","84","190975","0.0-1.0-1.41","../audio/teste-vocab--36.mp3","n","grupo","gwoup"
"","null","html-keyboard-response","85","191491","0.0-1.0-0.42","+","null","",""
"","4069","audio-keyboard-response","86","195583","0.0-1.0-1.42","../audio/teste-vocab--118.mp3","s","paralelogramo","paralelogram"
"","null","html-keyboard-response","87","196085","0.0-1.0-0.43","+","null","",""
"","1861","audio-keyboard-response","88","197968","0.0-1.0-1.43","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","89","198477","0.0-1.0-0.44","+","null","",""
"","1819","audio-keyboard-response","90","200320","0.0-1.0-1.44","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","91","200835","0.0-1.0-0.45","+","null","",""
"","2179","audio-keyboard-response","92","203039","0.0-1.0-1.45","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","93","203545","0.0-1.0-0.46","+","null","",""
"","2269","audio-keyboard-response","94","205839","0.0-1.0-1.46","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","95","206346","0.0-1.0-0.47","+","null","",""
"","2939","audio-keyboard-response","96","209311","0.0-1.0-1.47","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","97","209821","0.0-1.0-0.48","+","null","",""
"","3339","audio-keyboard-response","98","213183","0.0-1.0-1.48","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","99","213690","0.0-1.0-0.49","+","null","",""
"","1832","audio-keyboard-response","100","215535","0.0-1.0-1.49","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","101","216051","0.0-1.0-0.50","+","null","",""
"","2352","audio-keyboard-response","102","218415","0.0-1.0-1.50","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","103","218917","0.0-1.0-0.51","+","null","",""
"","2528","audio-keyboard-response","104","221471","0.0-1.0-1.51","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","105","221981","0.0-1.0-0.52","+","null","",""
"","1909","audio-keyboard-response","106","223903","0.0-1.0-1.52","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","107","224407","0.0-1.0-0.53","+","null","",""
"","2008","audio-keyboard-response","108","226431","0.0-1.0-1.53","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","109","226936","0.0-1.0-0.54","+","null","",""
"","1680","audio-keyboard-response","110","228639","0.0-1.0-1.54","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","111","229145","0.0-1.0-0.55","+","null","",""
"","1949","audio-keyboard-response","112","231119","0.0-1.0-1.55","../audio/teste-vocab--76.mp3","s","arquivar","achive"
"","null","html-keyboard-response","113","231632","0.0-1.0-0.56","+","null","",""
"","3120","audio-keyboard-response","114","234767","0.0-1.0-1.56","../audio/teste-vocab--78.mp3","n","quarteto","qwatèt"
"","null","html-keyboard-response","115","235275","0.0-1.0-0.57","+","null","",""
"","4029","audio-keyboard-response","116","239327","0.0-1.0-1.57","../audio/teste-vocab--61.mp3","n","iluminação","iliminasyon"
"","null","html-keyboard-response","117","239838","0.0-1.0-0.58","+","null","",""
"","2328","audio-keyboard-response","118","242191","0.0-1.0-1.58","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","119","242694","0.0-1.0-0.59","+","null","",""
"","2021","audio-keyboard-response","120","244735","0.0-1.0-1.59","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","121","245238","0.0-1.0-0.60","+","null","",""
"","1739","audio-keyboard-response","122","246991","0.0-1.0-1.60","../audio/teste-vocab--32.mp3","s","descascar","dekale"
"","null","html-keyboard-response","123","247503","0.0-1.0-0.61","+","null","",""
"","1301","audio-keyboard-response","124","248815","0.0-1.0-1.61","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","125","249330","0.0-1.0-0.62","+","null","",""
"","5952","audio-keyboard-response","126","255295","0.0-1.0-1.62","../audio/teste-vocab--129.mp3","n","elipse","elips"
