"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":46280},{""page_index"":1,""viewing_time"":11700}]","57980","instructions","0","57986","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","59090","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","8851","audio-keyboard-response","2","68737","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","4651","audio-keyboard-response","3","73738","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","3880","audio-keyboard-response","4","78008","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1171","audio-keyboard-response","5","79515","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","891","audio-keyboard-response","6","80693","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1381","audio-keyboard-response","7","82396","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1829","audio-keyboard-response","8","84529","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","85781","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1880","audio-keyboard-response","10","88092","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1360","audio-keyboard-response","11","89841","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1331","audio-keyboard-response","12","91496","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1088","audio-keyboard-response","13","92891","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1211","audio-keyboard-response","14","94429","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1069","audio-keyboard-response","15","95819","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","912","audio-keyboard-response","16","97039","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1091","audio-keyboard-response","17","98475","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","4784","html-keyboard-response","18","103510","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":10847}]","10847","instructions","19","114859","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","115961","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","251","audio-keyboard-response","21","116555","0.0-3.0-1.0","../audio/12-1-masc.mp3"," ","","O","","","",""
"","4651","audio-keyboard-response","22","121501","0.0-3.0-1.1","../audio/12-2-masc.mp3"," ","","dia","","","",""
"","1080","audio-keyboard-response","23","122958","0.0-3.0-1.2","../audio/12-3-masc.mp3"," ","","estava","","","",""
"","1269","audio-keyboard-response","24","124604","0.0-3.0-1.3","../audio/12-4-masc.mp3"," ","","quente,","","","",""
"","1288","audio-keyboard-response","25","126210","0.0-3.0-1.4","../audio/12-5-masc.mp3"," ","","tranquilo","","","",""
"","709","audio-keyboard-response","26","127217","0.0-3.0-1.5","../audio/12-6-masc.mp3"," ","","e","","","",""
"","1960","audio-keyboard-response","27","129494","0.0-3.0-1.6","../audio/12-7-masc.mp3"," ","","ensolarado.","","","",""
"","null","html-keyboard-response","28","130746","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2299","audio-keyboard-response","29","133446","0.0-3.0-1.7","../audio/11-1-masc.mp3"," ","","Elas","","","",""
"","1008","audio-keyboard-response","30","134805","0.0-3.0-1.8","../audio/11-2-masc.mp3"," ","","gostam","","","",""
"","952","audio-keyboard-response","31","136077","0.0-3.0-1.9","../audio/11-3-masc.mp3"," ","","muito","","","",""
"","829","audio-keyboard-response","32","137216","0.0-3.0-1.10","../audio/11-4-masc.mp3"," ","","de","","","",""
"","2971","audio-keyboard-response","33","140517","0.0-3.0-1.11","../audio/11-5-masc.mp3"," ","","aritmética","","","",""
"","1269","audio-keyboard-response","34","142132","0.0-3.0-1.12","../audio/11-6-masc.mp3"," ","","e","","","",""
"","731","audio-keyboard-response","35","143178","0.0-3.0-1.13","../audio/11-7-masc.mp3"," ","","de","","","",""
"","2280","audio-keyboard-response","36","145823","0.0-3.0-1.14","../audio/11-8-masc.mp3"," ","","leitura.","","","",""
