"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":25369}]","25369","instructions","0","25370","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","25974","0.0-1.0-0.0","+","null","","","","","",""
"","3654","html-keyboard-response","2","29629","0.0-1.0-1.0","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","30131","0.0-1.0-0.1","+","null","","","","","",""
"","2475","html-keyboard-response","4","32607","0.0-1.0-1.1","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","33109","0.0-1.0-0.2","+","null","","","","","",""
"","5784","html-keyboard-response","6","38894","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","39396","0.0-1.0-0.3","+","null","","","","","",""
"","1516","html-keyboard-response","8","40913","0.0-1.0-1.3","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","41415","0.0-1.0-0.4","+","null","","","","","",""
"","2215","html-keyboard-response","10","43631","0.0-1.0-1.4","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","44132","0.0-1.0-0.5","+","null","","","","","",""
"","1209","html-keyboard-response","12","45342","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","45843","0.0-1.0-0.6","+","null","","","","","",""
"","2488","html-keyboard-response","14","48332","0.0-1.0-1.6","crante","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":3497}]","3497","instructions","15","51830","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","52431","0.0-3.0-0.0","+","null","","","","","",""
"","2531","html-keyboard-response","17","54963","0.0-3.0-1.0","salpicado","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","18","55464","0.0-3.0-0.1","+","null","","","","","",""
"","30106","html-keyboard-response","19","85572","0.0-3.0-1.1","ejerro","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","86074","0.0-3.0-0.2","+","null","","","","","",""
"","1456","html-keyboard-response","21","87530","0.0-3.0-1.2","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","22","88032","0.0-3.0-0.3","+","null","","","","","",""
"","17399","html-keyboard-response","23","105432","0.0-3.0-1.3","prenas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","105934","0.0-3.0-0.4","+","null","","","","","",""
"","1180","html-keyboard-response","25","107114","0.0-3.0-1.4","memória","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","26","107616","0.0-3.0-0.5","+","null","","","","","",""
"","3419","html-keyboard-response","27","111036","0.0-3.0-1.5","enxerido","s","a","noncog","word","S","exp","8"
"","null","html-keyboard-response","28","111537","0.0-3.0-0.6","+","null","","","","","",""
"","3064","html-keyboard-response","29","114602","0.0-3.0-1.6","ofreta","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","115103","0.0-3.0-0.7","+","null","","","","","",""
"","1180","html-keyboard-response","31","116284","0.0-3.0-1.7","pedaço","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","32","116785","0.0-3.0-0.8","+","null","","","","","",""
"","12101","html-keyboard-response","33","128887","0.0-3.0-1.8","trair","n","v","cog","word","S","exp","5"
"","null","html-keyboard-response","34","129389","0.0-3.0-0.9","+","null","","","","","",""
"","1441","html-keyboard-response","35","130830","0.0-3.0-1.9","esperar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","36","131332","0.0-3.0-0.10","+","null","","","","","",""
"","1605","html-keyboard-response","37","132938","0.0-3.0-1.10","especial","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","38","133439","0.0-3.0-0.11","+","null","","","","","",""
"","2472","html-keyboard-response","39","135914","0.0-3.0-1.11","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","40","136416","0.0-3.0-0.12","+","null","","","","","",""
"","1978","html-keyboard-response","41","138395","0.0-3.0-1.12","bagunceira","s","a","noncog","word","S","exp","10"
"","null","html-keyboard-response","42","138896","0.0-3.0-0.13","+","null","","","","","",""
"","773","html-keyboard-response","43","139670","0.0-3.0-1.13","país","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","44","140172","0.0-3.0-0.14","+","null","","","","","",""
"","3261","html-keyboard-response","45","143434","0.0-3.0-1.14","irratinte","n","null","noncog","pseudo","N","exp","null"
