"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":16868}]","16869","instructions","0","16872","0.0-0.0","","","",""
"","null","html-keyboard-response","1","17475","0.0-1.0-0.0","+","null","",""
"","3261","audio-keyboard-response","2","20906","0.0-1.0-1.0","../audio/teste-vocab--90.mp3","s","carniça","kanivò"
"","null","html-keyboard-response","3","21408","0.0-1.0-0.1","+","null","",""
"","9021","audio-keyboard-response","4","30586","0.0-1.0-1.1","../audio/teste-vocab--110.mp3","s","prodígio","pwodij"
"","null","html-keyboard-response","5","31087","0.0-1.0-0.2","+","null","",""
"","1299","audio-keyboard-response","6","32523","0.0-1.0-1.2","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","7","33025","0.0-1.0-0.3","+","null","",""
"","1720","audio-keyboard-response","8","34840","0.0-1.0-1.3","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","9","35341","0.0-1.0-0.4","+","null","",""
"","2240","audio-keyboard-response","10","37758","0.0-1.0-1.4","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","11","38259","0.0-1.0-0.5","+","null","",""
"","1349","audio-keyboard-response","12","39747","0.0-1.0-1.5","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","13","40248","0.0-1.0-0.6","+","null","",""
"","1741","audio-keyboard-response","14","42074","0.0-1.0-1.6","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","15","42576","0.0-1.0-0.7","+","null","",""
"","1640","audio-keyboard-response","16","44371","0.0-1.0-1.7","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","17","44872","0.0-1.0-0.8","+","null","",""
"","1811","audio-keyboard-response","18","46881","0.0-1.0-1.8","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","19","47382","0.0-1.0-0.9","+","null","",""
"","1920","audio-keyboard-response","20","49424","0.0-1.0-1.9","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","21","49925","0.0-1.0-0.10","+","null","",""
"","1411","audio-keyboard-response","22","51459","0.0-1.0-1.10","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","23","51960","0.0-1.0-0.11","+","null","",""
"","1288","audio-keyboard-response","24","53403","0.0-1.0-1.11","../audio/teste-vocab--101.mp3","s","incandescente","enkandesan"
"","null","html-keyboard-response","25","53904","0.0-1.0-0.12","+","null","",""
"","1661","audio-keyboard-response","26","55679","0.0-1.0-1.12","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","27","56181","0.0-1.0-0.13","+","null","",""
"","1829","audio-keyboard-response","28","58185","0.0-1.0-1.13","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","29","58686","0.0-1.0-0.14","+","null","",""
"","1771","audio-keyboard-response","30","60630","0.0-1.0-1.14","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","31","61133","0.0-1.0-0.15","+","null","",""
"","1640","audio-keyboard-response","32","62906","0.0-1.0-1.15","../audio/teste-vocab--62.mp3","s","carretel","bobin"
"","null","html-keyboard-response","33","63408","0.0-1.0-0.16","+","null","",""
"","1251","audio-keyboard-response","34","64789","0.0-1.0-1.16","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","35","65290","0.0-1.0-0.17","+","null","",""
"","1349","audio-keyboard-response","36","66722","0.0-1.0-1.17","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","37","67223","0.0-1.0-0.18","+","null","",""
"","1549","audio-keyboard-response","38","68849","0.0-1.0-1.18","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","39","69350","0.0-1.0-0.19","+","null","",""
"","1600","audio-keyboard-response","40","71125","0.0-1.0-1.19","../audio/teste-vocab--85.mp3","s","trio","trio"
