"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":11669}]","11669","instructions","0","11673","0.0-0.0","",""
"","19631","survey-text","1","31409","0.0-1.0","{""age"":""26""}",""
"","2760","survey-multi-choice","2","34272","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","21067","survey-multi-choice","3","55443","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","14398","survey-multi-choice","4","69945","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","5227","survey-multi-choice","5","75276","0.0-5.0","{""father_schooling"":""Ensino Superior completo""}","[0]"
"","177957","survey-html-form","6","253341","0.0-6.0","{""language_0"":""CRIOULA"",""listening_0"":""2 "",""speaking_0"":""2"",""reading_0"":""5"",""writing_0"":""5"",""language_1"":""FRANÇES"",""listening_1"":""2 "",""speaking_1"":""2"",""reading_1"":""5"",""writing_1"":""5"",""language_2"":""PORTUGÛES"",""listening_2"":""21"",""speaking_2"":""21"",""reading_2"":""21"",""writing_2"":""21"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","161889","survey-html-form","7","415336","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""FRANCES"",""listening_1"":""5"",""speaking_1"":""5"",""reading_1"":""3"",""writing_1"":""3"",""language_2"":""PORTUGÛES"",""listening_2"":""1"",""speaking_2"":""1"",""reading_2"":""6 MESES"",""writing_2"":""6 MESES""}",""
"","5981","survey-text","8","421422","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","6817","survey-text","9","428343","0.0-9.0","{""country_of_residence"":""BRASIL""}",""
"","95139","survey-html-form","10","523588","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","38220","survey-html-form","11","561914","0.0-11.0","{""language_0"":""PORTUGÛES"",""context_0"":""2"",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","132943","survey-html-form","12","694960","0.0-12.0","{""language_0"":""CRIOULA"",""home_0"":""2"",""friends_0"":"""",""school_0"":""3"",""work_0"":"""",""computer_0"":"""",""games_0"":"""",""language_1"":""FRANCES"",""home_1"":""2"",""friends_1"":"""",""school_1"":""3"",""work_1"":"""",""computer_1"":"""",""games_1"":"""",""language_2"":""PORTUGUES"",""home_2"":""21"",""friends_2"":""21"",""school_2"":""21"",""work_2"":"""",""computer_2"":""21"",""games_2"":"""",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","16998","survey-likert","13","712063","0.0-13.0","{""new_languages"":5}","[0]"
"","103839","survey-html-form","14","816009","0.0-14.0","{""language_0"":""CRIOULA"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""FRANCES"",""listen_1"":""7"",""talk_1"":""7"",""read_1"":""7"",""write_1"":""7"",""language_2"":""PORTUGUES"",""listen_2"":""5"",""talk_2"":""5"",""read_2"":""5"",""write_2"":""5"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","123802","survey-html-form","15","939917","0.0-15.0","{""language_0"":""CRIOULA"",""tv_0"":"""",""radio_0"":"""",""read_fun_0"":"""",""read_work_0"":"""",""write_0"":"""",""social_nets_0"":""3"",""language_1"":""FRANCES"",""tv_1"":"""",""radio_1"":"""",""read_fun_1"":"""",""read_work_1"":"""",""write_1"":"""",""social_nets_1"":""3"",""language_2"":""PORTUGUES"",""tv_2"":""1"",""radio_2"":""2"",""read_fun_2"":"""",""read_work_2"":""5"",""write_2"":""5"",""social_nets_2"":""3"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","122710","survey-html-form","16","1062734","0.0-16.0","{""language_0"":""CRIOULA"",""family_0"":""2"",""friends_0"":""2"",""work_0"":"""",""school_0"":"""",""language_1"":""FRANCES"",""family_1"":""2"",""friends_1"":""1"",""work_1"":"""",""school_1"":"""",""language_2"":""PORTUGUES"",""family_2"":"""",""friends_2"":""2"",""work_2"":"""",""school_2"":""5"",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","166737","survey-html-form","17","1229576","0.0-17.0","{""language_0_0"":""PORTUGUES"",""language_0_1"":""CRIOULO"",""language_0_2"":""FRANCES"",""language_0_3"":""FRANCES"",""language_1_0"":""CRIOULO"",""language_1_1"":""PORTUGUES"",""language_1_2"":""CRIOULO"",""language_1_3"":""CRIOULO"",""language_2_0"":""PORTUGUES"",""language_2_1"":""PORTUGUES"",""language_2_2"":""PORTUGUES"",""language_2_3"":""PORTUGUES"",""language_3_0"":"""",""language_3_1"":"""",""language_3_2"":"""",""language_3_3"":""""}",""
"","215693","survey-html-form","18","1445377","0.0-18.0","{""language_2"":""PORTUGUES"",""think_2"":""4"",""selftalk_2"":""4"",""emotions_2"":""2"",""dream_2"":""2"",""math_2"":""5"",""remember_2"":""5"",""pray_2"":""4"",""language_1"":""FRANCES"",""think_1"":""5"",""selftalk_1"":""5"",""emotions_1"":""3"",""dream_1"":""4"",""math_1"":""5"",""remember_1"":""5"",""pray_1"":""4"",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","7916","survey-multi-choice","19","1453396","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","7651","survey-text","20","1461152","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","17193","survey-text","21","1478449","0.0-21.0","{""additional_info"":""""}",""
