"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":55961},{""page_index"":1,""viewing_time"":11463}]","67424","instructions","0","67430","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","68556","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4716","html-keyboard-response","2","73529","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","9410","html-keyboard-response","3","83207","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1573","html-keyboard-response","4","85034","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1342","html-keyboard-response","5","86643","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","1186","html-keyboard-response","6","88088","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2553","html-keyboard-response","7","90902","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","2331","html-keyboard-response","8","93496","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","94763","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4424","html-keyboard-response","10","99439","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2287","html-keyboard-response","11","101979","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1588","html-keyboard-response","12","103835","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1183","html-keyboard-response","13","105278","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","955","html-keyboard-response","14","106498","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","1628","html-keyboard-response","15","108390","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","975","html-keyboard-response","16","109618","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2340","html-keyboard-response","17","112214","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","16302","html-keyboard-response","18","128779","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":30300}]","30301","instructions","19","159583","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","160690","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1573","html-keyboard-response","21","162524","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","921","html-keyboard-response","22","163710","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">gosto</span>"," ","","exp-sent","gosto","","",""
"","501","html-keyboard-response","23","164482","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","688","html-keyboard-response","24","165425","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">molho</span>"," ","","exp-sent","molho","","",""
"","1032","html-keyboard-response","25","166722","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">picante</span>"," ","","exp-sent","picante","","",""
"","659","html-keyboard-response","26","167639","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">nas</span>"," ","","exp-sent","nas","","",""
"","1037","html-keyboard-response","27","168935","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">batatas.</span>"," ","","exp-sent","batatas.","","",""
"","null","html-keyboard-response","28","170202","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1500","html-keyboard-response","29","171954","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","910","html-keyboard-response","30","173118","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">pessoas</span>"," ","","exp-sent","pessoas","","",""
"","954","html-keyboard-response","31","174333","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","660","html-keyboard-response","32","175251","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">sua</span>"," ","","exp-sent","sua","","",""
"","1121","html-keyboard-response","33","176625","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">liberdade</span>"," ","","exp-sent","liberdade","","",""
"","962","html-keyboard-response","34","177843","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">até</span>"," ","","exp-sent","até","","",""
"","1163","html-keyboard-response","35","179258","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">certo</span>"," ","","exp-sent","certo","","",""
"","1294","html-keyboard-response","36","180812","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">ponto.</span>"," ","","exp-sent","ponto.","","",""
"","null","html-keyboard-response","37","182078","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","921","html-keyboard-response","38","183254","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","2342","html-keyboard-response","39","185848","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">empresa</span>"," ","","exp-sent","empresa","","",""
"","893","html-keyboard-response","40","187000","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">enviou</span>"," ","","exp-sent","enviou","","",""
"","820","html-keyboard-response","41","188077","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","653","html-keyboard-response","42","188995","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">aviso</span>"," ","","exp-sent","aviso","","",""
"","860","html-keyboard-response","43","190116","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">hoje</span>"," ","","exp-sent","hoje","","",""
"","527","html-keyboard-response","44","190897","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1386","html-keyboard-response","45","192548","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">tarde.</span>"," ","","exp-sent","tarde.","","",""
"","null","html-keyboard-response","46","193817","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1339","html-keyboard-response","47","195418","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1140","html-keyboard-response","48","196809","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">loja</span>"," ","","exp-sent","loja","","",""
"","989","html-keyboard-response","49","198049","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">vende</span>"," ","","exp-sent","vende","","",""
"","848","html-keyboard-response","50","199167","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">tanto</span>"," ","","exp-sent","tanto","","",""
"","2162","html-keyboard-response","51","201595","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">frituras</span>"," ","","exp-sent","frituras","","",""
"","863","html-keyboard-response","52","202728","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">quanto</span>"," ","","exp-sent","quanto","","",""
"","909","html-keyboard-response","53","203891","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">comidas</span>"," ","","exp-sent","comidas","","",""
"","1032","html-keyboard-response","54","205186","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">leves.</span>"," ","","exp-sent","leves.","","",""
"","null","html-keyboard-response","55","206455","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1101","html-keyboard-response","56","207814","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","1028","html-keyboard-response","57","209100","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">cadeiras</span>"," ","","exp-sent","cadeiras","","",""
"","1590","html-keyboard-response","58","210948","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">azuis</span>"," ","","exp-sent","azuis","","",""
"","929","html-keyboard-response","59","212140","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","1034","html-keyboard-response","60","213428","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">sala</span>"," ","","exp-sent","sala","","",""
"","897","html-keyboard-response","61","214596","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">eram</span>"," ","","exp-sent","eram","","",""
