"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":70473},{""page_index"":1,""viewing_time"":9497}]","79970","instructions","0","79974","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","81098","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6541","audio-keyboard-response","2","89108","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1909","audio-keyboard-response","3","91386","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1931","audio-keyboard-response","4","93692","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1149","audio-keyboard-response","5","95205","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1112","audio-keyboard-response","6","96654","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1979","audio-keyboard-response","7","98979","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1440","audio-keyboard-response","8","100784","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","102063","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1432","audio-keyboard-response","10","103856","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1469","audio-keyboard-response","11","105668","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1429","audio-keyboard-response","12","107427","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1408","audio-keyboard-response","13","109177","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1301","audio-keyboard-response","14","110815","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1299","audio-keyboard-response","15","112462","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","952","audio-keyboard-response","16","113736","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2040","audio-keyboard-response","17","116107","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","5132","html-keyboard-response","18","121498","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":7777}]","7777","instructions","19","129781","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","130908","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1672","audio-keyboard-response","21","132927","0.0-3.0-1.0","../audio/37-1-masc.mp3"," ","","Eu","","","",""
