"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":51112}]","51112","instructions","0","51117","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","51735","0.0-1.0-0.0","+","null","","","","","",""
"","5383","html-keyboard-response","2","57121","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","57629","0.0-1.0-0.1","+","null","","","","","",""
"","3431","html-keyboard-response","4","61061","0.0-1.0-1.1","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","61563","0.0-1.0-0.2","+","null","","","","","",""
"","7724","html-keyboard-response","6","69289","0.0-1.0-1.2","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","69793","0.0-1.0-0.3","+","null","","","","","",""
"","3439","html-keyboard-response","8","73235","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","73744","0.0-1.0-0.4","+","null","","","","","",""
"","1156","html-keyboard-response","10","74901","0.0-1.0-1.4","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","75407","0.0-1.0-0.5","+","null","","","","","",""
"","2297","html-keyboard-response","12","77705","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","78211","0.0-1.0-0.6","+","null","","","","","",""
"","1220","html-keyboard-response","14","79434","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":40014}]","40014","instructions","15","119450","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","120069","0.0-3.0-0.0","+","null","","","","","",""
"","4476","html-keyboard-response","17","124549","0.0-3.0-1.0","promeção","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","125059","0.0-3.0-0.1","+","null","","","","","",""
"","1201","html-keyboard-response","19","126263","0.0-3.0-1.1","podilo","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","126771","0.0-3.0-0.2","+","null","","","","","",""
"","1056","html-keyboard-response","21","127828","0.0-3.0-1.2","pedaço","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","22","128330","0.0-3.0-0.3","+","null","","","","","",""
"","1137","html-keyboard-response","23","129470","0.0-3.0-1.3","carregar","s","v","noncog","word","S","exp","8"
"","null","html-keyboard-response","24","129983","0.0-3.0-0.4","+","null","","","","","",""
"","1151","html-keyboard-response","25","131135","0.0-3.0-1.4","lagras","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","131646","0.0-3.0-0.5","+","null","","","","","",""
"","1198","html-keyboard-response","27","132846","0.0-3.0-1.5","hébies","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","133358","0.0-3.0-0.6","+","null","","","","","",""
"","783","html-keyboard-response","29","134142","0.0-3.0-1.6","perdão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","30","134657","0.0-3.0-0.7","+","null","","","","","",""
