"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":4241}]","4242","instructions","0","4247","0.0-0.0","",""
"","14763","survey-text","1","19135","0.0-1.0","{""age"":""35""}",""
"","5348","survey-multi-choice","2","24605","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","9982","survey-multi-choice","3","34702","0.0-3.0","{""own_schooling"":""Ensino Superior completo""}","[0]"
"","44950","survey-multi-choice","4","79766","0.0-4.0","{""mother_schooling"":""Educação infantil""}","[0]"
"","8698","survey-multi-choice","5","88579","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","239247","survey-html-form","6","327941","0.0-6.0","{""language_0"":""crioulo h"",""listening_0"":""1"",""speaking_0"":""3"",""reading_0"":""6"",""writing_0"":""6"",""language_1"":""port"",""listening_1"":""29"",""speaking_1"":""30"",""reading_1"":""30"",""writing_1"":""30"",""language_2"":""fran"",""listening_2"":""9"",""speaking_2"":""9"",""reading_2"":""9"",""writing_2"":""9"",""language_3"":""ing"",""listening_3"":""13"",""speaking_3"":""13"",""reading_3"":""13"",""writing_3"":""13""}",""
"","303398","survey-html-form","7","631449","0.0-7.0","{""language_3"":""ing"",""listening_3"":""3"",""speaking_3"":""4"",""reading_3"":""2"",""writing_3"":""2"",""language_1"":""port"",""listening_1"":""5"",""speaking_1"":""4"",""reading_1"":""2"",""writing_1"":""3"",""language_2"":""fran"",""listening_2"":""2"",""speaking_2"":""1"",""reading_2"":""1,5"",""writing_2"":""2""}",""
"","5837","survey-text","8","637408","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","13223","survey-text","9","650756","0.0-9.0","{""country_of_residence"":""Brasil 2013""}",""
"","13429","survey-html-form","10","664302","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","116317","survey-html-form","11","780732","0.0-11.0","{""language_0"":""port"",""context_0"":""1, 2, 3"",""language_1"":""fran"",""context_1"":""2"",""language_2"":""ing"",""context_2"":""2"",""language_3"":""esp"",""context_3"":""2""}",""
