"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":2409}]","2409","instructions","0","2411","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","3035","0.0-1.0-0.0","+","null","","","","","",""
"","1521","html-keyboard-response","2","4560","0.0-1.0-1.0","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","5070","0.0-1.0-0.1","+","null","","","","","",""
"","1783","html-keyboard-response","4","6854","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","7360","0.0-1.0-0.2","+","null","","","","","",""
"","1653","html-keyboard-response","6","9014","0.0-1.0-1.2","órgão","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","9529","0.0-1.0-0.3","+","null","","","","","",""
"","1906","html-keyboard-response","8","11437","0.0-1.0-1.3","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","11950","0.0-1.0-0.4","+","null","","","","","",""
"","1334","html-keyboard-response","10","13287","0.0-1.0-1.4","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","13792","0.0-1.0-0.5","+","null","","","","","",""
"","1367","html-keyboard-response","12","15161","0.0-1.0-1.5","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","15675","0.0-1.0-0.6","+","null","","","","","",""
"","1304","html-keyboard-response","14","16980","0.0-1.0-1.6","chassi","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":28605}]","28605","instructions","15","45587","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","46207","0.0-3.0-0.0","+","null","","","","","",""
"","2308","html-keyboard-response","17","48515","0.0-3.0-1.0","terdia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","49019","0.0-3.0-0.1","+","null","","","","","",""
"","2375","html-keyboard-response","19","51395","0.0-3.0-1.1","afual","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","51906","0.0-3.0-0.2","+","null","","","","","",""
"","1222","html-keyboard-response","21","53129","0.0-3.0-1.2","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","22","53638","0.0-3.0-0.3","+","null","","","","","",""
"","1446","html-keyboard-response","23","55085","0.0-3.0-1.3","pedaço","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","24","55588","0.0-3.0-0.4","+","null","","","","","",""
"","1118","html-keyboard-response","25","56709","0.0-3.0-1.4","animado","s","a","noncog","word","S","exp","7"
"","null","html-keyboard-response","26","57220","0.0-3.0-0.5","+","null","","","","","",""
"","1692","html-keyboard-response","27","58912","0.0-3.0-1.5","motros","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","59424","0.0-3.0-0.6","+","null","","","","","",""
"","1662","html-keyboard-response","29","61087","0.0-3.0-1.6","alpica","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","61604","0.0-3.0-0.7","+","null","","","","","",""
"","1570","html-keyboard-response","31","63175","0.0-3.0-1.7","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","32","63690","0.0-3.0-0.8","+","null","","","","","",""
"","1425","html-keyboard-response","33","65116","0.0-3.0-1.8","salpicado","n","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","34","65628","0.0-3.0-0.9","+","null","","","","","",""
"","1310","html-keyboard-response","35","66939","0.0-3.0-1.9","tronca","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","67452","0.0-3.0-0.10","+","null","","","","","",""
"","957","html-keyboard-response","37","68412","0.0-3.0-1.10","filme","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","38","68921","0.0-3.0-0.11","+","null","","","","","",""
"","1125","html-keyboard-response","39","70048","0.0-3.0-1.11","apontar","n","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","40","70559","0.0-3.0-0.12","+","null","","","","","",""
"","1403","html-keyboard-response","41","71964","0.0-3.0-1.12","âgnulo","s","null","noncog","pseudo","N","exp","null"
