"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":11965}]","11965","instructions","0","11970","0.0-0.0","","","",""
"","null","html-keyboard-response","1","12596","0.0-1.0-0.0","+","null","",""
"","17371","audio-keyboard-response","2","30307","0.0-1.0-1.0","../audio/teste-vocab--61.mp3","n","iluminação","iliminasyon"
"","null","html-keyboard-response","3","30821","0.0-1.0-0.1","+","null","",""
"","7549","audio-keyboard-response","4","38436","0.0-1.0-1.1","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","5","38952","0.0-1.0-0.2","+","null","",""
"","7309","audio-keyboard-response","6","46355","0.0-1.0-1.2","../audio/teste-vocab--76.mp3","n","arquivar","achive"
"","null","html-keyboard-response","7","46872","0.0-1.0-0.3","+","null","",""
"","2891","audio-keyboard-response","8","49833","0.0-1.0-1.3","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","9","50337","0.0-1.0-0.4","+","null","",""
"","2632","audio-keyboard-response","10","53048","0.0-1.0-1.4","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","11","53552","0.0-1.0-0.5","+","null","",""
"","5331","audio-keyboard-response","12","58949","0.0-1.0-1.5","../audio/teste-vocab--110.mp3","n","prodígio","pwodij"
"","null","html-keyboard-response","13","59462","0.0-1.0-0.6","+","null","",""
"","2589","audio-keyboard-response","14","62116","0.0-1.0-1.6","../audio/teste-vocab--99.mp3","n","arqueólogo","akeyológ"
"","null","html-keyboard-response","15","62622","0.0-1.0-0.7","+","null","",""
"","1859","audio-keyboard-response","16","64542","0.0-1.0-1.7","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","17","65062","0.0-1.0-0.8","+","null","",""
"","3909","audio-keyboard-response","18","69044","0.0-1.0-1.8","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","19","69557","0.0-1.0-0.9","+","null","",""
"","27120","audio-keyboard-response","20","96763","0.0-1.0-1.9","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","21","97272","0.0-1.0-0.10","+","null","",""
"","2480","audio-keyboard-response","22","99824","0.0-1.0-1.10","../audio/teste-vocab--07.mp3","s","abajur","lanp"
