"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":116482},{""page_index"":1,""viewing_time"":9872}]","126355","instructions","0","126354","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","127457","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4357","html-keyboard-response","2","132066","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","2147","html-keyboard-response","3","134465","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1508","html-keyboard-response","4","136225","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1572","html-keyboard-response","5","138049","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","1189","html-keyboard-response","6","139489","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","4341","html-keyboard-response","7","144081","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","4805","html-keyboard-response","8","149137","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","150389","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2769","html-keyboard-response","10","153409","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2085","html-keyboard-response","11","155745","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1948","html-keyboard-response","12","157953","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1413","html-keyboard-response","13","159617","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","1237","html-keyboard-response","14","161105","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","4580","html-keyboard-response","15","165937","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","1205","html-keyboard-response","16","167393","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1717","html-keyboard-response","17","169361","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","61732","html-keyboard-response","18","231345","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":20388}]","20388","instructions","19","252233","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","253335","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2526","html-keyboard-response","21","256112","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Este</span>"," ","","exp-sent","Este","","",""
"","1716","html-keyboard-response","22","258080","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">conto</span>"," ","","exp-sent","conto","","",""
"","1269","html-keyboard-response","23","259600","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">tem</span>"," ","","exp-sent","tem","","",""
"","1189","html-keyboard-response","24","261040","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1685","html-keyboard-response","25","262976","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">final</span>"," ","","exp-sent","final","","",""
"","1701","html-keyboard-response","26","264928","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">perfeito.</span>"," ","","exp-sent","perfeito.","","",""
"","null","html-keyboard-response","27","266179","0.0-3.0-0.6-0.6","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1602","html-keyboard-response","28","268032","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","1333","html-keyboard-response","29","269616","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">precisa</span>"," ","","exp-sent","precisa","","",""
"","1333","html-keyboard-response","30","271200","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1221","html-keyboard-response","31","272672","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1941","html-keyboard-response","32","274864","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">protetor</span>"," ","","exp-sent","protetor","","",""
"","1093","html-keyboard-response","33","276208","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","2084","html-keyboard-response","34","278544","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">ouvido.</span>"," ","","exp-sent","ouvido.","","",""
"","null","html-keyboard-response","35","279796","0.0-3.0-0.13-0.13","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1680","html-keyboard-response","36","281728","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">Os</span>"," ","","exp-sent","Os","","",""
"","2805","html-keyboard-response","37","284784","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">hábitos</span>"," ","","exp-sent","hábitos","","",""
"","821","html-keyboard-response","38","285856","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1589","html-keyboard-response","39","287696","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">lugares</span>"," ","","exp-sent","lugares","","",""
"","1749","html-keyboard-response","40","289696","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">diferentes</span>"," ","","exp-sent","diferentes","","",""
"","1221","html-keyboard-response","41","291168","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">são</span>"," ","","exp-sent","são","","",""
"","1765","html-keyboard-response","42","293184","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">muito</span>"," ","","exp-sent","muito","","",""
"","1157","html-keyboard-response","43","294592","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">lindos.</span>"," ","","exp-sent","lindos.","","",""
"","null","html-keyboard-response","44","295844","0.0-3.0-0.21-0.21","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2367","html-keyboard-response","45","298464","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","1285","html-keyboard-response","46","300000","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">médico</span>"," ","","exp-sent","médico","","",""
"","2406","html-keyboard-response","47","302656","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">corrigiu</span>"," ","","exp-sent","corrigiu","","",""
"","949","html-keyboard-response","48","303857","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1957","html-keyboard-response","49","306064","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">postura</span>"," ","","exp-sent","postura","","",""
"","1253","html-keyboard-response","50","307568","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">das</span>"," ","","exp-sent","das","","",""
"","1173","html-keyboard-response","51","308992","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">costas</span>"," ","","exp-sent","costas","","",""
"","1173","html-keyboard-response","52","310415","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","8821","html-keyboard-response","53","319488","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">pessoa.</span>"," ","","exp-sent","pessoa.","","",""
"","null","html-keyboard-response","54","320739","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1777","html-keyboard-response","55","322767","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">Aquele</span>"," ","","exp-sent","Aquele","","",""
"","1077","html-keyboard-response","56","324095","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">era</span>"," ","","exp-sent","era","","",""
"","885","html-keyboard-response","57","325231","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1317","html-keyboard-response","58","326799","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">caso</span>"," ","","exp-sent","caso","","",""
"","1109","html-keyboard-response","59","328159","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">real</span>"," ","","exp-sent","real","","",""
"","1045","html-keyboard-response","60","329455","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","2149","html-keyboard-response","61","331855","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">sequestro</span>"," ","","exp-sent","sequestro","","",""
"","11029","html-keyboard-response","62","343135","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">premeditado.</span>"," ","","comp","premeditado.","","",""
"","131749","html-keyboard-response","63","475132","0.0-3.0-2.37-0.37","<span style=""font-size:30px; font-family: monospace"">Aquele era um caso real de roubo?</span>","s","","comp","","Aquele era um caso real de roubo?","não","false"
"","null","html-keyboard-response","64","476635","0.0-3.0-0.38-0.38","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3079","html-keyboard-response","65","479965","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">Minha</span>"," ","","exp-sent","Minha","","",""
"","1189","html-keyboard-response","66","481405","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">prima</span>"," ","","exp-sent","prima","","",""
"","1716","html-keyboard-response","67","483372","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">trocou</span>"," ","","exp-sent","trocou","","",""
"","1125","html-keyboard-response","68","484749","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1125","html-keyboard-response","69","486125","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">tela</span>"," ","","exp-sent","tela","","",""
"","1061","html-keyboard-response","70","487437","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">do</span>"," ","","exp-sent","do","","",""
"","1748","html-keyboard-response","71","489437","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">celular</span>"," ","","exp-sent","celular","","",""
"","1269","html-keyboard-response","72","490957","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">duas</span>"," ","","exp-sent","duas","","",""
"","4885","html-keyboard-response","73","496092","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">vezes.</span>"," ","","exp-sent","vezes.","","",""
"","null","html-keyboard-response","74","497344","0.0-3.0-0.47-0.47","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1265","html-keyboard-response","75","498861","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">Agora</span>"," ","","exp-sent","Agora","","",""
"","885","html-keyboard-response","76","499997","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1077","html-keyboard-response","77","501325","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">minha</span>"," ","","exp-sent","minha","","",""
"","1701","html-keyboard-response","78","503276","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">única</span>"," ","","exp-sent","única","","",""
"","1893","html-keyboard-response","79","505421","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">preocupação</span>"," ","","exp-sent","preocupação","","",""
"","868","html-keyboard-response","80","506541","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","948","html-keyboard-response","81","507741","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","2516","html-keyboard-response","82","510509","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">descanso</span>"," ","","exp-sent","descanso","","",""
"","1973","html-keyboard-response","83","512732","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">tranquilo.</span>"," ","","exp-sent","tranquilo.","","",""
"","null","html-keyboard-response","84","513984","0.0-3.0-0.56-0.56","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1234","html-keyboard-response","85","515469","0.0-3.0-1.56","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1493","html-keyboard-response","86","517213","0.0-3.0-1.57","<span style=""font-size:30px; font-family: monospace"">criança</span>"," ","","exp-sent","criança","","",""
"","1268","html-keyboard-response","87","518732","0.0-3.0-1.58","<span style=""font-size:30px; font-family: monospace"">ganhou</span>"," ","","exp-sent","ganhou","","",""
"","1173","html-keyboard-response","88","520157","0.0-3.0-1.59","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1557","html-keyboard-response","89","521965","0.0-3.0-1.60","<span style=""font-size:30px; font-family: monospace"">presente</span>"," ","","exp-sent","presente","","",""
"","2421","html-keyboard-response","90","524637","0.0-3.0-1.61","<span style=""font-size:30px; font-family: monospace"">maravilhoso.</span>"," ","","exp-sent","maravilhoso.","","",""
"","null","html-keyboard-response","91","525889","0.0-3.0-0.62-0.62","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1040","html-keyboard-response","92","527181","0.0-3.0-1.62","<span style=""font-size:30px; font-family: monospace"">Os</span>"," ","","exp-sent","Os","","",""
"","1621","html-keyboard-response","93","529052","0.0-3.0-1.63","<span style=""font-size:30px; font-family: monospace"">bichos</span>"," ","","exp-sent","bichos","","",""
"","1606","html-keyboard-response","94","530909","0.0-3.0-1.64","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","1493","html-keyboard-response","95","532653","0.0-3.0-1.65","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","3093","html-keyboard-response","96","535996","0.0-3.0-1.66","<span style=""font-size:30px; font-family: monospace"">instinto</span>"," ","","exp-sent","instinto","","",""
"","901","html-keyboard-response","97","537148","0.0-3.0-1.67","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","5061","html-keyboard-response","98","542460","0.0-3.0-1.68","<span style=""font-size:30px; font-family: monospace"">sobrevivência</span>"," ","","exp-sent","sobrevivência","","",""
"","1269","html-keyboard-response","99","543980","0.0-3.0-1.69","<span style=""font-size:30px; font-family: monospace"">forte.</span>"," ","","exp-sent","forte.","","",""
"","null","html-keyboard-response","100","545232","0.0-3.0-0.70-0.70","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2368","html-keyboard-response","101","547852","0.0-3.0-1.70","<span style=""font-size:30px; font-family: monospace"">Aquele</span>"," ","","exp-sent","Aquele","","",""
"","1509","html-keyboard-response","102","549612","0.0-3.0-1.71","<span style=""font-size:30px; font-family: monospace"">menino</span>"," ","","exp-sent","menino","","",""
"","1205","html-keyboard-response","103","551068","0.0-3.0-1.72","<span style=""font-size:30px; font-family: monospace"">alto</span>"," ","","exp-sent","alto","","",""
"","1350","html-keyboard-response","104","552668","0.0-3.0-1.73","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","2357","html-keyboard-response","105","555276","0.0-3.0-1.74","<span style=""font-size:30px; font-family: monospace"">exibido</span>"," ","","exp-sent","exibido","","",""
"","2837","html-keyboard-response","106","558364","0.0-3.0-1.75","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","1829","html-keyboard-response","107","560444","0.0-3.0-1.76","<span style=""font-size:30px; font-family: monospace"">sovina.</span>"," ","","comp","sovina.","","",""
"","43654","html-keyboard-response","108","604347","0.0-3.0-2.76-0.76","<span style=""font-size:30px; font-family: monospace"">Aquele menino é humilde?</span>","n","","comp","","Aquele menino é humilde?","não","false"
"","null","html-keyboard-response","109","605848","0.0-3.0-0.77-0.77","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1960","html-keyboard-response","110","608059","0.0-3.0-1.77","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1632","html-keyboard-response","111","609947","0.0-3.0-1.78","<span style=""font-size:30px; font-family: monospace"">senhora</span>"," ","","exp-sent","senhora","","",""
"","8085","html-keyboard-response","112","618283","0.0-3.0-1.79","<span style=""font-size:30px; font-family: monospace"">cumprimentou</span>"," ","","exp-sent","cumprimentou","","",""
"","1365","html-keyboard-response","113","619899","0.0-3.0-1.80","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","3525","html-keyboard-response","114","623675","0.0-3.0-1.81","<span style=""font-size:30px; font-family: monospace"">operador</span>"," ","","exp-sent","operador","","",""
"","1061","html-keyboard-response","115","624987","0.0-3.0-1.82","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1476","html-keyboard-response","116","626714","0.0-3.0-1.83","<span style=""font-size:30px; font-family: monospace"">caixa.</span>"," ","","exp-sent","caixa.","","",""
"","null","html-keyboard-response","117","627965","0.0-3.0-0.84-0.84","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1235","html-keyboard-response","118","629451","0.0-3.0-1.84","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1285","html-keyboard-response","119","630987","0.0-3.0-1.85","<span style=""font-size:30px; font-family: monospace"">gente</span>"," ","","exp-sent","gente","","",""
"","1589","html-keyboard-response","120","632827","0.0-3.0-1.86","<span style=""font-size:30px; font-family: monospace"">viu</span>"," ","","exp-sent","viu","","",""
"","1045","html-keyboard-response","121","634123","0.0-3.0-1.87","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","4725","html-keyboard-response","122","639099","0.0-3.0-1.88","<span style=""font-size:30px; font-family: monospace"">eclipse</span>"," ","","exp-sent","eclipse","","",""
"","2248","html-keyboard-response","123","641611","0.0-3.0-1.89","<span style=""font-size:30px; font-family: monospace"">lunar</span>"," ","","exp-sent","lunar","","",""
"","3029","html-keyboard-response","124","644891","0.0-3.0-1.90","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","1012","html-keyboard-response","125","646155","0.0-3.0-1.91","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1798","html-keyboard-response","126","648203","0.0-3.0-1.92","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","127","649455","0.0-3.0-0.93-0.93","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","833","html-keyboard-response","128","650539","0.0-3.0-1.93","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
