"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":2441},{""page_index"":1,""viewing_time"":1864}]","4306","instructions","0","4306","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","5425","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6411","audio-keyboard-response","2","12114","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","7440","audio-keyboard-response","3","19825","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1800","audio-keyboard-response","4","21905","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2261","audio-keyboard-response","5","24449","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1299","audio-keyboard-response","6","26017","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1819","audio-keyboard-response","7","28113","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1299","audio-keyboard-response","8","29697","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","30975","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1701","audio-keyboard-response","10","32961","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1560","audio-keyboard-response","11","34801","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1651","audio-keyboard-response","12","36721","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","2341","audio-keyboard-response","13","39329","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1528","audio-keyboard-response","14","41137","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
