"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":2892}]","2892","instructions","0","2893","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","3515","0.0-1.0-0.0","+","null","","","","","",""
"","50496","html-keyboard-response","2","54011","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","54512","0.0-1.0-0.1","+","null","","","","","",""
"","15466","html-keyboard-response","4","69979","0.0-1.0-1.1","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","70480","0.0-1.0-0.2","+","null","","","","","",""
"","2570","html-keyboard-response","6","73051","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","73552","0.0-1.0-0.3","+","null","","","","","",""
"","5242","html-keyboard-response","8","78795","0.0-1.0-1.3","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","9","79296","0.0-1.0-0.4","+","null","","","","","",""
"","2330","html-keyboard-response","10","81627","0.0-1.0-1.4","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","82128","0.0-1.0-0.5","+","null","","","","","",""
"","6890","html-keyboard-response","12","89019","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","89519","0.0-1.0-0.6","+","null","","","","","",""
"","3467","html-keyboard-response","14","92987","0.0-1.0-1.6","crante","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":27576}]","27576","instructions","15","120563","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","121164","0.0-3.0-0.0","+","null","","","","","",""
"","5342","html-keyboard-response","17","126507","0.0-3.0-1.0","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","18","127008","0.0-3.0-0.1","+","null","","","","","",""
"","3066","html-keyboard-response","19","130075","0.0-3.0-1.1","berquesa","s","null","noncog","pseudo","N","exp","null"
