"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":31032}]","31033","instructions","0","31034","0.0-0.0","","","",""
"","null","html-keyboard-response","1","31644","0.0-1.0-0.0","+","null","",""
"","9208","audio-keyboard-response","2","40890","0.0-1.0-1.0","../audio/teste-vocab--128.mp3","s","incisivo","ensisiv"
"","null","html-keyboard-response","3","41401","0.0-1.0-0.1","+","null","",""
"","3120","audio-keyboard-response","4","44537","0.0-1.0-1.1","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","5","45051","0.0-1.0-0.2","+","null","",""
"","2280","audio-keyboard-response","6","47353","0.0-1.0-1.2","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","7","47871","0.0-1.0-0.3","+","null","",""
"","4880","audio-keyboard-response","8","52777","0.0-1.0-1.3","../audio/teste-vocab--78.mp3","n","quarteto","qwatèt"
"","null","html-keyboard-response","9","53281","0.0-1.0-0.4","+","null","",""
"","2811","audio-keyboard-response","10","56121","0.0-1.0-1.4","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","11","56631","0.0-1.0-0.5","+","null","",""
"","2061","audio-keyboard-response","12","58713","0.0-1.0-1.5","../audio/teste-vocab--68.mp3","s","surpreendido","sezi"
"","null","html-keyboard-response","13","59231","0.0-1.0-0.6","+","null","",""
"","2061","audio-keyboard-response","14","61305","0.0-1.0-1.6","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","15","61811","0.0-1.0-0.7","+","null","",""
"","2120","audio-keyboard-response","16","63945","0.0-1.0-1.7","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","17","64451","0.0-1.0-0.8","+","null","",""
"","2080","audio-keyboard-response","18","66553","0.0-1.0-1.8","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","19","67061","0.0-1.0-0.9","+","null","",""
"","3589","audio-keyboard-response","20","70665","0.0-1.0-1.9","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","21","71171","0.0-1.0-0.10","+","null","",""
"","2080","audio-keyboard-response","22","73273","0.0-1.0-1.10","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","23","73781","0.0-1.0-0.11","+","null","",""
"","1992","audio-keyboard-response","24","75801","0.0-1.0-1.11","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","25","76311","0.0-1.0-0.12","+","null","",""
"","2072","audio-keyboard-response","26","78393","0.0-1.0-1.12","../audio/teste-vocab--91.mp3","s","bússola","bousòl"
"","null","html-keyboard-response","27","78901","0.0-1.0-0.13","+","null","",""
"","1749","audio-keyboard-response","28","80665","0.0-1.0-1.13","../audio/teste-vocab--41.mp3","s","médico","doktè,"
