"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":18615},{""page_index"":1,""viewing_time"":4848}]","23463","instructions","0","23464","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","24578","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6038","html-keyboard-response","2","30880","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","3588","html-keyboard-response","3","34720","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","3556","html-keyboard-response","4","38528","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","3269","html-keyboard-response","5","42048","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","2836","html-keyboard-response","6","45136","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","3285","html-keyboard-response","7","48672","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","3157","html-keyboard-response","8","52080","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","53332","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1585","html-keyboard-response","10","55168","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","4661","html-keyboard-response","11","60080","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","3172","html-keyboard-response","12","63504","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","2917","html-keyboard-response","13","66671","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","3973","html-keyboard-response","14","70895","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","5652","html-keyboard-response","15","76799","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","3045","html-keyboard-response","16","80095","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","4660","html-keyboard-response","17","85007","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","9973","html-keyboard-response","18","95231","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":12075}]","12075","instructions","19","107808","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","108909","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2167","html-keyboard-response","21","111327","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Ursos</span>"," ","","exp-sent","Ursos","","",""
"","2325","html-keyboard-response","22","113903","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","2577","html-keyboard-response","23","116735","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","2965","html-keyboard-response","24","119951","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">patada</span>"," ","","exp-sent","patada","","",""
"","3877","html-keyboard-response","25","124079","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">brutal</span>"," ","","exp-sent","brutal","","",""
"","2741","html-keyboard-response","26","127071","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","6005","html-keyboard-response","27","133327","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">poderosa.</span>"," ","","exp-sent","poderosa.","","",""
"","null","html-keyboard-response","28","134579","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1425","html-keyboard-response","29","136255","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","1845","html-keyboard-response","30","138351","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">fiz</span>"," ","","exp-sent","fiz","","",""
"","2933","html-keyboard-response","31","141535","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">aulas</span>"," ","","exp-sent","aulas","","",""
"","2533","html-keyboard-response","32","144319","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","3269","html-keyboard-response","33","147839","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">espanhol</span>"," ","","exp-sent","espanhol","","",""
"","2981","html-keyboard-response","34","151071","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">nesta</span>"," ","","exp-sent","nesta","","",""
"","3253","html-keyboard-response","35","154575","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">cidade.</span>"," ","","exp-sent","cidade.","","",""
"","null","html-keyboard-response","36","155826","0.0-3.0-0.14-0.14","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1057","html-keyboard-response","37","157135","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","1941","html-keyboard-response","38","159327","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">comprou</span>"," ","","exp-sent","comprou","","",""
"","1733","html-keyboard-response","39","161311","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">mais</span>"," ","","exp-sent","mais","","",""
"","1445","html-keyboard-response","40","163007","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","1573","html-keyboard-response","41","164831","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">esponja</span>"," ","","exp-sent","esponja","","",""
"","2469","html-keyboard-response","42","167551","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","2149","html-keyboard-response","43","169951","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2932","html-keyboard-response","44","173135","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">cozinha.</span>"," ","","exp-sent","cozinha.","","",""
"","null","html-keyboard-response","45","174388","0.0-3.0-0.22-0.22","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1137","html-keyboard-response","46","175775","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","2136","html-keyboard-response","47","178162","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">teve</span>"," ","","exp-sent","teve","","",""
"","2755","html-keyboard-response","48","181167","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","4500","html-keyboard-response","49","185919","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">sono</span>"," ","","exp-sent","sono","","",""
"","4294","html-keyboard-response","50","190463","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">bizarro</span>"," ","","exp-sent","bizarro","","",""
"","2869","html-keyboard-response","51","193583","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">sem</span>"," ","","exp-sent","sem","","",""
"","2813","html-keyboard-response","52","196655","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">nenhum</span>"," ","","exp-sent","nenhum","","",""
"","3557","html-keyboard-response","53","200463","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">motivo.</span>"," ","","exp-sent","motivo.","","",""
"","null","html-keyboard-response","54","201715","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1442","html-keyboard-response","55","203407","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1749","html-keyboard-response","56","205407","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">moça</span>"," ","","exp-sent","moça","","",""
"","1780","html-keyboard-response","57","207439","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">comprou</span>"," ","","exp-sent","comprou","","",""
"","1845","html-keyboard-response","58","209535","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","1653","html-keyboard-response","59","211439","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">diamante</span>"," ","","exp-sent","diamante","","",""
"","2293","html-keyboard-response","60","213983","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","1699","html-keyboard-response","61","215935","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">sua</span>"," ","","exp-sent","sua","","",""
"","1316","html-keyboard-response","62","217503","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">prima.</span>"," ","","comp","prima.","","",""
"","11077","html-keyboard-response","63","228831","0.0-3.0-2.37-0.37","<span style=""font-size:30px; font-family: monospace"">A moça comprou um diamante?</span>","s","","comp","","A moça comprou um diamante?","sim","false"
"","null","html-keyboard-response","64","230335","0.0-3.0-0.38-0.38","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1477","html-keyboard-response","65","232063","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","3904","html-keyboard-response","66","236223","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">força</span>"," ","","exp-sent","força","","",""
"","2965","html-keyboard-response","67","239439","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">d'água</span>"," ","","exp-sent","d'água","","",""
"","2693","html-keyboard-response","68","242383","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","2758","html-keyboard-response","69","245407","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">normal</span>"," ","","exp-sent","normal","","",""
"","2773","html-keyboard-response","70","248431","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">naquele</span>"," ","","exp-sent","naquele","","",""
"","2421","html-keyboard-response","71","251102","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">dia.</span>"," ","","exp-sent","dia.","","",""
"","null","html-keyboard-response","72","252368","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1251","html-keyboard-response","73","253870","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","2326","html-keyboard-response","74","256446","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">médica</span>"," ","","exp-sent","médica","","",""
"","3652","html-keyboard-response","75","260350","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">ofereceu</span>"," ","","exp-sent","ofereceu","","",""
"","1765","html-keyboard-response","76","262366","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2517","html-keyboard-response","77","265134","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">pomada</span>"," ","","exp-sent","pomada","","",""
"","2117","html-keyboard-response","78","267502","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","2192","html-keyboard-response","79","269950","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","2661","html-keyboard-response","80","272863","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">avô.</span>"," ","","exp-sent","avô.","","",""
"","null","html-keyboard-response","81","274115","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","591","html-keyboard-response","82","274958","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","2357","html-keyboard-response","83","277566","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">conversou</span>"," ","","exp-sent","conversou","","",""
"","1717","html-keyboard-response","84","279534","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","965","html-keyboard-response","85","280750","0.0-3.0-1.56","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1093","html-keyboard-response","86","282094","0.0-3.0-1.57","<span style=""font-size:30px; font-family: monospace"">patrão</span>"," ","","exp-sent","patrão","","",""
"","1558","html-keyboard-response","87","283902","0.0-3.0-1.58","<span style=""font-size:30px; font-family: monospace"">durante</span>"," ","","exp-sent","durante","","",""
"","2340","html-keyboard-response","88","286494","0.0-3.0-1.59","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1317","html-keyboard-response","89","288062","0.0-3.0-1.60","<span style=""font-size:30px; font-family: monospace"">tarde.</span>"," ","","exp-sent","tarde.","","",""
"","null","html-keyboard-response","90","289314","0.0-3.0-0.61-0.61","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","274","html-keyboard-response","91","289838","0.0-3.0-1.61","<span style=""font-size:30px; font-family: monospace"">Algumas</span>"," ","","exp-sent","Algumas","","",""
"","1493","html-keyboard-response","92","291582","0.0-3.0-1.62","<span style=""font-size:30px; font-family: monospace"">pessoas</span>"," ","","exp-sent","pessoas","","",""
"","2037","html-keyboard-response","93","293870","0.0-3.0-1.63","<span style=""font-size:30px; font-family: monospace"">acreditam</span>"," ","","exp-sent","acreditam","","",""
"","1429","html-keyboard-response","94","295550","0.0-3.0-1.64","<span style=""font-size:30px; font-family: monospace"">em</span>"," ","","exp-sent","em","","",""
"","1253","html-keyboard-response","95","297054","0.0-3.0-1.65","<span style=""font-size:30px; font-family: monospace"">espíritos</span>"," ","","exp-sent","espíritos","","",""
"","1813","html-keyboard-response","96","299118","0.0-3.0-1.66","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","1588","html-keyboard-response","97","300958","0.0-3.0-1.67","<span style=""font-size:30px; font-family: monospace"">em</span>"," ","","exp-sent","em","","",""
"","1510","html-keyboard-response","98","302718","0.0-3.0-1.68","<span style=""font-size:30px; font-family: monospace"">outras</span>"," ","","exp-sent","outras","","",""
"","2100","html-keyboard-response","99","305070","0.0-3.0-1.69","<span style=""font-size:30px; font-family: monospace"">vidas.</span>"," ","","exp-sent","vidas.","","",""
"","null","html-keyboard-response","100","306322","0.0-3.0-0.70-0.70","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","433","html-keyboard-response","101","307006","0.0-3.0-1.70","<span style=""font-size:30px; font-family: monospace"">Ela</span>"," ","","exp-sent","Ela","","",""
"","933","html-keyboard-response","102","308190","0.0-3.0-1.71","<span style=""font-size:30px; font-family: monospace"">gosta</span>"," ","","exp-sent","gosta","","",""
"","2390","html-keyboard-response","103","310830","0.0-3.0-1.72","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1125","html-keyboard-response","104","312206","0.0-3.0-1.73","<span style=""font-size:30px; font-family: monospace"">estudar</span>"," ","","exp-sent","estudar","","",""
"","1492","html-keyboard-response","105","313950","0.0-3.0-1.74","<span style=""font-size:30px; font-family: monospace"">matemática</span>"," ","","exp-sent","matemática","","",""
"","965","html-keyboard-response","106","315166","0.0-3.0-1.75","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","1750","html-keyboard-response","107","317166","0.0-3.0-1.76","<span style=""font-size:30px; font-family: monospace"">colegas.</span>"," ","","comp","colegas.","","",""
"","10949","html-keyboard-response","108","328367","0.0-3.0-2.76-0.76","<span style=""font-size:30px; font-family: monospace"">Ela gosta de estudar física?</span>","n","","comp","","Ela gosta de estudar física?","não","false"
"","null","html-keyboard-response","109","329869","0.0-3.0-0.77-0.77","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2086","html-keyboard-response","110","332206","0.0-3.0-1.77","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1877","html-keyboard-response","111","334334","0.0-3.0-1.78","<span style=""font-size:30px; font-family: monospace"">motorista</span>"," ","","exp-sent","motorista","","",""
"","1717","html-keyboard-response","112","336302","0.0-3.0-1.79","<span style=""font-size:30px; font-family: monospace"">fez</span>"," ","","exp-sent","fez","","",""
"","1029","html-keyboard-response","113","337582","0.0-3.0-1.80","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1316","html-keyboard-response","114","339150","0.0-3.0-1.81","<span style=""font-size:30px; font-family: monospace"">retorno</span>"," ","","exp-sent","retorno","","",""
"","2900","html-keyboard-response","115","342302","0.0-3.0-1.82","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","2037","html-keyboard-response","116","344590","0.0-3.0-1.83","<span style=""font-size:30px; font-family: monospace"">cuidado.</span>"," ","","exp-sent","cuidado.","","",""
"","null","html-keyboard-response","117","345842","0.0-3.0-0.84-0.84","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1360","html-keyboard-response","118","347454","0.0-3.0-1.84","<span style=""font-size:30px; font-family: monospace"">Contos</span>"," ","","exp-sent","Contos","","",""
"","1701","html-keyboard-response","119","349406","0.0-3.0-1.85","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
