"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":3052},{""page_index"":1,""viewing_time"":2977}]","6029","instructions","0","6030","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","7156","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9949","audio-keyboard-response","2","17709","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1619","audio-keyboard-response","3","19597","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1429","audio-keyboard-response","4","21292","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","829","audio-keyboard-response","5","22396","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","979","audio-keyboard-response","6","23628","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1069","audio-keyboard-response","7","24957","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1008","audio-keyboard-response","8","26237","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","27512","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1048","audio-keyboard-response","10","28829","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1179","audio-keyboard-response","11","30268","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1069","audio-keyboard-response","12","31596","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1008","audio-keyboard-response","13","32877","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","909","audio-keyboard-response","14","34045","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","931","audio-keyboard-response","15","35244","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","712","audio-keyboard-response","16","36220","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1091","audio-keyboard-response","17","37564","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","6549","html-keyboard-response","18","44364","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":12372}]","12372","instructions","19","57252","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","58361","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2840","audio-keyboard-response","21","61483","0.0-3.0-1.0","../audio/77-1-fem.mp3"," ","","A","","","",""
"","1360","audio-keyboard-response","22","63147","0.0-3.0-1.1","../audio/77-2-fem.mp3"," ","","criança","","","",""
"","1088","audio-keyboard-response","23","64508","0.0-3.0-1.2","../audio/77-3-fem.mp3"," ","","ficou","","","",""
"","2080","audio-keyboard-response","24","66907","0.0-3.0-1.3","../audio/77-4-fem.mp3"," ","","muito","","","",""
"","1051","audio-keyboard-response","25","68252","0.0-3.0-1.4","../audio/77-5-fem.mp3"," ","","feliz","","","",""
"","779","audio-keyboard-response","26","69308","0.0-3.0-1.5","../audio/77-6-fem.mp3"," ","","com","","","",""
"","880","audio-keyboard-response","27","70459","0.0-3.0-1.6","../audio/77-7-fem.mp3"," ","","o","","","",""
"","1021","audio-keyboard-response","28","71772","0.0-3.0-1.7","../audio/77-8-fem.mp3"," ","","brinquedo.","","","",""
"","null","html-keyboard-response","29","73044","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
