"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":8601}]","8601","instructions","0","8601","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","9205","0.0-1.0-0.0","+","null","","","","","",""
"","55539","html-keyboard-response","2","64744","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","65246","0.0-1.0-0.1","+","null","","","","","",""
"","43562","html-keyboard-response","4","108809","0.0-1.0-1.1","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","109309","0.0-1.0-0.2","+","null","","","","","",""
"","37291","html-keyboard-response","6","146601","0.0-1.0-1.2","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","147102","0.0-1.0-0.3","+","null","","","","","",""
"","37674","html-keyboard-response","8","184777","0.0-1.0-1.3","calmaria","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","185278","0.0-1.0-0.4","+","null","","","","","",""
"","10666","html-keyboard-response","10","195945","0.0-1.0-1.4","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","196446","0.0-1.0-0.5","+","null","","","","","",""
"","9978","html-keyboard-response","12","206425","0.0-1.0-1.5","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","206926","0.0-1.0-0.6","+","null","","","","","",""
"","9067","html-keyboard-response","14","215993","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":8280}]","8280","instructions","15","224273","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","224874","0.0-3.0-0.0","+","null","","","","","",""
"","4014","html-keyboard-response","17","228889","0.0-3.0-1.0","ótimo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","18","229390","0.0-3.0-0.1","+","null","","","","","",""
"","5291","html-keyboard-response","19","234681","0.0-3.0-1.1","nevela","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","235182","0.0-3.0-0.2","+","null","","","","","",""
"","4154","html-keyboard-response","21","239337","0.0-3.0-1.2","bagunceira","s","a","noncog","word","S","exp","10"
"","null","html-keyboard-response","22","239839","0.0-3.0-0.3","+","null","","","","","",""
"","9002","html-keyboard-response","23","248841","0.0-3.0-1.3","perdão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","24","249342","0.0-3.0-0.4","+","null","","","","","",""
"","11323","html-keyboard-response","25","260665","0.0-3.0-1.4","dacada","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","261166","0.0-3.0-0.5","+","null","","","","","",""
"","5450","html-keyboard-response","27","266617","0.0-3.0-1.5","fasdas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","267118","0.0-3.0-0.6","+","null","","","","","",""
"","5162","html-keyboard-response","29","272280","0.0-3.0-1.6","animado","s","a","noncog","word","S","exp","7"
"","null","html-keyboard-response","30","272781","0.0-3.0-0.7","+","null","","","","","",""
"","3627","html-keyboard-response","31","276409","0.0-3.0-1.7","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","32","276909","0.0-3.0-0.8","+","null","","","","","",""
"","18523","html-keyboard-response","33","295433","0.0-3.0-1.8","dencosto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","295934","0.0-3.0-0.9","+","null","","","","","",""
"","8347","html-keyboard-response","35","304281","0.0-3.0-1.9","bambu","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","36","304782","0.0-3.0-0.10","+","null","","","","","",""
"","25274","html-keyboard-response","37","330056","0.0-3.0-1.10","distraído","n","a","cog","word","S","exp","9"
