"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":59131}]","59131","instructions","0","59130","0.0-0.0","","","",""
"","null","html-keyboard-response","1","59732","0.0-1.0-0.0","+","null","",""
"","30301","audio-keyboard-response","2","90282","0.0-1.0-1.0","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","3","90801","0.0-1.0-0.1","+","null","",""
"","141611","audio-keyboard-response","4","232421","0.0-1.0-1.1","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","5","232923","0.0-1.0-0.2","+","null","",""
"","5349","audio-keyboard-response","6","238629","0.0-1.0-1.2","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","7","239133","0.0-1.0-0.3","+","null","",""
"","2720","audio-keyboard-response","8","241877","0.0-1.0-1.3","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","9","242393","0.0-1.0-0.4","+","null","",""
"","4931","audio-keyboard-response","10","247346","0.0-1.0-1.4","../audio/teste-vocab--101.mp3","s","incandescente","enkandesan"
"","null","html-keyboard-response","11","247858","0.0-1.0-0.5","+","null","",""
"","17651","audio-keyboard-response","12","265523","0.0-1.0-1.5","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","13","266040","0.0-1.0-0.6","+","null","",""
"","5440","audio-keyboard-response","14","271507","0.0-1.0-1.6","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","15","272015","0.0-1.0-0.7","+","null","",""
"","7760","audio-keyboard-response","16","279795","0.0-1.0-1.7","../audio/teste-vocab--103.mp3","s","utensílio","istansil"
"","null","html-keyboard-response","17","280310","0.0-1.0-0.8","+","null","",""
"","5280","audio-keyboard-response","18","285602","0.0-1.0-1.8","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","19","286120","0.0-1.0-0.9","+","null","",""
"","8069","audio-keyboard-response","20","294211","0.0-1.0-1.9","../audio/teste-vocab--110.mp3","n","prodígio","pwodij"
"","null","html-keyboard-response","21","294720","0.0-1.0-0.10","+","null","",""
"","6491","audio-keyboard-response","22","301235","0.0-1.0-1.10","../audio/teste-vocab--04.mp3","n","roda","wonn"
"","null","html-keyboard-response","23","301740","0.0-1.0-0.11","+","null","",""
"","4299","audio-keyboard-response","24","306059","0.0-1.0-1.11","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","25","306562","0.0-1.0-0.12","+","null","",""
"","9280","audio-keyboard-response","26","315867","0.0-1.0-1.12","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","27","316382","0.0-1.0-0.13","+","null","",""
"","2888","audio-keyboard-response","28","319291","0.0-1.0-1.13","../audio/teste-vocab--64.mp3","s","colher","kiyè"
"","null","html-keyboard-response","29","319792","0.0-1.0-0.14","+","null","",""
"","7432","audio-keyboard-response","30","327243","0.0-1.0-1.14","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","31","327762","0.0-1.0-0.15","+","null","",""
"","2571","audio-keyboard-response","32","330363","0.0-1.0-1.15","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","33","330872","0.0-1.0-0.16","+","null","",""
"","8920","audio-keyboard-response","34","339819","0.0-1.0-1.16","../audio/teste-vocab--74.mp3","s","desilusão","dezilizyon"
"","null","html-keyboard-response","35","340332","0.0-1.0-0.17","+","null","",""
"","3299","audio-keyboard-response","36","343643","0.0-1.0-1.17","../audio/teste-vocab--104.mp3","s","ira","pwal"
"","null","html-keyboard-response","37","344162","0.0-1.0-0.18","+","null","",""
"","5040","audio-keyboard-response","38","349227","0.0-1.0-1.18","../audio/teste-vocab--57.mp3","n","raiz","rasin"
"","null","html-keyboard-response","39","349738","0.0-1.0-0.19","+","null","",""
"","3549","audio-keyboard-response","40","353306","0.0-1.0-1.19","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","41","353822","0.0-1.0-0.20","+","null","",""
"","8741","audio-keyboard-response","42","362587","0.0-1.0-1.20","../audio/teste-vocab--97.mp3","s","frágil","frajil"
"","null","html-keyboard-response","43","363102","0.0-1.0-0.21","+","null","",""
"","8029","audio-keyboard-response","44","371147","0.0-1.0-1.21","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","45","371663","0.0-1.0-0.22","+","null","",""
"","11541","audio-keyboard-response","46","383228","0.0-1.0-1.22","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","47","383743","0.0-1.0-0.23","+","null","",""
"","13280","audio-keyboard-response","48","397052","0.0-1.0-1.23","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","49","397563","0.0-1.0-0.24","+","null","",""
"","5739","audio-keyboard-response","50","403324","0.0-1.0-1.24","../audio/teste-vocab--35.mp3","n","líquido","likid"
"","null","html-keyboard-response","51","403833","0.0-1.0-0.25","+","null","",""
"","29192","audio-keyboard-response","52","433036","0.0-1.0-1.25","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","53","433544","0.0-1.0-0.26","+","null","",""
"","3261","audio-keyboard-response","54","436828","0.0-1.0-1.26","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","55","437344","0.0-1.0-0.27","+","null","",""
"","12928","audio-keyboard-response","56","450284","0.0-1.0-1.27","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","57","450794","0.0-1.0-0.28","+","null","",""
"","4792","audio-keyboard-response","58","455596","0.0-1.0-1.28","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","59","456114","0.0-1.0-0.29","+","null","",""
"","4221","audio-keyboard-response","60","460348","0.0-1.0-1.29","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","61","460864","0.0-1.0-0.30","+","null","",""
"","7520","audio-keyboard-response","62","468412","0.0-1.0-1.30","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","63","468913","0.0-1.0-0.31","+","null","",""
"","16131","audio-keyboard-response","64","485068","0.0-1.0-1.31","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","65","485574","0.0-1.0-0.32","+","null","",""
"","24699","audio-keyboard-response","66","510294","0.0-1.0-1.32","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","67","510798","0.0-1.0-0.33","+","null","",""
"","6669","audio-keyboard-response","68","517494","0.0-1.0-1.33","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","69","518007","0.0-1.0-0.34","+","null","",""
"","10000","audio-keyboard-response","70","528022","0.0-1.0-1.34","../audio/teste-vocab--88.mp3","n","portátil","pòtab"
"","null","html-keyboard-response","71","528538","0.0-1.0-0.35","+","null","",""
"","2459","audio-keyboard-response","72","531014","0.0-1.0-1.35","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","73","531518","0.0-1.0-0.36","+","null","",""
"","3141","audio-keyboard-response","74","534678","0.0-1.0-1.36","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","75","535188","0.0-1.0-0.37","+","null","",""
"","2811","audio-keyboard-response","76","538022","0.0-1.0-1.37","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","77","538527","0.0-1.0-0.38","+","null","",""
"","2469","audio-keyboard-response","78","541014","0.0-1.0-1.38","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","79","541517","0.0-1.0-0.39","+","null","",""
"","10149","audio-keyboard-response","80","551686","0.0-1.0-1.39","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","81","552197","0.0-1.0-0.40","+","null","",""
"","11579","audio-keyboard-response","82","563798","0.0-1.0-1.40","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","83","564318","0.0-1.0-0.41","+","null","",""
"","5200","audio-keyboard-response","84","569542","0.0-1.0-1.41","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","85","570058","0.0-1.0-0.42","+","null","",""
"","4040","audio-keyboard-response","86","574123","0.0-1.0-1.42","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","87","574642","0.0-1.0-0.43","+","null","",""
"","2491","audio-keyboard-response","88","577163","0.0-1.0-1.43","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","89","577672","0.0-1.0-0.44","+","null","",""
"","13440","audio-keyboard-response","90","591131","0.0-1.0-1.44","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","91","591632","0.0-1.0-0.45","+","null","",""
"","5440","audio-keyboard-response","92","597083","0.0-1.0-1.45","../audio/teste-vocab--79.mp3","n","moldura"," chanbranl"
"","null","html-keyboard-response","93","597602","0.0-1.0-0.46","+","null","",""
"","4981","audio-keyboard-response","94","602603","0.0-1.0-1.46","../audio/teste-vocab--58.mp3","s","nutritivo","nourisan"
"","null","html-keyboard-response","95","603105","0.0-1.0-0.47","+","null","",""
"","7232","audio-keyboard-response","96","610363","0.0-1.0-1.47","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","97","610872","0.0-1.0-0.48","+","null","",""
"","11491","audio-keyboard-response","98","622379","0.0-1.0-1.48","../audio/teste-vocab--83.mp3","s","morsa","mòs"
"","null","html-keyboard-response","99","622882","0.0-1.0-0.49","+","null","",""
"","2611","audio-keyboard-response","100","625514","0.0-1.0-1.49","../audio/teste-vocab--69.mp3","s","pingar","degoute"
"","null","html-keyboard-response","101","626032","0.0-1.0-0.50","+","null","",""
"","1920","audio-keyboard-response","102","627979","0.0-1.0-1.50","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","103","628492","0.0-1.0-0.51","+","null","",""
