"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":34426},{""page_index"":1,""viewing_time"":2776}]","37202","instructions","0","37203","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","38304","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","15139","audio-keyboard-response","2","53803","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","24869","audio-keyboard-response","3","78955","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","22512","audio-keyboard-response","4","101739","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","5699","audio-keyboard-response","5","107722","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","8221","audio-keyboard-response","6","116219","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","8099","audio-keyboard-response","7","124594","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","7101","audio-keyboard-response","8","131970","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","133226","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6400","audio-keyboard-response","10","139906","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","10541","audio-keyboard-response","11","150722","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","44629","audio-keyboard-response","12","195626","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","3560","audio-keyboard-response","13","199545","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","9768","audio-keyboard-response","14","209594","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","4541","audio-keyboard-response","15","214409","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","5181","audio-keyboard-response","16","219866","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2851","audio-keyboard-response","17","222985","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","40187","html-keyboard-response","18","263433","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":25956}]","25956","instructions","19","289889","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","290992","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4960","audio-keyboard-response","21","296553","0.0-3.0-1.0","../audio/22-1-masc.mp3"," ","","Eu","","","",""
"","3192","audio-keyboard-response","22","300025","0.0-3.0-1.1","../audio/22-2-masc.mp3"," ","","detesto","","","",""
"","2640","audio-keyboard-response","23","302937","0.0-3.0-1.2","../audio/22-3-masc.mp3"," ","","fumaça","","","",""
"","2669","audio-keyboard-response","24","305880","0.0-3.0-1.3","../audio/22-4-masc.mp3"," ","","de","","","",""
"","2629","audio-keyboard-response","25","308792","0.0-3.0-1.4","../audio/22-5-masc.mp3"," ","","cachimbo","","","",""
"","1819","audio-keyboard-response","26","310888","0.0-3.0-1.5","../audio/22-6-masc.mp3"," ","","e","","","",""
"","2520","audio-keyboard-response","27","313672","0.0-3.0-1.6","../audio/22-7-masc.mp3"," ","","de","","","",""
"","2400","audio-keyboard-response","28","316360","0.0-3.0-1.7","../audio/22-8-masc.mp3"," ","","cigarro.","","","",""
"","null","html-keyboard-response","29","317619","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2240","audio-keyboard-response","30","320136","0.0-3.0-1.8","../audio/24-1-fem.mp3"," ","","As","","","",""
"","2699","audio-keyboard-response","31","323128","0.0-3.0-1.9","../audio/24-2-fem.mp3"," ","","crianças","","","",""
"","2400","audio-keyboard-response","32","325800","0.0-3.0-1.10","../audio/24-3-fem.mp3"," ","","vão","","","",""
"","2101","audio-keyboard-response","33","328184","0.0-3.0-1.11","../audio/24-4-fem.mp3"," ","","ao","","","",""
"","1840","audio-keyboard-response","34","330296","0.0-3.0-1.12","../audio/24-5-fem.mp3"," ","","cinema","","","",""
"","1749","audio-keyboard-response","35","332328","0.0-3.0-1.13","../audio/24-6-fem.mp3"," ","","mais","","","",""
"","1531","audio-keyboard-response","36","334120","0.0-3.0-1.14","../audio/24-7-fem.mp3"," ","","tarde.","","","",""
"","null","html-keyboard-response","37","335399","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2400","audio-keyboard-response","38","338072","0.0-3.0-1.15","../audio/21-1-fem.mp3"," ","","Precisamos","","","",""
"","1112","audio-keyboard-response","39","339464","0.0-3.0-1.16","../audio/21-2-fem.mp3"," ","","de","","","",""
"","2328","audio-keyboard-response","40","342072","0.0-3.0-1.17","../audio/21-3-fem.mp3"," ","","paciência","","","",""
