"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":70718}]","70718","instructions","0","70724","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","71327","0.0-1.0-0.0","+","null","","","","","",""
"","13236","html-keyboard-response","2","84563","0.0-1.0-1.0","órgão","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","85064","0.0-1.0-0.1","+","null","","","","","",""
"","3082","html-keyboard-response","4","88146","0.0-1.0-1.1","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","88648","0.0-1.0-0.2","+","null","","","","","",""
"","1402","html-keyboard-response","6","90050","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","90552","0.0-1.0-0.3","+","null","","","","","",""
"","3482","html-keyboard-response","8","94035","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","94545","0.0-1.0-0.4","+","null","","","","","",""
"","1265","html-keyboard-response","10","95811","0.0-1.0-1.4","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","96312","0.0-1.0-0.5","+","null","","","","","",""
"","1738","html-keyboard-response","12","98050","0.0-1.0-1.5","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","98552","0.0-1.0-0.6","+","null","","","","","",""
"","2362","html-keyboard-response","14","100914","0.0-1.0-1.6","daja","s","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":32320}]","32320","instructions","15","133237","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","133853","0.0-3.0-0.0","+","null","","","","","",""
"","17512","html-keyboard-response","17","151365","0.0-3.0-1.0","gilha","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","151867","0.0-3.0-0.1","+","null","","","","","",""
"","3370","html-keyboard-response","19","155237","0.0-3.0-1.1","aitrou","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","155739","0.0-3.0-0.2","+","null","","","","","",""
"","1578","html-keyboard-response","21","157317","0.0-3.0-1.2","extravagante","s","a","cog","word","S","exp","12"
"","null","html-keyboard-response","22","157823","0.0-3.0-0.3","+","null","","","","","",""
"","2470","html-keyboard-response","23","160293","0.0-3.0-1.3","sanque","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","160795","0.0-3.0-0.4","+","null","","","","","",""
"","1210","html-keyboard-response","25","162005","0.0-3.0-1.4","farcas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","162506","0.0-3.0-0.5","+","null","","","","","",""
"","2586","html-keyboard-response","27","165093","0.0-3.0-1.5","dipata","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","165600","0.0-3.0-0.6","+","null","","","","","",""
"","1668","html-keyboard-response","29","167269","0.0-3.0-1.6","vitrive","s","null","noncog","pseudo","N","exp","null"
