"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":3423}]","3423","instructions","0","3424","0.0-0.0","",""
"","90223","survey-text","1","93761","0.0-1.0","{""age"":""14\\05\\75""}",""
"","43419","survey-multi-choice","2","137282","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","117306","survey-multi-choice","3","254690","0.0-3.0","{""own_schooling"":""Ensino Superior completo""}","[0]"
"","21250","survey-multi-choice","4","276042","0.0-4.0","{""mother_schooling"":""Ensino Superior completo""}","[0]"
"","8130","survey-multi-choice","5","284274","0.0-5.0","{""father_schooling"":""Ensino Superior completo""}","[0]"
"","650875","survey-html-form","6","935254","0.0-6.0","{""language_0"":""creole"",""listening_0"":""3 mois"",""speaking_0"":""1 an"",""reading_0"":""5 ans"",""writing_0"":""5 ans"",""language_1"":""Francais"",""listening_1"":""3 ans"",""speaking_1"":""5 ans"",""reading_1"":""5 ans"",""writing_1"":""5 ans"",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":"""",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","299098","survey-html-form","7","1234454","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""Francais"",""listening_1"":""45 ans"",""speaking_1"":""40 ans"",""reading_1"":""40 ans"",""writing_1"":""40 ans"",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":""""}",""
"","55105","survey-text","8","1289662","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","19914","survey-text","9","1309677","0.0-9.0","{""country_of_residence"":""BRASIL""}",""
"","235595","survey-html-form","10","1545374","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","89276","survey-html-form","11","1634766","0.0-11.0","{""language_0"":""crioulo"",""context_0"":""2"",""language_1"":""frances"",""context_1"":""2"",""language_2"":""port"",""context_2"":""3"",""language_3"":"""",""context_3"":""""}",""
"","370820","survey-html-form","12","2005687","0.0-12.0","{""language_0"":""crioulo"",""home_0"":""1"",""friends_0"":""3"",""school_0"":""3"",""work_0"":"""",""computer_0"":""20"",""games_0"":""5"",""language_1"":""frances"",""home_1"":""3"",""friends_1"":""3"",""school_1"":""3"",""work_1"":"""",""computer_1"":""20"",""games_1"":""5"",""language_2"":""port"",""home_2"":""45"",""friends_2"":""45"",""school_2"":""45"",""work_2"":""45"",""computer_2"":""45"",""games_2"":""45"",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","154897","survey-likert","13","2160686","0.0-13.0","{""new_languages"":4}","[0]"
"","346794","survey-html-form","14","2507576","0.0-14.0","{""language_0"":""creole"",""listen_0"":""6"",""talk_0"":""7"",""read_0"":""6"",""write_0"":""6"",""language_1"":""Francais"",""listen_1"":""5"",""talk_1"":""5"",""read_1"":""6"",""write_1"":""6"",""language_2"":""port"",""listen_2"":""5"",""talk_2"":""3"",""read_2"":""5"",""write_2"":""5"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","719579","survey-html-form","15","3227247","0.0-15.0","{""language_0"":""crioulo"",""tv_0"":""2 hrs"",""radio_0"":""5hrs"",""read_fun_0"":""1 hr"",""read_work_0"":""3 hrs"",""write_0"":""4 hrs"",""social_nets_0"":""1 hrs"",""language_1"":""frances"",""tv_1"":""3 hrs"",""radio_1"":""5hrs"",""read_fun_1"":""1 hrs"",""read_work_1"":""1 hrs"",""write_1"":""3 hrs"",""social_nets_1"":""1 hrs"",""language_2"":""port"",""tv_2"":""4hrs"",""radio_2"":""2 hrs"",""read_fun_2"":""1 hrs"",""read_work_2"":""2 hrs"",""write_2"":""2 hs"",""social_nets_2"":""1 hrs"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","311769","survey-html-form","16","3539116","0.0-16.0","{""language_0"":""creole"",""family_0"":""12 hrs"",""friends_0"":""1 hrs"",""work_0"":""2 hrs"",""school_0"":""7 hrs"",""language_1"":""francais"",""family_1"":""1 hrs"",""friends_1"":""1 hrs"",""work_1"":""2hrs"",""school_1"":""2 hrs"",""language_2"":""port"",""family_2"":""1 hrs"",""friends_2"":""1 hrs"",""work_2"":""2 hrs"",""school_2"":""2 hrs"",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","364185","survey-html-form","17","3903401","0.0-17.0","{""language_0_0"":""creole"",""language_0_1"":""creole"",""language_0_2"":""creole"",""language_0_3"":""creole"",""language_1_0"":""creole"",""language_1_1"":""creole"",""language_1_2"":""."",""language_1_3"":""."",""language_2_0"":""port"",""language_2_1"":""port"",""language_2_2"":""port"",""language_2_3"":""port"",""language_3_0"":""port"",""language_3_1"":""port"",""language_3_2"":""."",""language_3_3"":"".""}",""
