"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":12412},{""page_index"":1,""viewing_time"":4648}]","17060","instructions","0","17061","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","18169","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","95309","audio-keyboard-response","2","113748","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1349","audio-keyboard-response","3","115715","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1389","audio-keyboard-response","4","117379","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1440","audio-keyboard-response","5","119091","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1051","audio-keyboard-response","6","120403","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1269","audio-keyboard-response","7","121939","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","992","audio-keyboard-response","8","123203","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","124469","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","872","audio-keyboard-response","10","125603","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1499","audio-keyboard-response","11","127379","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1981","audio-keyboard-response","12","129635","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1240","audio-keyboard-response","13","131155","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","760","audio-keyboard-response","14","132179","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1472","audio-keyboard-response","15","133923","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1160","audio-keyboard-response","16","135363","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1619","audio-keyboard-response","17","137251","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","8914","html-keyboard-response","18","146419","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":13873}]","13874","instructions","19","160804","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","161906","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1032","audio-keyboard-response","21","163203","0.0-3.0-1.0","../audio/53-1-fem.mp3"," ","","O","","","",""
"","1320","audio-keyboard-response","22","164803","0.0-3.0-1.1","../audio/53-2-fem.mp3"," ","","médico","","","",""
"","1059","audio-keyboard-response","23","166131","0.0-3.0-1.2","../audio/53-3-fem.mp3"," ","","foi","","","",""
"","1541","audio-keyboard-response","24","167955","0.0-3.0-1.3","../audio/53-4-fem.mp3"," ","","bastante","","","",""
"","1549","audio-keyboard-response","25","169779","0.0-3.0-1.4","../audio/53-5-fem.mp3"," ","","preciso","","","",""
"","1461","audio-keyboard-response","26","171523","0.0-3.0-1.5","../audio/53-6-fem.mp3"," ","","durante","","","",""
"","979","audio-keyboard-response","27","172771","0.0-3.0-1.6","../audio/53-7-fem.mp3"," ","","a","","","",""
"","1808","audio-keyboard-response","28","174851","0.0-3.0-1.7","../audio/53-8-fem.mp3"," ","","cirurgia.","","","",""
"","null","html-keyboard-response","29","176116","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1549","audio-keyboard-response","30","177955","0.0-3.0-1.8","../audio/52-1-masc.mp3"," ","","Às","","","",""
"","1109","audio-keyboard-response","31","179331","0.0-3.0-1.9","../audio/52-2-masc.mp3"," ","","vezes","","","",""
"","2891","audio-keyboard-response","32","182483","0.0-3.0-1.10","../audio/52-3-masc.mp3"," ","","eu","","","",""
"","1469","audio-keyboard-response","33","184211","0.0-3.0-1.11","../audio/52-4-masc.mp3"," ","","tenho","","","",""
"","1099","audio-keyboard-response","34","185587","0.0-3.0-1.12","../audio/52-5-masc.mp3"," ","","azia","","","",""
"","920","audio-keyboard-response","35","186771","0.0-3.0-1.13","../audio/52-6-masc.mp3"," ","","depois","","","",""
"","669","audio-keyboard-response","36","187715","0.0-3.0-1.14","../audio/52-7-masc.mp3"," ","","da","","","",""
"","1520","audio-keyboard-response","37","189507","0.0-3.0-1.15","../audio/52-8-masc.mp3"," ","","janta.","","","",""
"","null","html-keyboard-response","38","190784","0.0-3.0-0.16-0.16","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1280","audio-keyboard-response","39","192355","0.0-3.0-1.16","../audio/51-1-masc.mp3"," ","","Suco","","","",""
"","949","audio-keyboard-response","40","193571","0.0-3.0-1.17","../audio/51-2-masc.mp3"," ","","de","","","",""
"","1379","audio-keyboard-response","41","195219","0.0-3.0-1.18","../audio/51-3-masc.mp3"," ","","acerola","","","",""
"","691","audio-keyboard-response","42","196179","0.0-3.0-1.19","../audio/51-4-masc.mp3"," ","","é","","","",""
"","1581","audio-keyboard-response","43","198035","0.0-3.0-1.20","../audio/51-5-masc.mp3"," ","","azedo","","","",""
"","659","audio-keyboard-response","44","198979","0.0-3.0-1.21","../audio/51-6-masc.mp3"," ","","e","","","",""
"","1320","audio-keyboard-response","45","200563","0.0-3.0-1.22","../audio/51-7-masc.mp3"," ","","até","","","",""
"","2680","audio-keyboard-response","46","203523","0.0-3.0-1.23","../audio/51-8-masc.mp3"," ","","barato.","","","",""
"","null","html-keyboard-response","47","204799","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1848","audio-keyboard-response","48","206931","0.0-3.0-1.24","../audio/54-1-masc.mp3"," ","","Estou","","","",""
"","1488","audio-keyboard-response","49","208691","0.0-3.0-1.25","../audio/54-2-masc.mp3"," ","","com","","","",""
"","1019","audio-keyboard-response","50","209987","0.0-3.0-1.26","../audio/54-3-masc.mp3"," ","","medo","","","",""
"","680","audio-keyboard-response","51","210931","0.0-3.0-1.27","../audio/54-4-masc.mp3"," ","","da","","","",""
