"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":76465}]","76465","instructions","0","76465","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","77068","0.0-1.0-0.0","+","null","","","","","",""
"","21748","html-keyboard-response","2","98816","0.0-1.0-1.0","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","99317","0.0-1.0-0.1","+","null","","","","","",""
"","2858","html-keyboard-response","4","102176","0.0-1.0-1.1","oliva","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","102685","0.0-1.0-0.2","+","null","","","","","",""
"","10291","html-keyboard-response","6","112976","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","113477","0.0-1.0-0.3","+","null","","","","","",""
"","1722","html-keyboard-response","8","115200","0.0-1.0-1.3","órgão","n","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","115701","0.0-1.0-0.4","+","null","","","","","",""
"","5178","html-keyboard-response","10","120880","0.0-1.0-1.4","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","121382","0.0-1.0-0.5","+","null","","","","","",""
"","1146","html-keyboard-response","12","122528","0.0-1.0-1.5","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","123029","0.0-1.0-0.6","+","null","","","","","",""
"","5835","html-keyboard-response","14","128864","0.0-1.0-1.6","calmaria","n","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":27624}]","27624","instructions","15","156488","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","157089","0.0-3.0-0.0","+","null","","","","","",""
"","2654","html-keyboard-response","17","159744","0.0-3.0-1.0","franda","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","160245","0.0-3.0-0.1","+","null","","","","","",""
"","2650","html-keyboard-response","19","162896","0.0-3.0-1.1","prever","n","v","cog","word","S","exp","6"
"","null","html-keyboard-response","20","163396","0.0-3.0-0.2","+","null","","","","","",""
"","843","html-keyboard-response","21","164240","0.0-3.0-1.2","ilhure","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","164740","0.0-3.0-0.3","+","null","","","","","",""
"","3339","html-keyboard-response","23","168080","0.0-3.0-1.3","delomir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","168581","0.0-3.0-0.4","+","null","","","","","",""
"","1850","html-keyboard-response","25","170432","0.0-3.0-1.4","sustentar","n","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","26","170933","0.0-3.0-0.5","+","null","","","","","",""
"","1307","html-keyboard-response","27","172240","0.0-3.0-1.5","ótimo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","28","172741","0.0-3.0-0.6","+","null","","","","","",""
"","1306","html-keyboard-response","29","174048","0.0-3.0-1.6","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","30","174559","0.0-3.0-0.7","+","null","","","","","",""
"","817","html-keyboard-response","31","175376","0.0-3.0-1.7","tela","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","32","175876","0.0-3.0-0.8","+","null","","","","","",""
"","4331","html-keyboard-response","33","180208","0.0-3.0-1.8","vitrive","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","180708","0.0-3.0-0.9","+","null","","","","","",""
"","1419","html-keyboard-response","35","182128","0.0-3.0-1.9","gilha","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","182629","0.0-3.0-0.10","+","null","","","","","",""
"","1434","html-keyboard-response","37","184063","0.0-3.0-1.10","ênclio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","184564","0.0-3.0-0.11","+","null","","","","","",""
"","2443","html-keyboard-response","39","187008","0.0-3.0-1.11","aperor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","187508","0.0-3.0-0.12","+","null","","","","","",""
"","1691","html-keyboard-response","41","189200","0.0-3.0-1.12","bambu","n","n","cog","word","S","exp","5"
"","null","html-keyboard-response","42","189701","0.0-3.0-0.13","+","null","","","","","",""
"","1195","html-keyboard-response","43","190896","0.0-3.0-1.13","esprotiar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","191404","0.0-3.0-0.14","+","null","","","","","",""
"","3043","html-keyboard-response","45","194448","0.0-3.0-1.14","pritas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","194948","0.0-3.0-0.15","+","null","","","","","",""
"","1035","html-keyboard-response","47","195984","0.0-3.0-1.15","afonher","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","196485","0.0-3.0-0.16","+","null","","","","","",""
"","2442","html-keyboard-response","49","198927","0.0-3.0-1.16","pantufa","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","50","199429","0.0-3.0-0.17","+","null","","","","","",""
"","1882","html-keyboard-response","51","201312","0.0-3.0-1.17","sábio","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","52","201812","0.0-3.0-0.18","+","null","","","","","",""
"","1611","html-keyboard-response","53","203423","0.0-3.0-1.18","mal","n","a","cog","word","S","exp","3"
"","null","html-keyboard-response","54","203924","0.0-3.0-0.19","+","null","","","","","",""
"","891","html-keyboard-response","55","204815","0.0-3.0-1.19","avenas","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","205329","0.0-3.0-0.20","+","null","","","","","",""
"","1966","html-keyboard-response","57","207296","0.0-3.0-1.20","temperar","s","v","noncog","word","S","exp","8"
"","null","html-keyboard-response","58","207797","0.0-3.0-0.21","+","null","","","","","",""
"","2250","html-keyboard-response","59","210047","0.0-3.0-1.21","bandido","n","n","cog","word","S","exp","7"
"","null","html-keyboard-response","60","210550","0.0-3.0-0.22","+","null","","","","","",""
"","3865","html-keyboard-response","61","214415","0.0-3.0-1.22","crolatário","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","214925","0.0-3.0-0.23","+","null","","","","","",""
"","1234","html-keyboard-response","63","216159","0.0-3.0-1.23","beima","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","216661","0.0-3.0-0.24","+","null","","","","","",""
"","2698","html-keyboard-response","65","219359","0.0-3.0-1.24","tartos","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","219861","0.0-3.0-0.25","+","null","","","","","",""
"","1034","html-keyboard-response","67","220895","0.0-3.0-1.25","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","68","221397","0.0-3.0-0.26","+","null","","","","","",""
