"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":55319}]","55319","instructions","0","55320","0.0-0.0","","","",""
"","null","html-keyboard-response","1","55922","0.0-1.0-0.0","+","null","",""
"","11000","audio-keyboard-response","2","67048","0.0-1.0-1.0","../audio/teste-vocab--106.mp3","n","lubrificar","grese"
"","null","html-keyboard-response","3","67555","0.0-1.0-0.1","+","null","",""
"","3261","audio-keyboard-response","4","70839","0.0-1.0-1.1","../audio/teste-vocab--110.mp3","n","prodígio","pwodij"
"","null","html-keyboard-response","5","71340","0.0-1.0-0.2","+","null","",""
"","3568","audio-keyboard-response","6","74935","0.0-1.0-1.2","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","7","75446","0.0-1.0-0.3","+","null","",""
"","3739","audio-keyboard-response","8","79415","0.0-1.0-1.3","../audio/teste-vocab--99.mp3","s","arqueólogo","akeyológ"
"","null","html-keyboard-response","9","79919","0.0-1.0-0.4","+","null","",""
"","2131","audio-keyboard-response","10","82071","0.0-1.0-1.4","../audio/teste-vocab--65.mp3","s","discussão","diskisyon"
"","null","html-keyboard-response","11","82575","0.0-1.0-0.5","+","null","",""
"","2789","audio-keyboard-response","12","85383","0.0-1.0-1.5","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","13","85884","0.0-1.0-0.6","+","null","",""
"","2360","audio-keyboard-response","14","88263","0.0-1.0-1.6","../audio/teste-vocab--83.mp3","s","morsa","mòs"
"","null","html-keyboard-response","15","88769","0.0-1.0-0.7","+","null","",""
"","2229","audio-keyboard-response","16","91015","0.0-1.0-1.7","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","17","91519","0.0-1.0-0.8","+","null","",""
"","1901","audio-keyboard-response","18","93447","0.0-1.0-1.8","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","19","93950","0.0-1.0-0.9","+","null","",""
"","5461","audio-keyboard-response","20","99431","0.0-1.0-1.9","../audio/teste-vocab--76.mp3","n","arquivar","achive"
"","null","html-keyboard-response","21","99940","0.0-1.0-0.10","+","null","",""
"","2088","audio-keyboard-response","22","102055","0.0-1.0-1.10","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","23","102564","0.0-1.0-0.11","+","null","",""
"","3771","audio-keyboard-response","24","106343","0.0-1.0-1.11","../audio/teste-vocab--104.mp3","n","ira","pwal"
"","null","html-keyboard-response","25","106844","0.0-1.0-0.12","+","null","",""
"","3069","audio-keyboard-response","26","109943","0.0-1.0-1.12","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","27","110458","0.0-1.0-0.13","+","null","",""
"","2339","audio-keyboard-response","28","112823","0.0-1.0-1.13","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","29","113334","0.0-1.0-0.14","+","null","",""
"","1531","audio-keyboard-response","30","114887","0.0-1.0-1.14","../audio/teste-vocab--29.mp3","s","rasgar","chire"
"","null","html-keyboard-response","31","115396","0.0-1.0-0.15","+","null","",""
"","1901","audio-keyboard-response","32","117318","0.0-1.0-1.15","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","33","117833","0.0-1.0-0.16","+","null","",""
"","1451","audio-keyboard-response","34","119302","0.0-1.0-1.16","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","35","119804","0.0-1.0-0.17","+","null","",""
"","4251","audio-keyboard-response","36","124070","0.0-1.0-1.17","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","37","124574","0.0-1.0-0.18","+","null","",""
"","1411","audio-keyboard-response","38","126006","0.0-1.0-1.18","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","39","126510","0.0-1.0-0.19","+","null","",""
"","3360","audio-keyboard-response","40","129878","0.0-1.0-1.19","../audio/teste-vocab--30.mp3","n","pintor","pent"
"","null","html-keyboard-response","41","130389","0.0-1.0-0.20","+","null","",""
"","2829","audio-keyboard-response","42","133254","0.0-1.0-1.20","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","43","133757","0.0-1.0-0.21","+","null","",""
"","3309","audio-keyboard-response","44","137095","0.0-1.0-1.21","../audio/teste-vocab--103.mp3","n","utensílio","istansil"
"","null","html-keyboard-response","45","137596","0.0-1.0-0.22","+","null","",""
"","6941","audio-keyboard-response","46","144566","0.0-1.0-1.22","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","47","145075","0.0-1.0-0.23","+","null","",""
"","1731","audio-keyboard-response","48","146822","0.0-1.0-1.23","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","49","147328","0.0-1.0-0.24","+","null","",""
"","1899","audio-keyboard-response","50","149254","0.0-1.0-1.24","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","51","149765","0.0-1.0-0.25","+","null","",""
"","2419","audio-keyboard-response","52","152214","0.0-1.0-1.25","../audio/teste-vocab--96.mp3","s","árido","sechrès"
"","null","html-keyboard-response","53","152726","0.0-1.0-0.26","+","null","",""
"","2709","audio-keyboard-response","54","155462","0.0-1.0-1.26","../audio/teste-vocab--91.mp3","n","bússola","bousòl"
"","null","html-keyboard-response","55","155973","0.0-1.0-0.27","+","null","",""
"","1309","audio-keyboard-response","56","157303","0.0-1.0-1.27","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","57","157819","0.0-1.0-0.28","+","null","",""
"","1680","audio-keyboard-response","58","159526","0.0-1.0-1.28","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","59","160039","0.0-1.0-0.29","+","null","",""
"","2571","audio-keyboard-response","60","162630","0.0-1.0-1.29","../audio/teste-vocab--130.mp3","s","gentil","dou"
"","null","html-keyboard-response","61","163137","0.0-1.0-0.30","+","null","",""
"","1840","audio-keyboard-response","62","164998","0.0-1.0-1.30","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","63","165506","0.0-1.0-0.31","+","null","",""
"","2832","audio-keyboard-response","64","168358","0.0-1.0-1.31","../audio/teste-vocab--74.mp3","n","desilusão","dezilizyon"
"","null","html-keyboard-response","65","168867","0.0-1.0-0.32","+","null","",""
"","1760","audio-keyboard-response","66","170646","0.0-1.0-1.32","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","67","171157","0.0-1.0-0.33","+","null","",""
"","1909","audio-keyboard-response","68","173094","0.0-1.0-1.33","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","69","173601","0.0-1.0-0.34","+","null","",""
"","2269","audio-keyboard-response","70","175894","0.0-1.0-1.34","../audio/teste-vocab--101.mp3","n","incandescente","enkandesan"
"","null","html-keyboard-response","71","176406","0.0-1.0-0.35","+","null","",""
"","1901","audio-keyboard-response","72","178325","0.0-1.0-1.35","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","73","178836","0.0-1.0-0.36","+","null","",""
"","2120","audio-keyboard-response","74","180981","0.0-1.0-1.36","../audio/teste-vocab--93.mp3","n","felino","leopa"
"","null","html-keyboard-response","75","181488","0.0-1.0-0.37","+","null","",""
"","1939","audio-keyboard-response","76","183461","0.0-1.0-1.37","../audio/teste-vocab--127.mp3","n","côncavo","konkav"
"","null","html-keyboard-response","77","183976","0.0-1.0-0.38","+","null","",""
