"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":23333},{""page_index"":1,""viewing_time"":16336}]","39669","instructions","0","39670","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","40773","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6760","audio-keyboard-response","2","48014","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","2739","audio-keyboard-response","3","51038","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1821","audio-keyboard-response","4","53150","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2229","audio-keyboard-response","5","55677","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","3251","audio-keyboard-response","6","59213","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1832","audio-keyboard-response","7","61341","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","2251","audio-keyboard-response","8","63885","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","65154","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1349","audio-keyboard-response","10","66797","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1592","audio-keyboard-response","11","68669","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1819","audio-keyboard-response","12","70765","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1429","audio-keyboard-response","13","72477","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1160","audio-keyboard-response","14","73917","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1789","audio-keyboard-response","15","75997","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1181","audio-keyboard-response","16","77453","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2509","audio-keyboard-response","17","80237","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","4633","html-keyboard-response","18","85134","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":4423}]","4423","instructions","19","90061","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","91182","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
