"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":36140}]","36141","instructions","0","36141","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","36743","0.0-1.0-0.0","+","null","","","","","",""
"","54477","html-keyboard-response","2","91223","0.0-1.0-1.0","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","91727","0.0-1.0-0.1","+","null","","","","","",""
"","42856","html-keyboard-response","4","134583","0.0-1.0-1.1","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","135086","0.0-1.0-0.2","+","null","","","","","",""
"","3015","html-keyboard-response","6","138103","0.0-1.0-1.2","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","138605","0.0-1.0-0.3","+","null","","","","","",""
"","5337","html-keyboard-response","8","143943","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","144444","0.0-1.0-0.4","+","null","","","","","",""
"","3481","html-keyboard-response","10","147927","0.0-1.0-1.4","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","148429","0.0-1.0-0.5","+","null","","","","","",""
"","3705","html-keyboard-response","12","152134","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","152636","0.0-1.0-0.6","+","null","","","","","",""
"","2569","html-keyboard-response","14","155206","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":9791}]","9791","instructions","15","164998","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","165600","0.0-3.0-0.0","+","null","","","","","",""
"","5876","html-keyboard-response","17","171478","0.0-3.0-1.0","traduzir","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","18","171979","0.0-3.0-0.1","+","null","","","","","",""
"","8249","html-keyboard-response","19","180230","0.0-3.0-1.1","cenada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","180731","0.0-3.0-0.2","+","null","","","","","",""
"","4970","html-keyboard-response","21","185702","0.0-3.0-1.2","ofreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","186203","0.0-3.0-0.3","+","null","","","","","",""
"","4458","html-keyboard-response","23","190662","0.0-3.0-1.3","aperor","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","191164","0.0-3.0-0.4","+","null","","","","","",""
"","16409","html-keyboard-response","25","207574","0.0-3.0-1.4","uçar","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","208086","0.0-3.0-0.5","+","null","","","","","",""
"","3471","html-keyboard-response","27","211557","0.0-3.0-1.5","farcas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","212059","0.0-3.0-0.6","+","null","","","","","",""
"","3082","html-keyboard-response","29","215142","0.0-3.0-1.6","distraído","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","30","215644","0.0-3.0-0.7","+","null","","","","","",""
"","9561","html-keyboard-response","31","225206","0.0-3.0-1.7","abieso","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","225708","0.0-3.0-0.8","+","null","","","","","",""
"","3273","html-keyboard-response","33","228982","0.0-3.0-1.8","podilo","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","229484","0.0-3.0-0.9","+","null","","","","","",""
"","10521","html-keyboard-response","35","240006","0.0-3.0-1.9","trenos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","240508","0.0-3.0-0.10","+","null","","","","","",""
"","7593","html-keyboard-response","37","248102","0.0-3.0-1.10","hipócrita","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","38","248605","0.0-3.0-0.11","+","null","","","","","",""
