"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":17230}]","17230","instructions","0","17233","0.0-0.0","","","",""
"","null","html-keyboard-response","1","17835","0.0-1.0-0.0","+","null","",""
"","46971","audio-keyboard-response","2","64815","0.0-1.0-1.0","../audio/teste-vocab--02.mp3","s","homem","gason"
"","null","html-keyboard-response","3","65316","0.0-1.0-0.1","+","null","",""
"","3520","audio-keyboard-response","4","69054","0.0-1.0-1.1","../audio/teste-vocab--116.mp3","s","vestuário","vestyè"
"","null","html-keyboard-response","5","69556","0.0-1.0-0.2","+","null","",""
"","10560","audio-keyboard-response","6","80143","0.0-1.0-1.2","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","7","80655","0.0-1.0-0.3","+","null","",""
"","6531","audio-keyboard-response","8","87231","0.0-1.0-1.3","../audio/teste-vocab--08.mp3","s","vaca","vach"
"","null","html-keyboard-response","9","87740","0.0-1.0-0.4","+","null","",""
"","5261","audio-keyboard-response","10","93008","0.0-1.0-1.4","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","11","93511","0.0-1.0-0.5","+","null","",""
"","3800","audio-keyboard-response","12","97343","0.0-1.0-1.5","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","13","97845","0.0-1.0-0.6","+","null","",""
"","13131","audio-keyboard-response","14","111008","0.0-1.0-1.6","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","15","111524","0.0-1.0-0.7","+","null","",""
"","3661","audio-keyboard-response","16","115247","0.0-1.0-1.7","../audio/teste-vocab--109.mp3","n","anfíbio","anfibyen"
"","null","html-keyboard-response","17","115755","0.0-1.0-0.8","+","null","",""
"","2920","audio-keyboard-response","18","118703","0.0-1.0-1.8","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","19","119209","0.0-1.0-0.9","+","null","",""
"","3171","audio-keyboard-response","20","122399","0.0-1.0-1.9","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","21","122915","0.0-1.0-0.10","+","null","",""
"","2749","audio-keyboard-response","22","125709","0.0-1.0-1.10","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","23","126225","0.0-1.0-0.11","+","null","",""
"","4829","audio-keyboard-response","24","131085","0.0-1.0-1.11","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","25","131591","0.0-1.0-0.12","+","null","",""
"","4989","audio-keyboard-response","26","136622","0.0-1.0-1.12","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","27","137137","0.0-1.0-0.13","+","null","",""
"","2701","audio-keyboard-response","28","139885","0.0-1.0-1.13","../audio/teste-vocab--106.mp3","n","lubrificar","grese"
"","null","html-keyboard-response","29","140400","0.0-1.0-0.14","+","null","",""
"","3779","audio-keyboard-response","30","144221","0.0-1.0-1.14","../audio/teste-vocab--83.mp3","n","morsa","mòs"
"","null","html-keyboard-response","31","144727","0.0-1.0-0.15","+","null","",""
"","2971","audio-keyboard-response","32","147758","0.0-1.0-1.15","../audio/teste-vocab--124.mp3","n","obelisco","obelisk"
"","null","html-keyboard-response","33","148269","0.0-1.0-0.16","+","null","",""
"","2360","audio-keyboard-response","34","150669","0.0-1.0-1.16","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","35","151177","0.0-1.0-0.17","+","null","",""
"","2920","audio-keyboard-response","36","154141","0.0-1.0-1.17","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","37","154651","0.0-1.0-0.18","+","null","",""
"","2400","audio-keyboard-response","38","157101","0.0-1.0-1.18","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","39","157609","0.0-1.0-0.19","+","null","",""
"","3899","audio-keyboard-response","40","161549","0.0-1.0-1.19","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","41","162053","0.0-1.0-0.20","+","null","",""
"","2792","audio-keyboard-response","42","164893","0.0-1.0-1.20","../audio/teste-vocab--43.mp3","s","mecânico","mekanisyen"
"","null","html-keyboard-response","43","165402","0.0-1.0-0.21","+","null","",""
"","9861","audio-keyboard-response","44","175293","0.0-1.0-1.21","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","45","175801","0.0-1.0-0.22","+","null","",""
"","2581","audio-keyboard-response","46","178413","0.0-1.0-1.22","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","47","178917","0.0-1.0-0.23","+","null","",""
"","3131","audio-keyboard-response","48","182093","0.0-1.0-1.23","../audio/teste-vocab--66.mp3","n","cooperação","koperasyon"
"","null","html-keyboard-response","49","182610","0.0-1.0-0.24","+","null","",""
"","2160","audio-keyboard-response","50","184814","0.0-1.0-1.24","../audio/teste-vocab--92.mp3","n","esférico","won"
"","null","html-keyboard-response","51","185323","0.0-1.0-0.25","+","null","",""
"","1979","audio-keyboard-response","52","187340","0.0-1.0-1.25","../audio/teste-vocab--10.mp3","n","corneta","kòn"
"","null","html-keyboard-response","53","187843","0.0-1.0-0.26","+","null","",""
"","3251","audio-keyboard-response","54","191132","0.0-1.0-1.26","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","55","191639","0.0-1.0-0.27","+","null","",""
"","2459","audio-keyboard-response","56","194140","0.0-1.0-1.27","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","57","194646","0.0-1.0-0.28","+","null","",""
"","2419","audio-keyboard-response","58","197100","0.0-1.0-1.28","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","59","197608","0.0-1.0-0.29","+","null","",""
"","2619","audio-keyboard-response","60","200268","0.0-1.0-1.29","../audio/teste-vocab--30.mp3","n","pintor","pent"
"","null","html-keyboard-response","61","200770","0.0-1.0-0.30","+","null","",""
"","2411","audio-keyboard-response","62","203243","0.0-1.0-1.30","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","63","203759","0.0-1.0-0.31","+","null","",""
"","2221","audio-keyboard-response","64","205996","0.0-1.0-1.31","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","65","206503","0.0-1.0-0.32","+","null","",""
"","2309","audio-keyboard-response","66","208860","0.0-1.0-1.32","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","67","209367","0.0-1.0-0.33","+","null","",""
"","3451","audio-keyboard-response","68","212844","0.0-1.0-1.33","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","69","213354","0.0-1.0-0.34","+","null","",""
"","2149","audio-keyboard-response","70","215516","0.0-1.0-1.34","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","71","216026","0.0-1.0-0.35","+","null","",""
"","2888","audio-keyboard-response","72","218940","0.0-1.0-1.35","../audio/teste-vocab--123.mp3","n","emissão","emisyon"
"","null","html-keyboard-response","73","219447","0.0-1.0-0.36","+","null","",""
