"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":36532}]","36533","instructions","0","36534","0.0-0.0","","","",""
"","null","html-keyboard-response","1","37137","0.0-1.0-0.0","+","null","",""
"","6480","audio-keyboard-response","2","43958","0.0-1.0-1.0","../audio/teste-vocab--34.mp3","s","tronco","twon"
"","null","html-keyboard-response","3","44461","0.0-1.0-0.1","+","null","",""
"","6339","audio-keyboard-response","4","50821","0.0-1.0-1.1","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","5","51334","0.0-1.0-0.2","+","null","",""
"","26109","audio-keyboard-response","6","77460","0.0-1.0-1.2","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","7","77961","0.0-1.0-0.3","+","null","",""
"","3051","audio-keyboard-response","8","81028","0.0-1.0-1.3","../audio/teste-vocab--110.mp3","s","prodígio","pwodij"
"","null","html-keyboard-response","9","81532","0.0-1.0-0.4","+","null","",""
"","5571","audio-keyboard-response","10","87124","0.0-1.0-1.4","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","11","87630","0.0-1.0-0.5","+","null","",""
"","2429","audio-keyboard-response","12","90084","0.0-1.0-1.5","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","13","90591","0.0-1.0-0.6","+","null","",""
"","2400","audio-keyboard-response","14","93012","0.0-1.0-1.6","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","15","93527","0.0-1.0-0.7","+","null","",""
"","2149","audio-keyboard-response","16","95700","0.0-1.0-1.7","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","17","96216","0.0-1.0-0.8","+","null","",""
"","4520","audio-keyboard-response","18","100756","0.0-1.0-1.8","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","19","101257","0.0-1.0-0.9","+","null","",""
"","3099","audio-keyboard-response","20","104388","0.0-1.0-1.9","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","21","104901","0.0-1.0-0.10","+","null","",""
"","3189","audio-keyboard-response","22","108116","0.0-1.0-1.10","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","23","108621","0.0-1.0-0.11","+","null","",""
"","3000","audio-keyboard-response","24","111635","0.0-1.0-1.11","../audio/teste-vocab--73.mp3","s","ângulo","ang"
"","null","html-keyboard-response","25","112151","0.0-1.0-0.12","+","null","",""
"","2589","audio-keyboard-response","26","114755","0.0-1.0-1.12","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","27","115258","0.0-1.0-0.13","+","null","",""
"","2280","audio-keyboard-response","28","117555","0.0-1.0-1.13","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","29","118060","0.0-1.0-0.14","+","null","",""
"","3509","audio-keyboard-response","30","121588","0.0-1.0-1.14","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","31","122090","0.0-1.0-0.15","+","null","",""
"","2269","audio-keyboard-response","32","124388","0.0-1.0-1.15","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","33","124889","0.0-1.0-0.16","+","null","",""
"","2709","audio-keyboard-response","34","127619","0.0-1.0-1.16","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","35","128122","0.0-1.0-0.17","+","null","",""
"","2411","audio-keyboard-response","36","130548","0.0-1.0-1.17","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","37","131063","0.0-1.0-0.18","+","null","",""
"","23760","audio-keyboard-response","38","154851","0.0-1.0-1.18","../audio/teste-vocab--103.mp3","n","utensílio","istansil"
"","null","html-keyboard-response","39","155354","0.0-1.0-0.19","+","null","",""
"","2200","audio-keyboard-response","40","157571","0.0-1.0-1.19","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","41","158085","0.0-1.0-0.20","+","null","",""
"","2331","audio-keyboard-response","42","160435","0.0-1.0-1.20","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","43","160948","0.0-1.0-0.21","+","null","",""
"","2909","audio-keyboard-response","44","163875","0.0-1.0-1.21","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","45","164380","0.0-1.0-0.22","+","null","",""
"","2269","audio-keyboard-response","46","166675","0.0-1.0-1.22","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","47","167180","0.0-1.0-0.23","+","null","",""
"","2029","audio-keyboard-response","48","169235","0.0-1.0-1.23","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","49","169738","0.0-1.0-0.24","+","null","",""
