"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":25624},{""page_index"":1,""viewing_time"":7296}]","32920","instructions","0","32920","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","34034","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9952","audio-keyboard-response","2","44241","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","2109","audio-keyboard-response","3","46624","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","3429","audio-keyboard-response","4","50336","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","17901","audio-keyboard-response","5","68512","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","5069","audio-keyboard-response","6","73856","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1749","audio-keyboard-response","7","75888","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1272","audio-keyboard-response","8","77440","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","78706","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","949","audio-keyboard-response","10","79936","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1211","audio-keyboard-response","11","81424","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1112","audio-keyboard-response","12","82800","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1099","audio-keyboard-response","13","84176","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","989","audio-keyboard-response","14","85456","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1011","audio-keyboard-response","15","86752","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1080","audio-keyboard-response","16","88112","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1240","audio-keyboard-response","17","89632","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","59271","html-keyboard-response","18","149167","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":6899}]","6900","instructions","19","156568","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","157669","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1960","audio-keyboard-response","21","160239","0.0-3.0-1.0","../audio/69-1-fem.mp3"," ","","A","","","",""
"","3280","audio-keyboard-response","22","163807","0.0-3.0-1.1","../audio/69-2-fem.mp3"," ","","loja","","","",""
"","2651","audio-keyboard-response","23","166735","0.0-3.0-1.2","../audio/69-3-fem.mp3"," ","","recebeu","","","",""
"","1819","audio-keyboard-response","24","168831","0.0-3.0-1.3","../audio/69-4-fem.mp3"," ","","uma","","","",""
"","2341","audio-keyboard-response","25","171439","0.0-3.0-1.4","../audio/69-5-fem.mp3"," ","","poltrona","","","",""
"","1531","audio-keyboard-response","26","173231","0.0-3.0-1.5","../audio/69-6-fem.mp3"," ","","de","","","",""
"","1952","audio-keyboard-response","27","175455","0.0-3.0-1.6","../audio/69-7-fem.mp3"," ","","couro","","","",""
"","1749","audio-keyboard-response","28","177487","0.0-3.0-1.7","../audio/69-8-fem.mp3"," ","","preto.","","","",""
"","null","html-keyboard-response","29","178758","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4771","audio-keyboard-response","30","183790","0.0-3.0-1.8","../audio/66-1-masc.mp3"," ","","Não","","","",""
"","2709","audio-keyboard-response","31","186782","0.0-3.0-1.9","../audio/66-2-masc.mp3"," ","","gosto","","","",""
"","1579","audio-keyboard-response","32","188639","0.0-3.0-1.10","../audio/66-3-masc.mp3"," ","","de","","","",""
"","1880","audio-keyboard-response","33","190799","0.0-3.0-1.11","../audio/66-4-masc.mp3"," ","","gente","","","",""
"","2509","audio-keyboard-response","34","193583","0.0-3.0-1.12","../audio/66-5-masc.mp3"," ","","egoísta","","","",""
"","1589","audio-keyboard-response","35","195439","0.0-3.0-1.13","../audio/66-6-masc.mp3"," ","","nem","","","",""
"","1901","audio-keyboard-response","36","197614","0.0-3.0-1.14","../audio/66-7-masc.mp3"," ","","chata.","","","",""
"","null","html-keyboard-response","37","198872","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4221","audio-keyboard-response","38","203375","0.0-3.0-1.15","../audio/68-1-masc.mp3"," ","","Meu","","","",""
"","2168","audio-keyboard-response","39","205822","0.0-3.0-1.16","../audio/68-2-masc.mp3"," ","","irmão","","","",""
"","2261","audio-keyboard-response","40","208366","0.0-3.0-1.17","../audio/68-3-masc.mp3"," ","","teve","","","",""
"","2269","audio-keyboard-response","41","210910","0.0-3.0-1.18","../audio/68-4-masc.mp3"," ","","um","","","",""
"","2611","audio-keyboard-response","42","213790","0.0-3.0-1.19","../audio/68-5-masc.mp3"," ","","noivado","","","",""
"","2272","audio-keyboard-response","43","216335","0.0-3.0-1.20","../audio/68-6-masc.mp3"," ","","longo","","","",""
"","1469","audio-keyboard-response","44","218079","0.0-3.0-1.21","../audio/68-7-masc.mp3"," ","","e","","","",""
"","2429","audio-keyboard-response","45","220782","0.0-3.0-1.22","../audio/68-8-masc.mp3"," ","","maravilhoso.","","","",""
"","null","html-keyboard-response","46","222048","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2099","audio-keyboard-response","47","224430","0.0-3.0-1.23","../audio/67-1-fem.mp3"," ","","Minha","","","",""
"","1640","audio-keyboard-response","48","226350","0.0-3.0-1.24","../audio/67-2-fem.mp3"," ","","tia","","","",""
"","2040","audio-keyboard-response","49","228654","0.0-3.0-1.25","../audio/67-3-fem.mp3"," ","","comprou","","","",""
"","1389","audio-keyboard-response","50","230318","0.0-3.0-1.26","../audio/67-4-fem.mp3"," ","","um","","","",""
"","1851","audio-keyboard-response","51","232430","0.0-3.0-1.27","../audio/67-5-fem.mp3"," ","","cordão","","","",""
"","1360","audio-keyboard-response","52","234078","0.0-3.0-1.28","../audio/67-6-fem.mp3"," ","","para","","","",""
"","1192","audio-keyboard-response","53","235534","0.0-3.0-1.29","../audio/67-7-fem.mp3"," ","","o","","","",""
"","1768","audio-keyboard-response","54","237582","0.0-3.0-1.30","../audio/67-8-fem.mp3"," ","","varal.","","","",""
"","null","html-keyboard-response","55","238858","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1339","audio-keyboard-response","56","240479","0.0-3.0-1.31","../audio/70-1-fem.mp3"," ","","O","","","",""
"","1869","audio-keyboard-response","57","242622","0.0-3.0-1.32","../audio/70-2-fem.mp3"," ","","meu","","","",""
"","1531","audio-keyboard-response","58","244430","0.0-3.0-1.33","../audio/70-3-fem.mp3"," ","","filho","","","",""
"","1408","audio-keyboard-response","59","246142","0.0-3.0-1.34","../audio/70-4-fem.mp3"," ","","tem","","","",""
"","1349","audio-keyboard-response","60","247758","0.0-3.0-1.35","../audio/70-5-fem.mp3"," ","","medo","","","",""
"","1320","audio-keyboard-response","61","249342","0.0-3.0-1.36","../audio/70-6-fem.mp3"," ","","de","","","",""
"","2349","audio-keyboard-response","62","251966","0.0-3.0-1.37","../audio/70-7-fem.mp3"," ","","enguia","","","",""
"","1109","audio-keyboard-response","63","253358","0.0-3.0-1.38","../audio/70-8-fem.mp3"," ","","e","","","",""
"","2819","audio-keyboard-response","64","256462","0.0-3.0-1.39","../audio/70-9-fem.mp3"," ","","beija-flor.","","","",""
"","5192","html-keyboard-response","65","261918","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O filho tem medo de tigre?</span>","s","","","O filho tem medo de tigre?","null","exp-sent","false"
"","null","html-keyboard-response","66","263446","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1840","audio-keyboard-response","67","265550","0.0-3.0-1.40","../audio/08-1-fem.mp3"," ","","A","","","",""
"","1680","audio-keyboard-response","68","267518","0.0-3.0-1.41","../audio/08-2-fem.mp3"," ","","receita","","","",""
"","1331","audio-keyboard-response","69","269118","0.0-3.0-1.42","../audio/08-3-fem.mp3"," ","","pede","","","",""
"","1040","audio-keyboard-response","70","270430","0.0-3.0-1.43","../audio/08-4-fem.mp3"," ","","um","","","",""
"","1200","audio-keyboard-response","71","271902","0.0-3.0-1.44","../audio/08-5-fem.mp3"," ","","litro","","","",""
"","1040","audio-keyboard-response","72","273214","0.0-3.0-1.45","../audio/08-6-fem.mp3"," ","","de","","","",""
"","1349","audio-keyboard-response","73","274830","0.0-3.0-1.46","../audio/08-7-fem.mp3"," ","","leite","","","",""
"","1291","audio-keyboard-response","74","276398","0.0-3.0-1.47","../audio/08-8-fem.mp3"," ","","integral.","","","",""
"","null","html-keyboard-response","75","277658","0.0-3.0-0.48-0.48","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1459","audio-keyboard-response","76","279390","0.0-3.0-1.48","../audio/07-1-fem.mp3"," ","","Meu","","","",""
"","1371","audio-keyboard-response","77","281038","0.0-3.0-1.49","../audio/07-2-fem.mp3"," ","","filho","","","",""
"","1149","audio-keyboard-response","78","282462","0.0-3.0-1.50","../audio/07-3-fem.mp3"," ","","é","","","",""
"","1179","audio-keyboard-response","79","283918","0.0-3.0-1.51","../audio/07-4-fem.mp3"," ","","muito","","","",""
"","1331","audio-keyboard-response","80","285518","0.0-3.0-1.52","../audio/07-5-fem.mp3"," ","","responsável","","","",""
"","1059","audio-keyboard-response","81","286862","0.0-3.0-1.53","../audio/07-6-fem.mp3"," ","","nos","","","",""
"","1352","audio-keyboard-response","82","288494","0.0-3.0-1.54","../audio/07-7-fem.mp3"," ","","estudos.","","","",""
"","null","html-keyboard-response","83","289772","0.0-3.0-0.55-0.55","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","811","audio-keyboard-response","84","290878","0.0-3.0-1.55","../audio/09-1-fem.mp3"," ","","O","","","",""
"","1691","audio-keyboard-response","85","292830","0.0-3.0-1.56","../audio/09-2-fem.mp3"," ","","rapaz","","","",""
"","1611","audio-keyboard-response","86","294718","0.0-3.0-1.57","../audio/09-3-fem.mp3"," ","","limpou","","","",""
"","1021","audio-keyboard-response","87","296014","0.0-3.0-1.58","../audio/09-4-fem.mp3"," ","","o","","","",""
"","1429","audio-keyboard-response","88","297726","0.0-3.0-1.59","../audio/09-5-fem.mp3"," ","","terreno","","","",""
"","1251","audio-keyboard-response","89","299246","0.0-3.0-1.60","../audio/09-6-fem.mp3"," ","","com","","","",""
"","1200","audio-keyboard-response","90","300718","0.0-3.0-1.61","../audio/09-7-fem.mp3"," ","","uma","","","",""
