"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":10507}]","10507","instructions","0","10508","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","11121","0.0-1.0-0.0","+","null","","","","","",""
"","6121","html-keyboard-response","2","17243","0.0-1.0-1.0","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","17743","0.0-1.0-0.1","+","null","","","","","",""
"","1611","html-keyboard-response","4","19355","0.0-1.0-1.1","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","19865","0.0-1.0-0.2","+","null","","","","","",""
"","1841","html-keyboard-response","6","21707","0.0-1.0-1.2","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","22210","0.0-1.0-0.3","+","null","","","","","",""
"","1592","html-keyboard-response","8","23803","0.0-1.0-1.3","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","24315","0.0-1.0-0.4","+","null","","","","","",""
"","1103","html-keyboard-response","10","25418","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","25923","0.0-1.0-0.5","+","null","","","","","",""
"","2279","html-keyboard-response","12","28202","0.0-1.0-1.5","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","28716","0.0-1.0-0.6","+","null","","","","","",""
"","1342","html-keyboard-response","14","30059","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":4511}]","4512","instructions","15","34571","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","35173","0.0-3.0-0.0","+","null","","","","","",""
"","13941","html-keyboard-response","17","49115","0.0-3.0-1.0","afual","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","49615","0.0-3.0-0.1","+","null","","","","","",""
"","3002","html-keyboard-response","19","52618","0.0-3.0-1.1","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","20","53119","0.0-3.0-0.2","+","null","","","","","",""
"","1915","html-keyboard-response","21","55034","0.0-3.0-1.2","nacional","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","22","55543","0.0-3.0-0.3","+","null","","","","","",""
"","1939","html-keyboard-response","23","57482","0.0-3.0-1.3","atitro","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","57984","0.0-3.0-0.4","+","null","","","","","",""
"","1322","html-keyboard-response","25","59306","0.0-3.0-1.4","orupas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","59808","0.0-3.0-0.5","+","null","","","","","",""
"","5034","html-keyboard-response","27","64842","0.0-3.0-1.5","usnado","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","65344","0.0-3.0-0.6","+","null","","","","","",""
"","1834","html-keyboard-response","29","67178","0.0-3.0-1.6","casuas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","67681","0.0-3.0-0.7","+","null","","","","","",""
"","4010","html-keyboard-response","31","71691","0.0-3.0-1.7","tronca","s","null","noncog","pseudo","N","exp","null"
