"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":5783}]","5784","instructions","0","5784","0.0-0.0","",""
"","19649","survey-text","1","25535","0.0-1.0","{""age"":""31""}",""
"","5078","survey-multi-choice","2","30727","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","30314","survey-multi-choice","3","61143","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","43091","survey-multi-choice","4","104334","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","63202","survey-multi-choice","5","167637","0.0-5.0","{""father_schooling"":""Outro""}","[0]"
"","321858","survey-html-form","6","489593","0.0-6.0","{""language_0"":""kreyol"",""listening_0"":""2"",""speaking_0"":""2"",""reading_0"":""3"",""writing_0"":""3"",""language_1"":""frances"",""listening_1"":""6"",""speaking_1"":""6"",""reading_1"":""6"",""writing_1"":""6"",""language_2"":""portugues"",""listening_2"":""27"",""speaking_2"":""27"",""reading_2"":""27"",""writing_2"":""28"",""language_3"":""ingles"",""listening_3"":""17"",""speaking_3"":""17"",""reading_3"":""17"",""writing_3"":""17""}",""
"","248714","survey-html-form","7","738407","0.0-7.0","{""language_3"":""ingles"",""listening_3"":""17"",""speaking_3"":""17"",""reading_3"":""17"",""writing_3"":""17"",""language_1"":""frances"",""listening_1"":""6"",""speaking_1"":""6"",""reading_1"":""6"",""writing_1"":""6"",""language_2"":""portugues"",""listening_2"":""5"",""speaking_2"":""5"",""reading_2"":""5"",""writing_2"":""5""}",""
"","21633","survey-text","8","760142","0.0-8.0","{""country_of_origin"":""haiti""}",""
"","18474","survey-text","9","778718","0.0-9.0","{""country_of_residence"":""brasil""}",""
"","28010","survey-html-form","10","806830","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","98546","survey-html-form","11","905477","0.0-11.0","{""language_0"":""kreyol"",""context_0"":""2"",""language_1"":""frances"",""context_1"":""2"",""language_2"":""portugues"",""context_2"":""1"",""language_3"":""ingles"",""context_3"":""2""}",""
"","166153","survey-html-form","12","1071733","0.0-12.0","{""language_0"":""kreyol"",""home_0"":""2"",""friends_0"":""2"",""school_0"":""2"",""work_0"":"""",""computer_0"":"""",""games_0"":"""",""language_1"":""frances"",""home_1"":""6"",""friends_1"":""6"",""school_1"":""6"",""work_1"":"""",""computer_1"":"""",""games_1"":""6"",""language_2"":""portugues"",""home_2"":""5"",""friends_2"":""5"",""school_2"":""5"",""work_2"":""5"",""computer_2"":""5"",""games_2"":""5"",""language_3"":""ingles"",""home_3"":""17"",""friends_3"":""17"",""school_3"":""17"",""work_3"":""17"",""computer_3"":""17"",""games_3"":""17""}",""
"","39352","survey-likert","13","1111188","0.0-13.0","{""new_languages"":2}","[0]"
"","230770","survey-html-form","14","1342059","0.0-14.0","{""language_0"":""kreyol"",""listen_0"":""3"",""talk_0"":""6"",""read_0"":""6"",""write_0"":""6"",""language_1"":""frances"",""listen_1"":""2"",""talk_1"":""2"",""read_1"":""2"",""write_1"":""6"",""language_2"":""ingles"",""listen_2"":""3"",""talk_2"":""3"",""read_2"":""3"",""write_2"":""3"",""language_3"":""portugues"",""listen_3"":""5"",""talk_3"":""5"",""read_3"":""6"",""write_3"":""6""}",""
"","259697","survey-html-form","15","1601858","0.0-15.0","{""language_0"":""kreyol"",""tv_0"":""5"",""radio_0"":"""",""read_fun_0"":""3"",""read_work_0"":"""",""write_0"":"""",""social_nets_0"":""2"",""language_1"":""frances"",""tv_1"":""5"",""radio_1"":""5"",""read_fun_1"":""3"",""read_work_1"":"""",""write_1"":"""",""social_nets_1"":""3"",""language_2"":""ingles"",""tv_2"":""1"",""radio_2"":""1"",""read_fun_2"":""1"",""read_work_2"":"""",""write_2"":"""",""social_nets_2"":""3"",""language_3"":""portugues"",""tv_3"":""9"",""radio_3"":""9"",""read_fun_3"":""7"",""read_work_3"":""7"",""write_3"":""7"",""social_nets_3"":""8""}",""
"","134065","survey-html-form","16","1736025","0.0-16.0","{""language_0"":""kreyol"",""family_0"":""5"",""friends_0"":""10"",""work_0"":"""",""school_0"":"""",""language_1"":""frances"",""family_1"":""5"",""friends_1"":""10"",""work_1"":"""",""school_1"":"""",""language_2"":""ingles"",""family_2"":""1"",""friends_2"":""2"",""work_2"":""1"",""school_2"":"""",""language_3"":""portugues"",""family_3"":""5"",""friends_3"":""10"",""work_3"":""8"",""school_3"":""""}",""
