"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":54587},{""page_index"":1,""viewing_time"":9016}]","63604","instructions","0","63605","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","64709","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","18120","audio-keyboard-response","2","83392","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","9288","audio-keyboard-response","3","93062","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2480","audio-keyboard-response","4","95926","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2419","audio-keyboard-response","5","98710","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1381","audio-keyboard-response","6","100446","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1629","audio-keyboard-response","7","102414","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1299","audio-keyboard-response","8","104014","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","105284","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5669","audio-keyboard-response","10","111318","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1899","audio-keyboard-response","11","113622","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1440","audio-keyboard-response","12","115462","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1229","audio-keyboard-response","13","116998","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","861","audio-keyboard-response","14","118158","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","960","audio-keyboard-response","15","119414","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","808","audio-keyboard-response","16","120534","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","909","audio-keyboard-response","17","121774","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","13717","html-keyboard-response","18","135751","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":31616}]","31616","instructions","19","167880","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","168984","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","181","audio-keyboard-response","21","169615","0.0-3.0-1.0","../audio/23-1-masc.mp3"," ","","Português","","","",""
"","1339","audio-keyboard-response","22","171263","0.0-3.0-1.1","../audio/23-2-masc.mp3"," ","","é","","","",""
"","1080","audio-keyboard-response","23","172639","0.0-3.0-1.2","../audio/23-3-masc.mp3"," ","","um","","","",""
"","1301","audio-keyboard-response","24","174248","0.0-3.0-1.3","../audio/23-4-masc.mp3"," ","","assunto","","","",""
"","1552","audio-keyboard-response","25","176128","0.0-3.0-1.4","../audio/23-5-masc.mp3"," ","","elementar","","","",""
"","1011","audio-keyboard-response","26","177440","0.0-3.0-1.5","../audio/23-6-masc.mp3"," ","","para","","","",""
"","931","audio-keyboard-response","27","178680","0.0-3.0-1.6","../audio/23-7-masc.mp3"," ","","os","","","",""
"","1720","audio-keyboard-response","28","180712","0.0-3.0-1.7","../audio/23-8-masc.mp3"," ","","alunos.","","","",""
"","null","html-keyboard-response","29","181968","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2520","audio-keyboard-response","30","184888","0.0-3.0-1.8","../audio/21-1-fem.mp3"," ","","Precisamos","","","",""
"","1000","audio-keyboard-response","31","186256","0.0-3.0-1.9","../audio/21-2-fem.mp3"," ","","de","","","",""
"","1691","audio-keyboard-response","32","188280","0.0-3.0-1.10","../audio/21-3-fem.mp3"," ","","paciência","","","",""
"","880","audio-keyboard-response","33","189464","0.0-3.0-1.11","../audio/21-4-fem.mp3"," ","","e","","","",""
"","1251","audio-keyboard-response","34","191056","0.0-3.0-1.12","../audio/21-5-fem.mp3"," ","","bondade","","","",""
"","1160","audio-keyboard-response","35","192528","0.0-3.0-1.13","../audio/21-6-fem.mp3"," ","","para","","","",""
"","1040","audio-keyboard-response","36","193872","0.0-3.0-1.14","../audio/21-7-fem.mp3"," ","","um","","","",""
"","1280","audio-keyboard-response","37","195464","0.0-3.0-1.15","../audio/21-8-fem.mp3"," ","","mundo","","","",""
"","1141","audio-keyboard-response","38","196936","0.0-3.0-1.16","../audio/21-9-fem.mp3"," ","","melhor.","","","",""
"","null","html-keyboard-response","39","198206","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1139","audio-keyboard-response","40","199704","0.0-3.0-1.17","../audio/24-1-fem.mp3"," ","","As","","","",""
"","1171","audio-keyboard-response","41","201200","0.0-3.0-1.18","../audio/24-2-fem.mp3"," ","","crianças","","","",""
"","891","audio-keyboard-response","42","202432","0.0-3.0-1.19","../audio/24-3-fem.mp3"," ","","vão","","","",""
"","1088","audio-keyboard-response","43","203824","0.0-3.0-1.20","../audio/24-4-fem.mp3"," ","","ao","","","",""
"","4960","audio-keyboard-response","44","209121","0.0-3.0-1.21","../audio/24-5-fem.mp3"," ","","cinema","","","",""
"","2208","audio-keyboard-response","45","211745","0.0-3.0-1.22","../audio/24-6-fem.mp3"," ","","mais","","","",""
"","2371","audio-keyboard-response","46","214489","0.0-3.0-1.23","../audio/24-7-fem.mp3"," ","","tarde.","","","",""
"","null","html-keyboard-response","47","215750","0.0-3.0-0.24-0.24","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1461","audio-keyboard-response","48","217577","0.0-3.0-1.24","../audio/22-1-fem.mp3"," ","","Eu","","","",""
"","1360","audio-keyboard-response","49","219297","0.0-3.0-1.25","../audio/22-2-fem.mp3"," ","","detesto","","","",""
"","1131","audio-keyboard-response","50","220761","0.0-3.0-1.26","../audio/22-3-fem.mp3"," ","","fumaça","","","",""
"","661","audio-keyboard-response","51","221777","0.0-3.0-1.27","../audio/22-4-fem.mp3"," ","","de","","","",""
"","949","audio-keyboard-response","52","223065","0.0-3.0-1.28","../audio/22-5-fem.mp3"," ","","cachimbo","","","",""
"","1069","audio-keyboard-response","53","224441","0.0-3.0-1.29","../audio/22-6-fem.mp3"," ","","e","","","",""
"","752","audio-keyboard-response","54","225489","0.0-3.0-1.30","../audio/22-7-fem.mp3"," ","","de","","","",""
"","1491","audio-keyboard-response","55","227337","0.0-3.0-1.31","../audio/22-8-fem.mp3"," ","","cigarro.","","","",""
"","null","html-keyboard-response","56","228608","0.0-3.0-0.32-0.32","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1589","audio-keyboard-response","57","230562","0.0-3.0-1.32","../audio/25-1-fem.mp3"," ","","Ela","","","",""
"","1091","audio-keyboard-response","58","232010","0.0-3.0-1.33","../audio/25-2-fem.mp3"," ","","faz","","","",""
