"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":3323},{""page_index"":1,""viewing_time"":3272}]","6596","instructions","0","6599","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","7715","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2957","html-keyboard-response","2","10925","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","2774","html-keyboard-response","3","13963","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","1285","html-keyboard-response","4","15507","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","953","html-keyboard-response","5","16715","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","891","html-keyboard-response","6","17867","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","3063","html-keyboard-response","7","21188","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","1003","html-keyboard-response","8","22444","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","23708","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","943","html-keyboard-response","10","24908","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","1339","html-keyboard-response","11","26500","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","910","html-keyboard-response","12","27668","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1272","html-keyboard-response","13","29196","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","860","html-keyboard-response","14","30316","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","980","html-keyboard-response","15","31548","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","868","html-keyboard-response","16","32668","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1084","html-keyboard-response","17","34004","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","8844","html-keyboard-response","18","43100","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","s","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":7261}]","7261","instructions","19","50863","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","51966","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3531","html-keyboard-response","21","55749","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Eu</span>"," ","","exp-sent","Eu","","",""
"","596","html-keyboard-response","22","56597","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">gosto</span>"," ","","exp-sent","gosto","","",""
"","596","html-keyboard-response","23","57445","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","979","html-keyboard-response","24","58677","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">molho</span>"," ","","exp-sent","molho","","",""
"","852","html-keyboard-response","25","59781","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">picante</span>"," ","","exp-sent","picante","","",""
"","884","html-keyboard-response","26","60917","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">nas</span>"," ","","exp-sent","nas","","",""
"","1324","html-keyboard-response","27","62494","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">batatas.</span>"," ","","exp-sent","batatas.","","",""
"","null","html-keyboard-response","28","63747","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","783","html-keyboard-response","29","64781","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","853","html-keyboard-response","30","65886","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">pessoas</span>"," ","","exp-sent","pessoas","","",""
"","747","html-keyboard-response","31","66886","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">têm</span>"," ","","exp-sent","têm","","",""
"","724","html-keyboard-response","32","67862","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">sua</span>"," ","","exp-sent","sua","","",""
"","27261","html-keyboard-response","33","95375","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">liberdade</span>"," ","","exp-sent","liberdade","","",""
"","1572","html-keyboard-response","34","97198","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">até</span>"," ","","exp-sent","até","","",""
"","580","html-keyboard-response","35","98031","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">certo</span>"," ","","exp-sent","certo","","",""
"","1019","html-keyboard-response","36","99302","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">ponto.</span>"," ","","exp-sent","ponto.","","",""
"","null","html-keyboard-response","37","100556","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","559","html-keyboard-response","38","101367","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","765","html-keyboard-response","39","102383","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">empresa</span>"," ","","exp-sent","empresa","","",""
"","669","html-keyboard-response","40","103303","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">enviou</span>"," ","","exp-sent","enviou","","",""
"","763","html-keyboard-response","41","104319","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","683","html-keyboard-response","42","105255","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">aviso</span>"," ","","exp-sent","aviso","","",""
"","701","html-keyboard-response","43","106207","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">hoje</span>"," ","","exp-sent","hoje","","",""
"","596","html-keyboard-response","44","107055","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","812","html-keyboard-response","45","108119","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">tarde.</span>"," ","","exp-sent","tarde.","","",""
"","null","html-keyboard-response","46","109372","0.0-3.0-0.23-0.23","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","647","html-keyboard-response","47","110271","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","708","html-keyboard-response","48","111231","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">loja</span>"," ","","exp-sent","loja","","",""
"","581","html-keyboard-response","49","112063","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">vende</span>"," ","","exp-sent","vende","","",""
"","1029","html-keyboard-response","50","113351","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">tanto</span>"," ","","exp-sent","tanto","","",""
"","716","html-keyboard-response","51","114319","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">frituras</span>"," ","","exp-sent","frituras","","",""
"","684","html-keyboard-response","52","115255","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">quanto</span>"," ","","exp-sent","quanto","","",""
"","852","html-keyboard-response","53","116359","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">comidas</span>"," ","","exp-sent","comidas","","",""
"","732","html-keyboard-response","54","117343","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">leves.</span>"," ","","exp-sent","leves.","","",""
"","null","html-keyboard-response","55","118596","0.0-3.0-0.31-0.31","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6088","html-keyboard-response","56","124935","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","716","html-keyboard-response","57","125903","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">cadeiras</span>"," ","","exp-sent","cadeiras","","",""
"","589","html-keyboard-response","58","126744","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">azuis</span>"," ","","exp-sent","azuis","","",""
"","661","html-keyboard-response","59","127656","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","531","html-keyboard-response","60","128439","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">sala</span>"," ","","exp-sent","sala","","",""
"","685","html-keyboard-response","61","129376","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">eram</span>"," ","","exp-sent","eram","","",""
"","9596","html-keyboard-response","62","139224","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","900","html-keyboard-response","63","140376","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">minha</span>"," ","","exp-sent","minha","","",""
"","3132","html-keyboard-response","64","143760","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">vó.</span>"," ","","comp","vó.","","",""
"","10495","html-keyboard-response","65","154521","0.0-3.0-2.39-0.39","<span style=""font-size:30px; font-family: monospace"">As cadeiras eram da avó?</span>","s","","comp","","As cadeiras eram da avó?","sim","false"
"","null","html-keyboard-response","66","156023","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","797","html-keyboard-response","67","157072","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">Este</span>"," ","","exp-sent","Este","","",""
"","612","html-keyboard-response","68","157936","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">conto</span>"," ","","exp-sent","conto","","",""
"","572","html-keyboard-response","69","158760","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">tem</span>"," ","","exp-sent","tem","","",""
"","549","html-keyboard-response","70","159560","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","388","html-keyboard-response","71","160200","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">final</span>"," ","","exp-sent","final","","",""
"","428","html-keyboard-response","72","160880","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">perfeito.</span>"," ","","exp-sent","perfeito.","","",""
"","null","html-keyboard-response","73","162134","0.0-3.0-0.46-0.46","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","632394","html-keyboard-response","74","794780","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","844","html-keyboard-response","75","795876","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">precisa</span>"," ","","exp-sent","precisa","","",""
"","492","html-keyboard-response","76","796620","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","420","html-keyboard-response","77","797292","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
