"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":3005}]","3005","instructions","0","3007","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","3625","0.0-1.0-0.0","+","null","","","","","",""
"","6414","html-keyboard-response","2","10040","0.0-1.0-1.0","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","10544","0.0-1.0-0.1","+","null","","","","","",""
"","798","html-keyboard-response","4","11343","0.0-1.0-1.1","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","11851","0.0-1.0-0.2","+","null","","","","","",""
"","482","html-keyboard-response","6","12334","0.0-1.0-1.2","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","7","12842","0.0-1.0-0.3","+","null","","","","","",""
"","996","html-keyboard-response","8","13839","0.0-1.0-1.3","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","14344","0.0-1.0-0.4","+","null","","","","","",""
"","238","html-keyboard-response","10","14583","0.0-1.0-1.4","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","15093","0.0-1.0-0.5","+","null","","","","","",""
"","216","html-keyboard-response","12","15311","0.0-1.0-1.5","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","15812","0.0-1.0-0.6","+","null","","","","","",""
"","130","html-keyboard-response","14","15943","0.0-1.0-1.6","chassi","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":14024}]","14024","instructions","15","29968","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","30571","0.0-3.0-0.0","+","null","","","","","",""
"","59533","html-keyboard-response","17","90105","0.0-3.0-1.0","promeção","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","90607","0.0-3.0-0.1","+","null","","","","","",""
"","42087083","html-keyboard-response","19","42180776","0.0-3.0-1.1","dacada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","42181285","0.0-3.0-0.2","+","null","","","","","",""
"","121","html-keyboard-response","21","42181407","0.0-3.0-1.2","senareta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","42181922","0.0-3.0-0.3","+","null","","","","","",""
"","1813","html-keyboard-response","23","42183735","0.0-3.0-1.3","ofreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","42184237","0.0-3.0-0.4","+","null","","","","","",""
"","123","html-keyboard-response","25","42184361","0.0-3.0-1.4","oricia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","42184875","0.0-3.0-0.5","+","null","","","","","",""
"","572","html-keyboard-response","27","42185448","0.0-3.0-1.5","vitrive","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","42185961","0.0-3.0-0.6","+","null","","","","","",""
"","430","html-keyboard-response","29","42186392","0.0-3.0-1.6","macras","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","42186903","0.0-3.0-0.7","+","null","","","","","",""
"","1136","html-keyboard-response","31","42188040","0.0-3.0-1.7","jantar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","32","42188548","0.0-3.0-0.8","+","null","","","","","",""
"","603","html-keyboard-response","33","42189152","0.0-3.0-1.8","rédesa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","42189665","0.0-3.0-0.9","+","null","","","","","",""
"","246","html-keyboard-response","35","42189912","0.0-3.0-1.9","conjerto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","42190416","0.0-3.0-0.10","+","null","","","","","",""
"","311","html-keyboard-response","37","42190728","0.0-3.0-1.10","cerca","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","38","42191230","0.0-3.0-0.11","+","null","","","","","",""
"","353","html-keyboard-response","39","42191584","0.0-3.0-1.11","risbos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","40","42192092","0.0-3.0-0.12","+","null","","","","","",""
"","299","html-keyboard-response","41","42192392","0.0-3.0-1.12","incomodar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","42","42192893","0.0-3.0-0.13","+","null","","","","","",""
"","394","html-keyboard-response","43","42193288","0.0-3.0-1.13","fratos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","44","42193800","0.0-3.0-0.14","+","null","","","","","",""
"","215","html-keyboard-response","45","42194016","0.0-3.0-1.14","esperar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","46","42194518","0.0-3.0-0.15","+","null","","","","","",""
"","545","html-keyboard-response","47","42195064","0.0-3.0-1.15","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","48","42195572","0.0-3.0-0.16","+","null","","","","","",""
"","2675","html-keyboard-response","49","42198248","0.0-3.0-1.16","bracos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","42198749","0.0-3.0-0.17","+","null","","","","","",""
"","314","html-keyboard-response","51","42199064","0.0-3.0-1.17","promessa","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","52","42199578","0.0-3.0-0.18","+","null","","","","","",""
"","541","html-keyboard-response","53","42200120","0.0-3.0-1.18","trenos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","42200633","0.0-3.0-0.19","+","null","","","","","",""
"","300273","html-keyboard-response","55","42500907","0.0-3.0-1.19","pedaço","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","56","42501408","0.0-3.0-0.20","+","null","","","","","",""
"","288","html-keyboard-response","57","42501697","0.0-3.0-1.20","mania","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","58","42502198","0.0-3.0-0.21","+","null","","","","","",""
"","210","html-keyboard-response","59","42502409","0.0-3.0-1.21","prever","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","60","42502912","0.0-3.0-0.22","+","null","","","","","",""
"","57","html-keyboard-response","61","42502969","0.0-3.0-1.22","aitrou","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","42503470","0.0-3.0-0.23","+","null","","","","","",""
"","378","html-keyboard-response","63","42503849","0.0-3.0-1.23","avenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","42504351","0.0-3.0-0.24","+","null","","","","","",""
"","324805","html-keyboard-response","65","42829156","0.0-3.0-1.24","undivídio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","42829657","0.0-3.0-0.25","+","null","","","","","",""
"","1201","html-keyboard-response","67","42830859","0.0-3.0-1.25","pimada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","68","42831360","0.0-3.0-0.26","+","null","","","","","",""
"","131","html-keyboard-response","69","42831491","0.0-3.0-1.26","açúcar","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","70","42832007","0.0-3.0-0.27","+","null","","","","","",""
"","476","html-keyboard-response","71","42832483","0.0-3.0-1.27","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","72","42832985","0.0-3.0-0.28","+","null","","","","","",""
"","114","html-keyboard-response","73","42833099","0.0-3.0-1.28","tela","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","74","42833600","0.0-3.0-0.29","+","null","","","","","",""
"","482","html-keyboard-response","75","42834083","0.0-3.0-1.29","pneucania","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","76","42834585","0.0-3.0-0.30","+","null","","","","","",""
"","2186","html-keyboard-response","77","42836771","0.0-3.0-1.30","manfa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","78","42837273","0.0-3.0-0.31","+","null","","","","","",""
"","446089","html-keyboard-response","79","43283362","0.0-3.0-1.31","extravagante","s","a","cog","word","S","exp","12"
"","null","html-keyboard-response","80","43283866","0.0-3.0-0.32","+","null","","","","","",""
"","479","html-keyboard-response","81","43284345","0.0-3.0-1.32","plinta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","82","43284847","0.0-3.0-0.33","+","null","","","","","",""
"","234","html-keyboard-response","83","43285081","0.0-3.0-1.33","mal","s","a","cog","word","S","exp","3"
"","null","html-keyboard-response","84","43285582","0.0-3.0-0.34","+","null","","","","","",""
"","2","html-keyboard-response","85","43285585","0.0-3.0-1.34","verdade","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","86","43286088","0.0-3.0-0.35","+","null","","","","","",""
"","289","html-keyboard-response","87","43286377","0.0-3.0-1.35","manais","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","88","43286878","0.0-3.0-0.36","+","null","","","","","",""
"","178","html-keyboard-response","89","43287057","0.0-3.0-1.36","liso","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","90","43287560","0.0-3.0-0.37","+","null","","","","","",""
"","133686","html-keyboard-response","91","43421246","0.0-3.0-1.37","alfabeto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","92","43421747","0.0-3.0-0.38","+","null","","","","","",""
"","73","html-keyboard-response","93","43421821","0.0-3.0-1.38","prenas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","94","43422323","0.0-3.0-0.39","+","null","","","","","",""
"","82","html-keyboard-response","95","43422405","0.0-3.0-1.39","fasdas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","96","43422906","0.0-3.0-0.40","+","null","","","","","",""
"","178","html-keyboard-response","97","43423085","0.0-3.0-1.40","reduzir","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","98","43423588","0.0-3.0-0.41","+","null","","","","","",""
"","217","html-keyboard-response","99","43423805","0.0-3.0-1.41","tio","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","100","43424313","0.0-3.0-0.42","+","null","","","","","",""
"","35","html-keyboard-response","101","43424349","0.0-3.0-1.42","tronca","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","102","43424851","0.0-3.0-0.43","+","null","","","","","",""
"","146","html-keyboard-response","103","43424997","0.0-3.0-1.43","morija","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","43425499","0.0-3.0-0.44","+","null","","","","","",""
"","81","html-keyboard-response","105","43425581","0.0-3.0-1.44","aemaça","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","106","43426083","0.0-3.0-0.45","+","null","","","","","",""
"","18","html-keyboard-response","107","43426101","0.0-3.0-1.45","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","108","43426603","0.0-3.0-0.46","+","null","","","","","",""
"","58","html-keyboard-response","109","43426661","0.0-3.0-1.46","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","110","43427163","0.0-3.0-0.47","+","null","","","","","",""
"","18","html-keyboard-response","111","43427181","0.0-3.0-1.47","ensuas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","112","43427683","0.0-3.0-0.48","+","null","","","","","",""
"","434","html-keyboard-response","113","43428117","0.0-3.0-1.48","delirar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","114","43428620","0.0-3.0-0.49","+","null","","","","","",""
"","289","html-keyboard-response","115","43428909","0.0-3.0-1.49","motre","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","116","43429410","0.0-3.0-0.50","+","null","","","","","",""
"","58","html-keyboard-response","117","43429469","0.0-3.0-1.50","fino","s","a","cog","word","S","exp","4"
"","null","html-keyboard-response","118","43429971","0.0-3.0-0.51","+","null","","","","","",""
"","170","html-keyboard-response","119","43430141","0.0-3.0-1.51","oper","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","120","43430643","0.0-3.0-0.52","+","null","","","","","",""
"","218","html-keyboard-response","121","43430861","0.0-3.0-1.52","enxerido","s","a","noncog","word","S","exp","8"
"","null","html-keyboard-response","122","43431363","0.0-3.0-0.53","+","null","","","","","",""
"","410","html-keyboard-response","123","43431774","0.0-3.0-1.53","tatear","s","v","cog","word","S","exp","6"
"","null","html-keyboard-response","124","43432276","0.0-3.0-0.54","+","null","","","","","",""
"","449","html-keyboard-response","125","43432726","0.0-3.0-1.54","comércio","s","n","noncog","word","S","exp","8"
"","null","html-keyboard-response","126","43433227","0.0-3.0-0.55","+","null","","","","","",""
"","122","html-keyboard-response","127","43433350","0.0-3.0-1.55","bandido","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","128","43433851","0.0-3.0-0.56","+","null","","","","","",""
"","130","html-keyboard-response","129","43433982","0.0-3.0-1.56","ênclio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","130","43434484","0.0-3.0-0.57","+","null","","","","","",""
"","161","html-keyboard-response","131","43434646","0.0-3.0-1.57","abieso","s","null","noncog","pseudo","N","exp","null"
