"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":22970}]","22971","instructions","0","22973","0.0-0.0","","","",""
"","null","html-keyboard-response","1","23587","0.0-1.0-0.0","+","null","",""
"","5120","audio-keyboard-response","2","28826","0.0-1.0-1.0","../audio/teste-vocab--112.mp3","s","aparição","aparisyon"
"","null","html-keyboard-response","3","29329","0.0-1.0-0.1","+","null","",""
"","2232","audio-keyboard-response","4","31697","0.0-1.0-1.1","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","5","32203","0.0-1.0-0.2","+","null","",""
"","1549","audio-keyboard-response","6","33905","0.0-1.0-1.2","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","7","34406","0.0-1.0-0.3","+","null","",""
"","1920","audio-keyboard-response","8","36481","0.0-1.0-1.3","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","9","36992","0.0-1.0-0.4","+","null","",""
"","1851","audio-keyboard-response","10","38977","0.0-1.0-1.4","../audio/teste-vocab--124.mp3","s","obelisco","obelisk"
"","null","html-keyboard-response","11","39483","0.0-1.0-0.5","+","null","",""
"","1760","audio-keyboard-response","12","41393","0.0-1.0-1.5","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
"","null","html-keyboard-response","13","41895","0.0-1.0-0.6","+","null","",""
"","1840","audio-keyboard-response","14","43897","0.0-1.0-1.6","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","15","44399","0.0-1.0-0.7","+","null","",""
"","1459","audio-keyboard-response","16","45985","0.0-1.0-1.7","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","17","46490","0.0-1.0-0.8","+","null","",""
"","1840","audio-keyboard-response","18","48489","0.0-1.0-1.8","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","19","48992","0.0-1.0-0.9","+","null","",""
"","1760","audio-keyboard-response","20","50906","0.0-1.0-1.9","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","21","51416","0.0-1.0-0.10","+","null","",""
"","1621","audio-keyboard-response","22","53209","0.0-1.0-1.10","../audio/teste-vocab--82.mp3","s","roer","ronje"
"","null","html-keyboard-response","23","53714","0.0-1.0-0.11","+","null","",""
"","1859","audio-keyboard-response","24","55745","0.0-1.0-1.11","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","25","56254","0.0-1.0-0.12","+","null","",""
"","1579","audio-keyboard-response","26","57985","0.0-1.0-1.12","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","27","58488","0.0-1.0-0.13","+","null","",""
"","1920","audio-keyboard-response","28","60569","0.0-1.0-1.13","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","29","61079","0.0-1.0-0.14","+","null","",""
"","1851","audio-keyboard-response","30","63130","0.0-1.0-1.14","../audio/teste-vocab--60.mp3","s","secretaria","sekretè"
"","null","html-keyboard-response","31","63644","0.0-1.0-0.15","+","null","",""
"","1781","audio-keyboard-response","32","65570","0.0-1.0-1.15","../audio/teste-vocab--100.mp3","s","consumir","konsome"
"","null","html-keyboard-response","33","66084","0.0-1.0-0.16","+","null","",""
