"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":11621}]","11622","instructions","0","11984","0.0-0.0","",""
"","44576","survey-text","1","57320","0.0-1.0","{""age"":""38\n1984""}",""
"","3977","survey-multi-choice","2","61400","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","10878","survey-multi-choice","3","72392","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","9703","survey-multi-choice","4","82202","0.0-4.0","{""mother_schooling"":""Outro""}","[0]"
"","4697","survey-multi-choice","5","87016","0.0-5.0","{""father_schooling"":""Outro""}","[0]"
"","32750","survey-html-form","6","119883","0.0-6.0","{""language_0"":"""",""listening_0"":"""",""speaking_0"":"""",""reading_0"":"""",""writing_0"":"""",""language_1"":"""",""listening_1"":"""",""speaking_1"":"""",""reading_1"":"""",""writing_1"":"""",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":"""",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","17550","survey-html-form","7","137547","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":"""",""listening_1"":"""",""speaking_1"":"""",""reading_1"":"""",""writing_1"":"""",""language_2"":"""",""listening_2"":"""",""speaking_2"":"""",""reading_2"":"""",""writing_2"":""""}",""
"","6666","survey-text","8","144330","0.0-8.0","{""country_of_origin"":""haiti""}",""
"","8301","survey-text","9","152738","0.0-9.0","{""country_of_residence"":""brasil""}",""
"","13408","survey-html-form","10","166259","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","43150","survey-html-form","11","209516","0.0-11.0","{""language_0"":""3"",""context_0"":"""",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","27616","survey-html-form","12","237238","0.0-12.0","{""language_0"":""trabalha"",""home_0"":"""",""friends_0"":"""",""school_0"":"""",""work_0"":"""",""computer_0"":"""",""games_0"":"""",""language_1"":"""",""home_1"":"""",""friends_1"":"""",""school_1"":"""",""work_1"":"""",""computer_1"":"""",""games_1"":"""",""language_2"":"""",""home_2"":"""",""friends_2"":"""",""school_2"":"""",""work_2"":"""",""computer_2"":"""",""games_2"":"""",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","9589","survey-likert","13","246941","0.0-13.0","{""new_languages"":4}","[0]"
"","12831","survey-html-form","14","259879","0.0-14.0","{""language_0"":"""",""listen_0"":""5"",""talk_0"":"""",""read_0"":"""",""write_0"":"""",""language_1"":"""",""listen_1"":"""",""talk_1"":"""",""read_1"":"""",""write_1"":"""",""language_2"":"""",""listen_2"":"""",""talk_2"":"""",""read_2"":"""",""write_2"":"""",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","23479","survey-html-form","15","283464","0.0-15.0","{""language_0"":""trabalho"",""tv_0"":"""",""radio_0"":"""",""read_fun_0"":"""",""read_work_0"":"""",""write_0"":"""",""social_nets_0"":"""",""language_1"":"""",""tv_1"":"""",""radio_1"":"""",""read_fun_1"":"""",""read_work_1"":"""",""write_1"":"""",""social_nets_1"":"""",""language_2"":"""",""tv_2"":"""",""radio_2"":"""",""read_fun_2"":"""",""read_work_2"":"""",""write_2"":"""",""social_nets_2"":"""",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","31800","survey-html-form","16","315376","0.0-16.0","{""language_0"":""trabalho"",""family_0"":"""",""friends_0"":"""",""work_0"":"""",""school_0"":"""",""language_1"":"""",""family_1"":"""",""friends_1"":"""",""work_1"":"""",""school_1"":"""",""language_2"":"""",""family_2"":"""",""friends_2"":"""",""work_2"":"""",""school_2"":"""",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","12781","survey-html-form","17","328264","0.0-17.0","{""language_0_0"":"""",""language_0_1"":"""",""language_0_2"":"""",""language_0_3"":"""",""language_1_0"":"""",""language_1_1"":"""",""language_1_2"":"""",""language_1_3"":"""",""language_2_0"":"""",""language_2_1"":"""",""language_2_2"":"""",""language_2_3"":"""",""language_3_0"":""trabalho"",""language_3_1"":"""",""language_3_2"":"""",""language_3_3"":""""}",""
"","61000","survey-html-form","18","389371","0.0-18.0","{""language_2"":"""",""think_2"":"""",""selftalk_2"":"""",""emotions_2"":"""",""dream_2"":"""",""math_2"":"""",""remember_2"":"""",""pray_2"":"""",""language_1"":"""",""think_1"":"""",""selftalk_1"":"""",""emotions_1"":"""",""dream_1"":"""",""math_1"":"""",""remember_1"":"""",""pray_1"":"""",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","7671","survey-multi-choice","19","397153","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","9600","survey-text","20","406914","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","21298","survey-text","21","428322","0.0-21.0","{""additional_info"":""""}",""
