"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":23627},{""page_index"":1,""viewing_time"":4042}]","27669","instructions","0","27671","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","28785","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","7149","audio-keyboard-response","2","36528","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1749","audio-keyboard-response","3","38632","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2368","audio-keyboard-response","4","41305","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2040","audio-keyboard-response","5","43671","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1459","audio-keyboard-response","6","45425","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","2219","audio-keyboard-response","7","47958","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1899","audio-keyboard-response","8","50266","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","51534","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","992","audio-keyboard-response","10","52930","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2181","audio-keyboard-response","11","55483","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","4051","audio-keyboard-response","12","59859","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1920","audio-keyboard-response","13","62090","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1421","audio-keyboard-response","14","63802","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1701","audio-keyboard-response","15","65819","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1291","audio-keyboard-response","16","67419","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1819","audio-keyboard-response","17","69541","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","8362","html-keyboard-response","18","78165","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":3916}]","3917","instructions","19","82596","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","83708","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","189","audio-keyboard-response","21","84191","0.0-3.0-1.0","../audio/06-1-masc.mp3"," ","","Ouvimos","","","",""
"","1840","audio-keyboard-response","22","86300","0.0-3.0-1.1","../audio/06-2-masc.mp3"," ","","a","","","",""
"","1869","audio-keyboard-response","23","88467","0.0-3.0-1.2","../audio/06-3-masc.mp3"," ","","fala","","","",""
"","1499","audio-keyboard-response","24","90261","0.0-3.0-1.3","../audio/06-4-masc.mp3"," ","","do","","","",""
"","1400","audio-keyboard-response","25","91942","0.0-3.0-1.4","../audio/06-5-masc.mp3"," ","","profeta","","","",""
"","1240","audio-keyboard-response","26","93452","0.0-3.0-1.5","../audio/06-6-masc.mp3"," ","","no","","","",""
"","1488","audio-keyboard-response","27","95220","0.0-3.0-1.6","../audio/06-7-masc.mp3"," ","","púlpito","","","",""
"","1229","audio-keyboard-response","28","96758","0.0-3.0-1.7","../audio/06-8-masc.mp3"," ","","da","","","",""
"","1600","audio-keyboard-response","29","98656","0.0-3.0-1.8","../audio/06-9-masc.mp3"," ","","igreja.","","","",""
"","null","html-keyboard-response","30","99927","0.0-3.0-0.9-0.9","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1099","audio-keyboard-response","31","101352","0.0-3.0-1.9","../audio/07-1-masc.mp3"," ","","Meu","","","",""
"","1291","audio-keyboard-response","32","102921","0.0-3.0-1.10","../audio/07-2-masc.mp3"," ","","filho","","","",""
