"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":14622}]","14623","instructions","0","14623","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","15247","0.0-1.0-0.0","+","null","","","","","",""
"","42613","html-keyboard-response","2","57861","0.0-1.0-1.0","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","58364","0.0-1.0-0.1","+","null","","","","","",""
"","2799","html-keyboard-response","4","61163","0.0-1.0-1.1","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","61664","0.0-1.0-0.2","+","null","","","","","",""
"","6628","html-keyboard-response","6","68294","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","68797","0.0-1.0-0.3","+","null","","","","","",""
"","1588","html-keyboard-response","8","70387","0.0-1.0-1.3","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","70888","0.0-1.0-0.4","+","null","","","","","",""
"","3951","html-keyboard-response","10","74840","0.0-1.0-1.4","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","75343","0.0-1.0-0.5","+","null","","","","","",""
"","4651","html-keyboard-response","12","79994","0.0-1.0-1.5","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","80496","0.0-1.0-0.6","+","null","","","","","",""
"","3399","html-keyboard-response","14","83896","0.0-1.0-1.6","oliva","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":12116}]","12116","instructions","15","96013","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","96615","0.0-3.0-0.0","+","null","","","","","",""
"","13591","html-keyboard-response","17","110206","0.0-3.0-1.0","ocinto","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","110709","0.0-3.0-0.1","+","null","","","","","",""
"","6382","html-keyboard-response","19","117092","0.0-3.0-1.1","planalto","n","n","cog","word","S","exp","8"
"","null","html-keyboard-response","20","117593","0.0-3.0-0.2","+","null","","","","","",""
"","2534","html-keyboard-response","21","120129","0.0-3.0-1.2","açúcar","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","22","120630","0.0-3.0-0.3","+","null","","","","","",""
"","9777","html-keyboard-response","23","130408","0.0-3.0-1.3","senareta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","130909","0.0-3.0-0.4","+","null","","","","","",""
"","6513","html-keyboard-response","25","137424","0.0-3.0-1.4","undivídio","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","137937","0.0-3.0-0.5","+","null","","","","","",""
"","1909","html-keyboard-response","27","139846","0.0-3.0-1.5","uçar","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","140349","0.0-3.0-0.6","+","null","","","","","",""
"","8275","html-keyboard-response","29","148624","0.0-3.0-1.6","garastia","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","149141","0.0-3.0-0.7","+","null","","","","","",""
"","15304","html-keyboard-response","31","164446","0.0-3.0-1.7","cascata","n","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","32","164948","0.0-3.0-0.8","+","null","","","","","",""
"","6554","html-keyboard-response","33","171503","0.0-3.0-1.8","fino","n","a","cog","word","S","exp","4"
"","null","html-keyboard-response","34","172004","0.0-3.0-0.9","+","null","","","","","",""
"","4268","html-keyboard-response","35","176273","0.0-3.0-1.9","cirado","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","176774","0.0-3.0-0.10","+","null","","","","","",""
"","4458","html-keyboard-response","37","181233","0.0-3.0-1.10","tatear","n","v","cog","word","S","exp","6"
"","null","html-keyboard-response","38","181735","0.0-3.0-0.11","+","null","","","","","",""
"","4636","html-keyboard-response","39","186372","0.0-3.0-1.11","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","40","186874","0.0-3.0-0.12","+","null","","","","","",""
"","3255","html-keyboard-response","41","190130","0.0-3.0-1.12","delomir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","190632","0.0-3.0-0.13","+","null","","","","","",""
"","4758","html-keyboard-response","43","195391","0.0-3.0-1.13","mal","n","a","cog","word","S","exp","3"
"","null","html-keyboard-response","44","195894","0.0-3.0-0.14","+","null","","","","","",""
"","1603","html-keyboard-response","45","197497","0.0-3.0-1.14","oecano","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","46","197999","0.0-3.0-0.15","+","null","","","","","",""
"","3287","html-keyboard-response","47","201288","0.0-3.0-1.15","multiplicar","s","v","cog","word","S","exp","11"
"","null","html-keyboard-response","48","201790","0.0-3.0-0.16","+","null","","","","","",""
"","19849","html-keyboard-response","49","221641","0.0-3.0-1.16","disbrituir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","222142","0.0-3.0-0.17","+","null","","","","","",""
"","7130","html-keyboard-response","51","229273","0.0-3.0-1.17","perdão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","52","229775","0.0-3.0-0.18","+","null","","","","","",""
"","4676","html-keyboard-response","53","234451","0.0-3.0-1.18","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","54","234952","0.0-3.0-0.19","+","null","","","","","",""
"","3156","html-keyboard-response","55","238109","0.0-3.0-1.19","bandido","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","56","238610","0.0-3.0-0.20","+","null","","","","","",""
"","3910","html-keyboard-response","57","242521","0.0-3.0-1.20","ilhure","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","58","243031","0.0-3.0-0.21","+","null","","","","","",""
"","1392","html-keyboard-response","59","244424","0.0-3.0-1.21","tartos","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","244926","0.0-3.0-0.22","+","null","","","","","",""
"","15931","html-keyboard-response","61","260858","0.0-3.0-1.22","tronca","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","62","261359","0.0-3.0-0.23","+","null","","","","","",""
"","8015","html-keyboard-response","63","269375","0.0-3.0-1.23","orupas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","269877","0.0-3.0-0.24","+","null","","","","","",""
"","4373","html-keyboard-response","65","274251","0.0-3.0-1.24","independente","s","a","noncog","word","S","exp","12"
"","null","html-keyboard-response","66","274753","0.0-3.0-0.25","+","null","","","","","",""
"","2098","html-keyboard-response","67","276851","0.0-3.0-1.25","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","68","277352","0.0-3.0-0.26","+","null","","","","","",""
"","10155","html-keyboard-response","69","287508","0.0-3.0-1.26","beima","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","70","288009","0.0-3.0-0.27","+","null","","","","","",""
"","3943","html-keyboard-response","71","291953","0.0-3.0-1.27","delirar","n","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","72","292455","0.0-3.0-0.28","+","null","","","","","",""
"","5696","html-keyboard-response","73","298151","0.0-3.0-1.28","espionar","s","v","cog","word","S","exp","8"
"","null","html-keyboard-response","74","298652","0.0-3.0-0.29","+","null","","","","","",""
"","7300","html-keyboard-response","75","305953","0.0-3.0-1.29","reduzir","n","v","cog","word","S","exp","7"
"","null","html-keyboard-response","76","306454","0.0-3.0-0.30","+","null","","","","","",""
