"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":3931}]","3931","instructions","0","3932","0.0-0.0","","","",""
"","null","html-keyboard-response","1","4542","0.0-1.0-0.0","+","null","",""
"","7269","audio-keyboard-response","2","11862","0.0-1.0-1.0","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","3","12370","0.0-1.0-0.1","+","null","",""
"","9720","audio-keyboard-response","4","22139","0.0-1.0-1.1","../audio/teste-vocab--105.mp3","s","cítrico","sitrik"
"","null","html-keyboard-response","5","22655","0.0-1.0-0.2","+","null","",""
"","3781","audio-keyboard-response","6","26487","0.0-1.0-1.2","../audio/teste-vocab--123.mp3","n","emissão","emisyon"
"","null","html-keyboard-response","7","27002","0.0-1.0-0.3","+","null","",""
"","2701","audio-keyboard-response","8","29916","0.0-1.0-1.3","../audio/teste-vocab--67.mp3","s","corrimão","ranp"
"","null","html-keyboard-response","9","30425","0.0-1.0-0.4","+","null","",""
"","3440","audio-keyboard-response","10","33976","0.0-1.0-1.4","../audio/teste-vocab--110.mp3","n","prodígio","pwodij"
"","null","html-keyboard-response","11","34483","0.0-1.0-0.5","+","null","",""
"","5291","audio-keyboard-response","12","39830","0.0-1.0-1.5","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","13","40338","0.0-1.0-0.6","+","null","",""
"","3189","audio-keyboard-response","14","43704","0.0-1.0-1.6","../audio/teste-vocab--60.mp3","n","secretaria","sekretè"
"","null","html-keyboard-response","15","44212","0.0-1.0-0.7","+","null","",""
"","5232","audio-keyboard-response","16","49571","0.0-1.0-1.7","../audio/teste-vocab--124.mp3","n","obelisco","obelisk"
"","null","html-keyboard-response","17","50082","0.0-1.0-0.8","+","null","",""
"","7229","audio-keyboard-response","18","57429","0.0-1.0-1.8","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","19","57935","0.0-1.0-0.9","+","null","",""
"","9960","audio-keyboard-response","20","68244","0.0-1.0-1.9","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","21","68756","0.0-1.0-0.10","+","null","",""
"","3648","audio-keyboard-response","22","72539","0.0-1.0-1.10","../audio/teste-vocab--118.mp3","s","paralelogramo","paralelogram"
"","null","html-keyboard-response","23","73054","0.0-1.0-0.11","+","null","",""
"","1931","audio-keyboard-response","24","75156","0.0-1.0-1.11","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","25","75659","0.0-1.0-0.12","+","null","",""
"","2189","audio-keyboard-response","26","78058","0.0-1.0-1.12","../audio/teste-vocab--113.mp3","s","ascender","limen"
"","null","html-keyboard-response","27","78568","0.0-1.0-0.13","+","null","",""
"","2440","audio-keyboard-response","28","81577","0.0-1.0-1.13","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","29","82081","0.0-1.0-0.14","+","null","",""
"","1811","audio-keyboard-response","30","84031","0.0-1.0-1.14","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","31","84542","0.0-1.0-0.15","+","null","",""
"","3072","audio-keyboard-response","32","87850","0.0-1.0-1.15","../audio/teste-vocab--80.mp3","s","binóculo","longvi"
"","null","html-keyboard-response","33","88361","0.0-1.0-0.16","+","null","",""
"","1939","audio-keyboard-response","34","90433","0.0-1.0-1.16","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","35","90936","0.0-1.0-0.17","+","null","",""
"","2560","audio-keyboard-response","36","93639","0.0-1.0-1.17","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","37","94141","0.0-1.0-0.18","+","null","",""
"","2240","audio-keyboard-response","38","96514","0.0-1.0-1.18","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","39","97028","0.0-1.0-0.19","+","null","",""
"","1901","audio-keyboard-response","40","99056","0.0-1.0-1.19","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","41","99562","0.0-1.0-0.20","+","null","",""
"","1872","audio-keyboard-response","42","101486","0.0-1.0-1.20","../audio/teste-vocab--14.mp3","s","ler","li"
"","null","html-keyboard-response","43","101988","0.0-1.0-0.21","+","null","",""
"","1979","audio-keyboard-response","44","104019","0.0-1.0-1.21","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","45","104531","0.0-1.0-0.22","+","null","",""
"","1440","audio-keyboard-response","46","106043","0.0-1.0-1.22","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","47","106555","0.0-1.0-0.23","+","null","",""
"","2139","audio-keyboard-response","48","108829","0.0-1.0-1.23","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","49","109335","0.0-1.0-0.24","+","null","",""
"","1771","audio-keyboard-response","50","111359","0.0-1.0-1.24","../audio/teste-vocab--03.mp3","s","balançar","balanse"
"","null","html-keyboard-response","51","111872","0.0-1.0-0.25","+","null","",""
"","1648","audio-keyboard-response","52","113579","0.0-1.0-1.25","../audio/teste-vocab--27.mp3","s","rio","rivyè"
"","null","html-keyboard-response","53","114094","0.0-1.0-0.26","+","null","",""
"","1491","audio-keyboard-response","54","115807","0.0-1.0-1.26","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","55","116320","0.0-1.0-0.27","+","null","",""
"","1819","audio-keyboard-response","56","118194","0.0-1.0-1.27","../audio/teste-vocab--95.mp3","s","submergir","plonje"
