"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":1042}]","1042","instructions","0","1045","0.0-0.0","","","",""
"","null","html-keyboard-response","1","1655","0.0-1.0-0.0","+","null","",""
"","20949","audio-keyboard-response","2","22630","0.0-1.0-1.0","../audio/teste-vocab--58.mp3","n","nutritivo","nourisan"
"","null","html-keyboard-response","3","23142","0.0-1.0-0.1","+","null","",""
"","5851","audio-keyboard-response","4","29013","0.0-1.0-1.1","../audio/teste-vocab--23.mp3","s","acariciar","karese"
"","null","html-keyboard-response","5","29516","0.0-1.0-0.2","+","null","",""
"","5211","audio-keyboard-response","6","34757","0.0-1.0-1.2","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","7","35272","0.0-1.0-0.3","+","null","",""
"","3848","audio-keyboard-response","8","39141","0.0-1.0-1.3","../audio/teste-vocab--88.mp3","s","portátil","pòtab"
"","null","html-keyboard-response","9","39645","0.0-1.0-0.4","+","null","",""
"","3960","audio-keyboard-response","10","43621","0.0-1.0-1.4","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","11","44135","0.0-1.0-0.5","+","null","",""
"","4771","audio-keyboard-response","12","48933","0.0-1.0-1.5","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","13","49446","0.0-1.0-0.6","+","null","",""
"","3280","audio-keyboard-response","14","52741","0.0-1.0-1.6","../audio/teste-vocab--22.mp3","s","quebrado","kraze"
"","null","html-keyboard-response","15","53256","0.0-1.0-0.7","+","null","",""
"","3971","audio-keyboard-response","16","57253","0.0-1.0-1.7","../audio/teste-vocab--90.mp3","n","carniça","kanivò"
"","null","html-keyboard-response","17","57769","0.0-1.0-0.8","+","null","",""
"","3251","audio-keyboard-response","18","61045","0.0-1.0-1.8","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","19","61547","0.0-1.0-0.9","+","null","",""
"","3549","audio-keyboard-response","20","65125","0.0-1.0-1.9","../audio/teste-vocab--12.mp3","n","jaula","kaj"
"","null","html-keyboard-response","21","65628","0.0-1.0-0.10","+","null","",""
