"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":64128},{""page_index"":1,""viewing_time"":13328}]","77456","instructions","0","77457","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","78559","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","5160","audio-keyboard-response","2","84312","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","2971","audio-keyboard-response","3","87560","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2211","audio-keyboard-response","4","90056","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","2120","audio-keyboard-response","5","92456","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1459","audio-keyboard-response","6","94200","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1741","audio-keyboard-response","7","96216","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1459","audio-keyboard-response","8","97960","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","99237","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1280","audio-keyboard-response","10","100792","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2080","audio-keyboard-response","11","103160","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1851","audio-keyboard-response","12","105288","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1659","audio-keyboard-response","13","107224","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1229","audio-keyboard-response","14","108728","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1221","audio-keyboard-response","15","110216","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1029","audio-keyboard-response","16","111528","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1320","audio-keyboard-response","17","113128","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","26850","html-keyboard-response","18","140231","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":30409}]","30409","instructions","19","171152","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","172254","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3688","audio-keyboard-response","21","176312","0.0-3.0-1.0","../audio/69-1-masc.mp3"," ","","A","","","",""
