"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":43410}]","43410","instructions","0","43412","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","44015","0.0-1.0-0.0","+","null","","","","","",""
"","628","html-keyboard-response","2","44644","0.0-1.0-1.0","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","45146","0.0-1.0-0.1","+","null","","","","","",""
"","729","html-keyboard-response","4","45875","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","46377","0.0-1.0-0.2","+","null","","","","","",""
"","506","html-keyboard-response","6","46884","0.0-1.0-1.2","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","47385","0.0-1.0-0.3","+","null","","","","","",""
"","554","html-keyboard-response","8","47939","0.0-1.0-1.3","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","48440","0.0-1.0-0.4","+","null","","","","","",""
"","794","html-keyboard-response","10","49235","0.0-1.0-1.4","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","49737","0.0-1.0-0.5","+","null","","","","","",""
"","858","html-keyboard-response","12","50595","0.0-1.0-1.5","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","13","51097","0.0-1.0-0.6","+","null","","","","","",""
"","554","html-keyboard-response","14","51651","0.0-1.0-1.6","órgão","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":30608}]","30608","instructions","15","82260","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","82861","0.0-3.0-0.0","+","null","","","","","",""
"","293","html-keyboard-response","17","83155","0.0-3.0-1.0","terdia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","83656","0.0-3.0-0.1","+","null","","","","","",""
"","363","html-keyboard-response","19","84020","0.0-3.0-1.1","promeção","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","84521","0.0-3.0-0.2","+","null","","","","","",""
"","314","html-keyboard-response","21","84836","0.0-3.0-1.2","boreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","85337","0.0-3.0-0.3","+","null","","","","","",""
"","298","html-keyboard-response","23","85635","0.0-3.0-1.3","ótimo","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","24","86136","0.0-3.0-0.4","+","null","","","","","",""
"","331","html-keyboard-response","25","86467","0.0-3.0-1.4","ofreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","86969","0.0-3.0-0.5","+","null","","","","","",""
"","330","html-keyboard-response","27","87299","0.0-3.0-1.5","pneucania","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","87801","0.0-3.0-0.6","+","null","","","","","",""
"","330","html-keyboard-response","29","88131","0.0-3.0-1.6","incomodar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","30","88632","0.0-3.0-0.7","+","null","","","","","",""
"","331","html-keyboard-response","31","88963","0.0-3.0-1.7","instruído","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","32","89465","0.0-3.0-0.8","+","null","","","","","",""
"","362","html-keyboard-response","33","89827","0.0-3.0-1.8","âgnulo","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","90329","0.0-3.0-0.9","+","null","","","","","",""
"","314","html-keyboard-response","35","90644","0.0-3.0-1.9","espinho","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","36","91144","0.0-3.0-0.10","+","null","","","","","",""
"","315","html-keyboard-response","37","91460","0.0-3.0-1.10","tímido","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","38","91961","0.0-3.0-0.11","+","null","","","","","",""
"","330","html-keyboard-response","39","92292","0.0-3.0-1.11","agressivo","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","40","92793","0.0-3.0-0.12","+","null","","","","","",""
"","346","html-keyboard-response","41","93139","0.0-3.0-1.12","manais","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","42","93641","0.0-3.0-0.13","+","null","","","","","",""
"","314","html-keyboard-response","43","93955","0.0-3.0-1.13","mal","s","a","cog","word","S","exp","3"
"","null","html-keyboard-response","44","94456","0.0-3.0-0.14","+","null","","","","","",""
"","331","html-keyboard-response","45","94788","0.0-3.0-1.14","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","46","95289","0.0-3.0-0.15","+","null","","","","","",""
"","362","html-keyboard-response","47","95651","0.0-3.0-1.15","civil","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","48","96153","0.0-3.0-0.16","+","null","","","","","",""
"","377","html-keyboard-response","49","96531","0.0-3.0-1.16","nome","s","n","cog","word","S","exp","4"
"","null","html-keyboard-response","50","97032","0.0-3.0-0.17","+","null","","","","","",""
"","267","html-keyboard-response","51","97300","0.0-3.0-1.17","carro","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","52","97800","0.0-3.0-0.18","+","null","","","","","",""
"","331","html-keyboard-response","53","98131","0.0-3.0-1.18","distraído","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","54","98633","0.0-3.0-0.19","+","null","","","","","",""
"","379","html-keyboard-response","55","99012","0.0-3.0-1.19","fusbão","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","99513","0.0-3.0-0.20","+","null","","","","","",""
"","282","html-keyboard-response","57","99795","0.0-3.0-1.20","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","58","100297","0.0-3.0-0.21","+","null","","","","","",""
"","314","html-keyboard-response","59","100612","0.0-3.0-1.21","aparme","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","60","101124","0.0-3.0-0.22","+","null","","","","","",""
"","255","html-keyboard-response","61","101379","0.0-3.0-1.22","perdão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","62","101880","0.0-3.0-0.23","+","null","","","","","",""
"","203","html-keyboard-response","63","102083","0.0-3.0-1.23","euorpa","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","64","102584","0.0-3.0-0.24","+","null","","","","","",""
"","219","html-keyboard-response","65","102804","0.0-3.0-1.24","hedoru","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","66","103305","0.0-3.0-0.25","+","null","","","","","",""
"","249","html-keyboard-response","67","103555","0.0-3.0-1.25","destino","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","68","104056","0.0-3.0-0.26","+","null","","","","","",""
"","299","html-keyboard-response","69","104355","0.0-3.0-1.26","candifência","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","70","104856","0.0-3.0-0.27","+","null","","","","","",""
"","251","html-keyboard-response","71","105107","0.0-3.0-1.27","aitrou","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","72","105608","0.0-3.0-0.28","+","null","","","","","",""
"","298","html-keyboard-response","73","105907","0.0-3.0-1.28","salpicado","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","74","106408","0.0-3.0-0.29","+","null","","","","","",""
"","299","html-keyboard-response","75","106708","0.0-3.0-1.29","sintonizar","s","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","76","107209","0.0-3.0-0.30","+","null","","","","","",""
"","297","html-keyboard-response","77","107507","0.0-3.0-1.30","afual","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","78","108008","0.0-3.0-0.31","+","null","","","","","",""
"","315","html-keyboard-response","79","108323","0.0-3.0-1.31","alfabeto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","80","108824","0.0-3.0-0.32","+","null","","","","","",""
"","299","html-keyboard-response","81","109123","0.0-3.0-1.32","convidado","s","n","noncog","word","S","exp","9"
"","null","html-keyboard-response","82","109625","0.0-3.0-0.33","+","null","","","","","",""
"","298","html-keyboard-response","83","109923","0.0-3.0-1.33","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","84","110424","0.0-3.0-0.34","+","null","","","","","",""
"","235","html-keyboard-response","85","110660","0.0-3.0-1.34","franda","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","86","111161","0.0-3.0-0.35","+","null","","","","","",""
"","330","html-keyboard-response","87","111491","0.0-3.0-1.35","hébies","s","null","noncog","pseudo","N","exp","null"
