"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":1317}]","1317","instructions","0","1319","0.0-0.0","",""
"","85165","survey-text","1","86599","0.0-1.0","{""age"":""35""}",""
"","15730","survey-multi-choice","2","102431","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","112153","survey-multi-choice","3","214686","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","2554","survey-multi-choice","4","217343","0.0-4.0","{""mother_schooling"":""""}","[0]"
"","113186","survey-multi-choice","5","330630","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","523325","survey-html-form","6","854117","0.0-6.0","{""language_0"":""kreyol"",""listening_0"":""2"",""speaking_0"":"""",""reading_0"":"""",""writing_0"":"""",""language_1"":""portugues"",""listening_1"":""33"",""speaking_1"":"""",""reading_1"":"""",""writing_1"":"""",""language_2"":""francais"",""listening_2"":""1026"",""speaking_2"":"""",""reading_2"":"""",""writing_2"":"""",""language_3"":""espanyol"",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","647198","survey-html-form","7","1501439","0.0-7.0","{""language_3"":""portugues"",""listening_3"":""33"",""speaking_3"":""33"",""reading_3"":""33"",""writing_3"":""33"",""language_1"":""francais"",""listening_1"":""10"",""speaking_1"":""3"",""reading_1"":""10"",""writing_1"":""9"",""language_2"":""espanyol"",""listening_2"":""27"",""speaking_2"":""27"",""reading_2"":""27"",""writing_2"":""27""}",""
"","53090","survey-text","8","1554631","0.0-8.0","{""country_of_origin"":""haitiano""}",""
"","55387","survey-text","9","1610136","0.0-9.0","{""country_of_residence"":""haiti""}",""
"","521803","survey-html-form","10","2132048","0.0-10.0","{""country_0"":""haiti"",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":""dominkaine"",""duration_1"":""96"",""language_1"":""espagnol"",""frequency_1"":""7"",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","202410","survey-html-form","11","2334561","0.0-11.0","{""language_0"":""2"",""context_0"":""3"",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","633540","survey-html-form","12","2968206","0.0-12.0","{""language_0"":""kreyol"",""home_0"":""2"",""friends_0"":""2"",""school_0"":""3"",""work_0"":""10"",""computer_0"":""00"",""games_0"":""0"",""language_1"":""portugues"",""home_1"":""33"",""friends_1"":""33"",""school_1"":"""",""work_1"":""33"",""computer_1"":"""",""games_1"":"""",""language_2"":""francais"",""home_2"":""10"",""friends_2"":""10"",""school_2"":""10"",""work_2"":""27"",""computer_2"":"""",""games_2"":"""",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","27952","survey-likert","13","2996261","0.0-13.0","{""new_languages"":2}","[0]"
"","302747","survey-html-form","14","3299110","0.0-14.0","{""language_0"":""kreyol"",""listen_0"":""5"",""talk_0"":""5"",""read_0"":""5"",""write_0"":""6"",""language_1"":""portugues"",""listen_1"":""4"",""talk_1"":""4"",""read_1"":""4"",""write_1"":""3"",""language_2"":""francais"",""listen_2"":""5"",""talk_2"":""4"",""read_2"":""4"",""write_2"":""5"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","405179","survey-html-form","15","3704391","0.0-15.0","{""language_0"":""kreyol"",""tv_0"":""6"",""radio_0"":""5"",""read_fun_0"":""3"",""read_work_0"":""2"",""write_0"":""7"",""social_nets_0"":""4"",""language_1"":""portugues"",""tv_1"":""3"",""radio_1"":""3"",""read_fun_1"":""2"",""read_work_1"":""5"",""write_1"":""7"",""social_nets_1"":""5"",""language_2"":""francais"",""tv_2"":""3"",""radio_2"":""5"",""read_fun_2"":""1"",""read_work_2"":""8"",""write_2"":""7"",""social_nets_2"":""1"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","220386","survey-html-form","16","3924880","0.0-16.0","{""language_0"":""kreyol"",""family_0"":""24"",""friends_0"":""11"",""work_0"":""5"",""school_0"":""6"",""language_1"":""portugues"",""family_1"":""24"",""friends_1"":""11"",""work_1"":""7"",""school_1"":""5"",""language_2"":""francai"",""family_2"":""24"",""friends_2"":""10"",""work_2"":""3"",""school_2"":""6"",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","267776","survey-html-form","17","4192759","0.0-17.0","{""language_0_0"":""port kreyol"",""language_0_1"":""port kreyol"",""language_0_2"":""port kreyol"",""language_0_3"":""port kreyol"",""language_1_0"":""port kreyol"",""language_1_1"":""port"",""language_1_2"":""port"",""language_1_3"":""port kreyol"",""language_2_0"":""port"",""language_2_1"":""port"",""language_2_2"":""port"",""language_2_3"":""port"",""language_3_0"":""port kreyol"",""language_3_1"":""port kreyol"",""language_3_2"":""port kreyol"",""language_3_3"":""port kreyol""}",""
"","461171","survey-html-form","18","4654031","0.0-18.0","{""language_2"":""francais"",""think_2"":""4"",""selftalk_2"":""1"",""emotions_2"":""4"",""dream_2"":""5"",""math_2"":""7"",""remember_2"":""4"",""pray_2"":""4"",""language_1"":""portugues"",""think_1"":""5"",""selftalk_1"":""4"",""emotions_1"":""7"",""dream_1"":""7"",""math_1"":""4"",""remember_1"":""7"",""pray_1"":""7"",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","12666","survey-multi-choice","19","4666798","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Sim""}","[0]"
"","21223","survey-text","20","4688126","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","33561","survey-text","21","4721790","0.0-21.0","{""additional_info"":""""}",""
