"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":45484}]","45485","instructions","0","45486","0.0-0.0","","","",""
"","null","html-keyboard-response","1","46101","0.0-1.0-0.0","+","null","",""
"","5960","audio-keyboard-response","2","52341","0.0-1.0-1.0","../audio/teste-vocab--48.mp3","s","joia","bijou"
"","null","html-keyboard-response","3","52851","0.0-1.0-0.1","+","null","",""
"","2920","audio-keyboard-response","4","55797","0.0-1.0-1.1","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","5","56300","0.0-1.0-0.2","+","null","",""
"","31389","audio-keyboard-response","6","87717","0.0-1.0-1.2","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","7","88231","0.0-1.0-0.3","+","null","",""
"","5272","audio-keyboard-response","8","93524","0.0-1.0-1.3","../audio/teste-vocab--74.mp3","s","desilusão","dezilizyon"
"","null","html-keyboard-response","9","94025","0.0-1.0-0.4","+","null","",""
"","3928","audio-keyboard-response","10","97972","0.0-1.0-1.4","../audio/teste-vocab--33.mp3","n","uniforme","inifòm"
"","null","html-keyboard-response","11","98482","0.0-1.0-0.5","+","null","",""
"","2149","audio-keyboard-response","12","100660","0.0-1.0-1.5","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","13","101180","0.0-1.0-0.6","+","null","",""
"","2699","audio-keyboard-response","14","103908","0.0-1.0-1.6","../audio/teste-vocab--124.mp3","n","obelisco","obelisk"
"","null","html-keyboard-response","15","104421","0.0-1.0-0.7","+","null","",""
"","2899","audio-keyboard-response","16","107348","0.0-1.0-1.7","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","17","107860","0.0-1.0-0.8","+","null","",""
"","3080","audio-keyboard-response","18","110964","0.0-1.0-1.8","../audio/teste-vocab--40.mp3","s","bebida","bwason"
"","null","html-keyboard-response","19","111470","0.0-1.0-0.9","+","null","",""
"","3621","audio-keyboard-response","20","115124","0.0-1.0-1.9","../audio/teste-vocab--24.mp3","s","acidente","aksidan"
"","null","html-keyboard-response","21","115640","0.0-1.0-0.10","+","null","",""
"","4181","audio-keyboard-response","22","119844","0.0-1.0-1.10","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","23","120348","0.0-1.0-0.11","+","null","",""
"","2840","audio-keyboard-response","24","123220","0.0-1.0-1.11","../audio/teste-vocab--04.mp3","s","roda","wonn"
"","null","html-keyboard-response","25","123730","0.0-1.0-0.12","+","null","",""
"","4341","audio-keyboard-response","26","128084","0.0-1.0-1.12","../audio/teste-vocab--76.mp3","n","arquivar","achive"
"","null","html-keyboard-response","27","128590","0.0-1.0-0.13","+","null","",""
"","2811","audio-keyboard-response","28","131428","0.0-1.0-1.13","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","29","131940","0.0-1.0-0.14","+","null","",""
"","4528","audio-keyboard-response","30","136500","0.0-1.0-1.14","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","31","137002","0.0-1.0-0.15","+","null","",""
"","2501","audio-keyboard-response","32","139524","0.0-1.0-1.15","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","33","140032","0.0-1.0-0.16","+","null","",""
"","2651","audio-keyboard-response","34","142708","0.0-1.0-1.16","../audio/teste-vocab--42.mp3","s","isolamento","izòlman"
