"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":73671},{""page_index"":1,""viewing_time"":17272}]","90943","instructions","0","90944","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","92057","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3112","audio-keyboard-response","2","95480","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1760","audio-keyboard-response","3","97511","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1800","audio-keyboard-response","4","99591","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1640","audio-keyboard-response","5","101511","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1440","audio-keyboard-response","6","103223","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1800","audio-keyboard-response","7","105287","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1709","audio-keyboard-response","8","107271","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","108544","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2501","audio-keyboard-response","10","111319","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","2309","audio-keyboard-response","11","113911","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1861","audio-keyboard-response","12","116039","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1909","audio-keyboard-response","13","118215","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","1472","audio-keyboard-response","14","119959","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1589","audio-keyboard-response","15","121831","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1461","audio-keyboard-response","16","123559","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","2579","audio-keyboard-response","17","126407","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","64309","html-keyboard-response","18","190981","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":19467}]","19467","instructions","19","210949","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","212051","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2251","audio-keyboard-response","21","214613","0.0-3.0-1.0","../audio/31-1-fem.mp3"," ","","O","","","",""
"","1632","audio-keyboard-response","22","216518","0.0-3.0-1.1","../audio/31-2-fem.mp3"," ","","padeiro","","","",""
"","1419","audio-keyboard-response","23","218214","0.0-3.0-1.2","../audio/31-3-fem.mp3"," ","","usou","","","",""
"","1320","audio-keyboard-response","24","219814","0.0-3.0-1.3","../audio/31-4-fem.mp3"," ","","a","","","",""
