"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":2290}]","2291","instructions","0","2292","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","2919","0.0-1.0-0.0","+","null","","","","","",""
"","56588","html-keyboard-response","2","59508","0.0-1.0-1.0","plibar","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","60009","0.0-1.0-0.1","+","null","","","","","",""
"","12649","html-keyboard-response","4","72659","0.0-1.0-1.1","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","73160","0.0-1.0-0.2","+","null","","","","","",""
"","6074","html-keyboard-response","6","79235","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","79736","0.0-1.0-0.3","+","null","","","","","",""
"","7898","html-keyboard-response","8","87635","0.0-1.0-1.3","crante","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","88136","0.0-1.0-0.4","+","null","","","","","",""
"","2682","html-keyboard-response","10","90819","0.0-1.0-1.4","daja","s","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","91320","0.0-1.0-0.5","+","null","","","","","",""
"","3850","html-keyboard-response","12","95171","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","95672","0.0-1.0-0.6","+","null","","","","","",""
"","5850","html-keyboard-response","14","101523","0.0-1.0-1.6","calmaria","s","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":25711}]","25711","instructions","15","127234","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","127836","0.0-3.0-0.0","+","null","","","","","",""
"","4294","html-keyboard-response","17","132130","0.0-3.0-1.0","cascata","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","18","132631","0.0-3.0-0.1","+","null","","","","","",""
"","3754","html-keyboard-response","19","136386","0.0-3.0-1.1","alfabeto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","20","136887","0.0-3.0-0.2","+","null","","","","","",""
"","2106","html-keyboard-response","21","138994","0.0-3.0-1.2","verdade","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","22","139495","0.0-3.0-0.3","+","null","","","","","",""
"","1690","html-keyboard-response","23","141186","0.0-3.0-1.3","anjo","s","n","cog","word","S","exp","4"
"","null","html-keyboard-response","24","141687","0.0-3.0-0.4","+","null","","","","","",""
"","4027","html-keyboard-response","25","145714","0.0-3.0-1.4","boreta","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","146216","0.0-3.0-0.5","+","null","","","","","",""
"","3658","html-keyboard-response","27","149874","0.0-3.0-1.5","nacional","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","28","150376","0.0-3.0-0.6","+","null","","","","","",""
"","2666","html-keyboard-response","29","153042","0.0-3.0-1.6","uçar","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","153543","0.0-3.0-0.7","+","null","","","","","",""
"","4043","html-keyboard-response","31","157586","0.0-3.0-1.7","lapestra","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","158094","0.0-3.0-0.8","+","null","","","","","",""
"","2068","html-keyboard-response","33","160162","0.0-3.0-1.8","taberia","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","160663","0.0-3.0-0.9","+","null","","","","","",""
"","6618","html-keyboard-response","35","167282","0.0-3.0-1.9","dilheira","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","36","167783","0.0-3.0-0.10","+","null","","","","","",""
"","5291","html-keyboard-response","37","173074","0.0-3.0-1.10","ocinto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","173575","0.0-3.0-0.11","+","null","","","","","",""
"","4202","html-keyboard-response","39","177778","0.0-3.0-1.11","filosofia","n","n","cog","word","S","exp","9"
"","null","html-keyboard-response","40","178279","0.0-3.0-0.12","+","null","","","","","",""
"","7834","html-keyboard-response","41","186114","0.0-3.0-1.12","adoçar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","42","186615","0.0-3.0-0.13","+","null","","","","","",""
"","3594","html-keyboard-response","43","190210","0.0-3.0-1.13","orupas","n","null","noncog","pseudo","N","exp","null"
