"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":71242}]","71242","instructions","0","71244","0.0-0.0","",""
"","29712","survey-text","1","101059","0.0-1.0","{""age"":""43""}",""
"","9873","survey-multi-choice","2","111035","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","15450","survey-multi-choice","3","126587","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","14178","survey-multi-choice","4","140867","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","5066","survey-multi-choice","5","146035","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","393019","survey-html-form","6","539151","0.0-6.0","{""language_0"":""CR"",""listening_0"":""3 "",""speaking_0"":""5 "",""reading_0"":""8"",""writing_0"":""10"",""language_1"":""POR"",""listening_1"":""35"",""speaking_1"":""35"",""reading_1"":""35"",""writing_1"":""35"",""language_2"":""FRAN"",""listening_2"":""11"",""speaking_2"":""15"",""reading_2"":""16"",""writing_2"":""16"",""language_3"":""ESPA"",""listening_3"":""20"",""speaking_3"":""22"",""reading_3"":""23"",""writing_3"":""23""}",""
"","258961","survey-html-form","7","798211","0.0-7.0","{""language_3"":""ESP"",""listening_3"":""2"",""speaking_3"":""3"",""reading_3"":""2"",""writing_3"":""1"",""language_1"":""POR"",""listening_1"":""1"",""speaking_1"":""2"",""reading_1"":""1"",""writing_1"":""1"",""language_2"":""FRAN"",""listening_2"":""4"",""speaking_2"":""4"",""reading_2"":""2"",""writing_2"":""2""}",""
"","43561","survey-text","8","841874","0.0-8.0","{""country_of_origin"":""HAITI""}",""
"","55593","survey-text","9","897569","0.0-9.0","{""country_of_residence"":""BRASIL - 2015""}",""
"","326708","survey-html-form","10","1224377","0.0-10.0","{""country_0"":""REPUBRICA DOMINICANA"",""duration_0"":""60"",""language_0"":""ESPANHOL"",""frequency_0"":""7"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","98313","survey-html-form","11","1322792","0.0-11.0","{""language_0"":""POR"",""context_0"":""2 E 1"",""language_1"":""FRAN"",""context_1"":""2"",""language_2"":""ESP"",""context_2"":""1"",""language_3"":"""",""context_3"":""""}",""
"","267595","survey-html-form","12","1590488","0.0-12.0","{""language_0"":""CR"",""home_0"":""4"",""friends_0"":""5"",""school_0"":""7"",""work_0"":""18"",""computer_0"":""-"",""games_0"":""-"",""language_1"":""POR"",""home_1"":""35"",""friends_1"":""35"",""school_1"":""35"",""work_1"":""36"",""computer_1"":""-"",""games_1"":""-"",""language_2"":""FRAN"",""home_2"":""15"",""friends_2"":""15"",""school_2"":""18"",""work_2"":""18"",""computer_2"":""-"",""games_2"":""-"",""language_3"":""ESP"",""home_3"":""20"",""friends_3"":""22"",""school_3"":""-"",""work_3"":""22"",""computer_3"":""-"",""games_3"":""-""}",""
"","38866","survey-likert","13","1629455","0.0-13.0","{""new_languages"":6}","[0]"
"","195563","survey-html-form","14","1825119","0.0-14.0","{""language_0"":""CR"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""POR"",""listen_1"":""6"",""talk_1"":""6"",""read_1"":""6"",""write_1"":""6"",""language_2"":""FRAN"",""listen_2"":""6"",""talk_2"":""6"",""read_2"":""6"",""write_2"":""6"",""language_3"":""ESP"",""listen_3"":""7"",""talk_3"":""6"",""read_3"":""6"",""write_3"":""6""}",""
"","262755","survey-html-form","15","2087974","0.0-15.0","{""language_0"":""CR"",""tv_0"":""-"",""radio_0"":""-"",""read_fun_0"":""-"",""read_work_0"":""3"",""write_0"":""30MIN"",""social_nets_0"":""3"",""language_1"":""POR"",""tv_1"":""2"",""radio_1"":""-"",""read_fun_1"":""1"",""read_work_1"":""-"",""write_1"":""1"",""social_nets_1"":""1"",""language_2"":""FRAN"",""tv_2"":""-"",""radio_2"":""-"",""read_fun_2"":""-"",""read_work_2"":""-"",""write_2"":""-"",""social_nets_2"":""-"",""language_3"":""ESP"",""tv_3"":""-"",""radio_3"":""-"",""read_fun_3"":""-"",""read_work_3"":""-"",""write_3"":""-"",""social_nets_3"":""-""}",""
"","168945","survey-html-form","16","2257023","0.0-16.0","{""language_0"":""CR"",""family_0"":""5"",""friends_0"":""2"",""work_0"":""5"",""school_0"":""-"",""language_1"":""POR"",""family_1"":""18"",""friends_1"":""18"",""work_1"":""18"",""school_1"":""-"",""language_2"":""FRAN"",""family_2"":""-"",""friends_2"":""-"",""work_2"":""-"",""school_2"":""-"",""language_3"":""ESP"",""family_3"":""-"",""friends_3"":""-"",""work_3"":""-"",""school_3"":""-""}",""
"","144402","survey-html-form","17","2401526","0.0-17.0","{""language_0_0"":""CR"",""language_0_1"":""CR"",""language_0_2"":""CR"",""language_0_3"":""CR"",""language_1_0"":""POR"",""language_1_1"":""POR"",""language_1_2"":""POR"",""language_1_3"":""CR"",""language_2_0"":""-"",""language_2_1"":""-"",""language_2_2"":""-"",""language_2_3"":""-"",""language_3_0"":""POR"",""language_3_1"":""POR"",""language_3_2"":""POR"",""language_3_3"":""CR""}",""
"","338939","survey-html-form","18","2740563","0.0-18.0","{""language_2"":""FRA"",""think_2"":""1"",""selftalk_2"":""1"",""emotions_2"":""1"",""dream_2"":""1"",""math_2"":""1"",""remember_2"":""1"",""pray_2"":""1"",""language_1"":""POR"",""think_1"":""7"",""selftalk_1"":""7"",""emotions_1"":""7"",""dream_1"":""4"",""math_1"":""4"",""remember_1"":""4"",""pray_1"":""4"",""language_3"":""ESP"",""think_3"":""1"",""selftalk_3"":""1"",""emotions_3"":""1"",""dream_3"":""1"",""math_3"":""1"",""remember_3"":""1"",""pray_3"":""3""}",""
"","10699","survey-multi-choice","19","2751370","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","7255","survey-text","20","2758730","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","252330","survey-text","21","3011160","0.0-21.0","{""additional_info"":""EU FAÇO CURSO DE PORTUGUES NA IGREJA ADVENTISTA POR 6 MESES""}",""
