"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":61407},{""page_index"":1,""viewing_time"":1168}]","62576","instructions","0","62578","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","63697","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","10301","audio-keyboard-response","2","75036","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3760","audio-keyboard-response","3","79091","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2661","audio-keyboard-response","4","82040","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","21","audio-keyboard-response","5","82353","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","2509","audio-keyboard-response","6","85175","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","3808","audio-keyboard-response","7","89289","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","3491","audio-keyboard-response","8","93064","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","94325","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2280","audio-keyboard-response","10","96898","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1800","audio-keyboard-response","11","98991","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1832","audio-keyboard-response","12","101126","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1149","audio-keyboard-response","13","102581","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","760","audio-keyboard-response","14","103629","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","672","audio-keyboard-response","15","104598","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","821","audio-keyboard-response","16","105712","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1432","audio-keyboard-response","17","107444","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","4395","html-keyboard-response","18","112096","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":8520}]","8520","instructions","19","121133","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","122252","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1949","audio-keyboard-response","21","124507","0.0-3.0-1.0","../audio/64-1-fem.mp3"," ","","O","","","",""
"","1192","audio-keyboard-response","22","126004","0.0-3.0-1.1","../audio/64-2-fem.mp3"," ","","dia","","","",""
"","1981","audio-keyboard-response","23","128282","0.0-3.0-1.2","../audio/64-3-fem.mp3"," ","","começou","","","",""
"","1309","audio-keyboard-response","24","129897","0.0-3.0-1.3","../audio/64-4-fem.mp3"," ","","com","","","",""
"","1600","audio-keyboard-response","25","131768","0.0-3.0-1.4","../audio/64-5-fem.mp3"," ","","garoa","","","",""
"","1661","audio-keyboard-response","26","133718","0.0-3.0-1.5","../audio/64-6-fem.mp3"," ","","gelada","","","",""
"","1192","audio-keyboard-response","27","135199","0.0-3.0-1.6","../audio/64-7-fem.mp3"," ","","e","","","",""
"","1811","audio-keyboard-response","28","137304","0.0-3.0-1.7","../audio/64-8-fem.mp3"," ","","leve.","","","",""
"","null","html-keyboard-response","29","138568","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1720","audio-keyboard-response","30","140643","0.0-3.0-1.8","../audio/61-1-fem.mp3"," ","","Aquele","","","",""
"","1821","audio-keyboard-response","31","142842","0.0-3.0-1.9","../audio/61-2-fem.mp3"," ","","senhor","","","",""
"","1019","audio-keyboard-response","32","144257","0.0-3.0-1.10","../audio/61-3-fem.mp3"," ","","é","","","",""
