"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":195330}]","195330","instructions","0","195332","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","195951","0.0-1.0-0.0","+","null","","","","","",""
"","3544","html-keyboard-response","2","199500","0.0-1.0-1.0","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","200004","0.0-1.0-0.1","+","null","","","","","",""
"","3555","html-keyboard-response","4","203560","0.0-1.0-1.1","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","5","204069","0.0-1.0-0.2","+","null","","","","","",""
"","2714","html-keyboard-response","6","206785","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","207299","0.0-1.0-0.3","+","null","","","","","",""
"","1116","html-keyboard-response","8","208417","0.0-1.0-1.3","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","9","208920","0.0-1.0-0.4","+","null","","","","","",""
"","1254","html-keyboard-response","10","210177","0.0-1.0-1.4","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","210680","0.0-1.0-0.5","+","null","","","","","",""
"","892","html-keyboard-response","12","211573","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","212075","0.0-1.0-0.6","+","null","","","","","",""
"","1534","html-keyboard-response","14","213609","0.0-1.0-1.6","crante","n","null","noncog","pseudo","N","prac","null"
"[{""page_index"":0,""viewing_time"":34960}]","34961","instructions","15","248571","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","249190","0.0-3.0-0.0","+","null","","","","","",""
"","1786","html-keyboard-response","17","250978","0.0-3.0-1.0","liso","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","18","251491","0.0-3.0-0.1","+","null","","","","","",""
"","1151","html-keyboard-response","19","252644","0.0-3.0-1.1","dacada","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","253148","0.0-3.0-0.2","+","null","","","","","",""
"","3035","html-keyboard-response","21","256185","0.0-3.0-1.2","dilheira","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","256699","0.0-3.0-0.3","+","null","","","","","",""
"","819","html-keyboard-response","23","257520","0.0-3.0-1.3","faínas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","258036","0.0-3.0-0.4","+","null","","","","","",""
"","1236","html-keyboard-response","25","259273","0.0-3.0-1.4","delomir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","26","259787","0.0-3.0-0.5","+","null","","","","","",""
"","986","html-keyboard-response","27","260774","0.0-3.0-1.5","montanha","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","28","261278","0.0-3.0-0.6","+","null","","","","","",""
"","752","html-keyboard-response","29","262032","0.0-3.0-1.6","fusbão","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","262537","0.0-3.0-0.7","+","null","","","","","",""
"","706","html-keyboard-response","31","263244","0.0-3.0-1.7","melão","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","32","263756","0.0-3.0-0.8","+","null","","","","","",""
"","1174","html-keyboard-response","33","264931","0.0-3.0-1.8","verceja","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","34","265443","0.0-3.0-0.9","+","null","","","","","",""
"","936","html-keyboard-response","35","266380","0.0-3.0-1.9","instruído","s","a","noncog","word","S","exp","9"
"","null","html-keyboard-response","36","266892","0.0-3.0-0.10","+","null","","","","","",""
"","1714","html-keyboard-response","37","268607","0.0-3.0-1.10","aivões","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","38","269121","0.0-3.0-0.11","+","null","","","","","",""
"","1466","html-keyboard-response","39","270587","0.0-3.0-1.11","morar","s","v","noncog","word","S","exp","5"
"","null","html-keyboard-response","40","271092","0.0-3.0-0.12","+","null","","","","","",""
"","2878","html-keyboard-response","41","273971","0.0-3.0-1.12","raspar","s","v","noncog","word","S","exp","6"
"","null","html-keyboard-response","42","274474","0.0-3.0-0.13","+","null","","","","","",""
"","1361","html-keyboard-response","43","275835","0.0-3.0-1.13","alfabeto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","44","276343","0.0-3.0-0.14","+","null","","","","","",""
"","709","html-keyboard-response","45","277054","0.0-3.0-1.14","agressivo","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","46","277566","0.0-3.0-0.15","+","null","","","","","",""
"","1317","html-keyboard-response","47","278884","0.0-3.0-1.15","mua","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","48","279385","0.0-3.0-0.16","+","null","","","","","",""
"","1575","html-keyboard-response","49","280962","0.0-3.0-1.16","usfiga","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","50","281474","0.0-3.0-0.17","+","null","","","","","",""
"","1423","html-keyboard-response","51","282897","0.0-3.0-1.17","macras","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","52","283413","0.0-3.0-0.18","+","null","","","","","",""
"","1226","html-keyboard-response","53","284639","0.0-3.0-1.18","esprotiar","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","54","285150","0.0-3.0-0.19","+","null","","","","","",""
"","1502","html-keyboard-response","55","286652","0.0-3.0-1.19","telafonir","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","56","287164","0.0-3.0-0.20","+","null","","","","","",""
"","814","html-keyboard-response","57","287980","0.0-3.0-1.20","pulmão","s","n","noncog","word","S","exp","6"
"","null","html-keyboard-response","58","288495","0.0-3.0-0.21","+","null","","","","","",""
"","945","html-keyboard-response","59","289442","0.0-3.0-1.21","liberal","s","a","cog","word","S","exp","7"
"","null","html-keyboard-response","60","289951","0.0-3.0-0.22","+","null","","","","","",""
"","1320","html-keyboard-response","61","291272","0.0-3.0-1.22","tatear","n","v","cog","word","S","exp","6"
"","null","html-keyboard-response","62","291781","0.0-3.0-0.23","+","null","","","","","",""
"","2766","html-keyboard-response","63","294550","0.0-3.0-1.23","brincar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","64","295058","0.0-3.0-0.24","+","null","","","","","",""
"","1191","html-keyboard-response","65","296249","0.0-3.0-1.24","atrasar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","66","296760","0.0-3.0-0.25","+","null","","","","","",""
"","882","html-keyboard-response","67","297642","0.0-3.0-1.25","nome","s","n","cog","word","S","exp","4"
"","null","html-keyboard-response","68","298155","0.0-3.0-0.26","+","null","","","","","",""
"","1124","html-keyboard-response","69","299280","0.0-3.0-1.26","dobradiça","s","n","noncog","word","S","exp","9"
"","null","html-keyboard-response","70","299789","0.0-3.0-0.27","+","null","","","","","",""
"","596","html-keyboard-response","71","300386","0.0-3.0-1.27","gilha","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","72","300888","0.0-3.0-0.28","+","null","","","","","",""
"","742","html-keyboard-response","73","301631","0.0-3.0-1.28","cinema","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","74","302148","0.0-3.0-0.29","+","null","","","","","",""
"","720","html-keyboard-response","75","302869","0.0-3.0-1.29","conjerto","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","76","303379","0.0-3.0-0.30","+","null","","","","","",""
"","619","html-keyboard-response","77","303999","0.0-3.0-1.30","distraído","s","a","cog","word","S","exp","9"
"","null","html-keyboard-response","78","304511","0.0-3.0-0.31","+","null","","","","","",""
"","717","html-keyboard-response","79","305229","0.0-3.0-1.31","farcas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","80","305735","0.0-3.0-0.32","+","null","","","","","",""
"","640","html-keyboard-response","81","306375","0.0-3.0-1.32","parceter","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","82","306878","0.0-3.0-0.33","+","null","","","","","",""
"","1245","html-keyboard-response","83","308126","0.0-3.0-1.33","bibarconato","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","84","308631","0.0-3.0-0.34","+","null","","","","","",""
"","1529","html-keyboard-response","85","310161","0.0-3.0-1.34","enxerido","s","a","noncog","word","S","exp","8"
"","null","html-keyboard-response","86","310670","0.0-3.0-0.35","+","null","","","","","",""
"","1045","html-keyboard-response","87","311715","0.0-3.0-1.35","morno","s","a","noncog","word","S","exp","5"
"","null","html-keyboard-response","88","312216","0.0-3.0-0.36","+","null","","","","","",""
"","1035","html-keyboard-response","89","313252","0.0-3.0-1.36","cascata","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","90","313755","0.0-3.0-0.37","+","null","","","","","",""
"","639","html-keyboard-response","91","314396","0.0-3.0-1.37","chato","s","n","noncog","word","S","exp","5"
"","null","html-keyboard-response","92","314913","0.0-3.0-0.38","+","null","","","","","",""
"","1028","html-keyboard-response","93","315942","0.0-3.0-1.38","glória","s","n","cog","word","S","exp","6"
"","null","html-keyboard-response","94","316450","0.0-3.0-0.39","+","null","","","","","",""
"","663","html-keyboard-response","95","317114","0.0-3.0-1.39","agravar","s","v","cog","word","S","exp","7"
"","null","html-keyboard-response","96","317630","0.0-3.0-0.40","+","null","","","","","",""
"","890","html-keyboard-response","97","318521","0.0-3.0-1.40","mudança","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","98","319033","0.0-3.0-0.41","+","null","","","","","",""
"","769","html-keyboard-response","99","319803","0.0-3.0-1.41","país","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","100","320310","0.0-3.0-0.42","+","null","","","","","",""
"","667","html-keyboard-response","101","320979","0.0-3.0-1.42","temperar","s","v","noncog","word","S","exp","8"
"","null","html-keyboard-response","102","321491","0.0-3.0-0.43","+","null","","","","","",""
"","735","html-keyboard-response","103","322227","0.0-3.0-1.43","lorfaz","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","104","322742","0.0-3.0-0.44","+","null","","","","","",""
"","520","html-keyboard-response","105","323262","0.0-3.0-1.44","fino","s","a","cog","word","S","exp","4"
"","null","html-keyboard-response","106","323771","0.0-3.0-0.45","+","null","","","","","",""
"","503","html-keyboard-response","107","324275","0.0-3.0-1.45","gertas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","108","324777","0.0-3.0-0.46","+","null","","","","","",""
"","597","html-keyboard-response","109","325374","0.0-3.0-1.46","uçar","s","null","noncog","pseudo","N","exp","null"
