"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":13317}]","13317","instructions","0","13319","0.0-0.0","","","",""
"","null","html-keyboard-response","1","13935","0.0-1.0-0.0","+","null","",""
"","4272","audio-keyboard-response","2","18507","0.0-1.0-1.0","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","3","19026","0.0-1.0-0.1","+","null","",""
"","2149","audio-keyboard-response","4","21215","0.0-1.0-1.1","../audio/teste-vocab--34.mp3","s","tronco","twon"
"","null","html-keyboard-response","5","21722","0.0-1.0-0.2","+","null","",""
"","2312","audio-keyboard-response","6","24071","0.0-1.0-1.2","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","7","24579","0.0-1.0-0.3","+","null","",""
"","2059","audio-keyboard-response","8","26687","0.0-1.0-1.3","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","9","27199","0.0-1.0-0.4","+","null","",""
"","1432","audio-keyboard-response","10","28670","0.0-1.0-1.4","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","11","29181","0.0-1.0-0.5","+","null","",""
"","2739","audio-keyboard-response","12","31960","0.0-1.0-1.5","../audio/teste-vocab--99.mp3","n","arqueólogo","akeyológ"
"","null","html-keyboard-response","13","32464","0.0-1.0-0.6","+","null","",""
"","2059","audio-keyboard-response","14","34569","0.0-1.0-1.6","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","15","35074","0.0-1.0-0.7","+","null","",""
"","1931","audio-keyboard-response","16","37046","0.0-1.0-1.7","../audio/teste-vocab--126.mp3","s","ambulante","promennen"
"","null","html-keyboard-response","17","37563","0.0-1.0-0.8","+","null","",""
"","1560","audio-keyboard-response","18","39161","0.0-1.0-1.8","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","19","39663","0.0-1.0-0.9","+","null","",""
"","1549","audio-keyboard-response","20","41258","0.0-1.0-1.9","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","21","41762","0.0-1.0-0.10","+","null","",""
"","1459","audio-keyboard-response","22","43247","0.0-1.0-1.10","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","23","43756","0.0-1.0-0.11","+","null","",""
"","1848","audio-keyboard-response","24","45636","0.0-1.0-1.11","../audio/teste-vocab--86.mp3","s","pensar","panse"
"","null","html-keyboard-response","25","46144","0.0-1.0-0.12","+","null","",""
"","1571","audio-keyboard-response","26","47746","0.0-1.0-1.12","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","27","48264","0.0-1.0-0.13","+","null","",""
"","3189","audio-keyboard-response","28","51496","0.0-1.0-1.13","../audio/teste-vocab--70.mp3","n","funil","antónwa"
"","null","html-keyboard-response","29","52011","0.0-1.0-0.14","+","null","",""
"","2691","audio-keyboard-response","30","54755","0.0-1.0-1.14","../audio/teste-vocab--66.mp3","s","cooperação","koperasyon"
"","null","html-keyboard-response","31","55263","0.0-1.0-0.15","+","null","",""
"","2429","audio-keyboard-response","32","57760","0.0-1.0-1.15","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","33","58263","0.0-1.0-0.16","+","null","",""
"","1669","audio-keyboard-response","34","59999","0.0-1.0-1.16","../audio/teste-vocab--02.mp3","s","homem","gason"
"","null","html-keyboard-response","35","60511","0.0-1.0-0.17","+","null","",""
"","1581","audio-keyboard-response","36","62150","0.0-1.0-1.17","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","37","62652","0.0-1.0-0.18","+","null","",""
