"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":2017}]","2017","instructions","0","2020","0.0-0.0","",""
"","16404","survey-text","1","18537","0.0-1.0","{""age"":""18\n""}",""
"","11443","survey-multi-choice","2","30080","0.0-2.0","{""sex"":""Feminino""}","[0]"
"","29263","survey-multi-choice","3","59453","0.0-3.0","{""own_schooling"":""Ensino Fundamental""}","[0]"
"","67130","survey-multi-choice","4","126693","0.0-4.0","{""mother_schooling"":""Ensino Médio completo""}","[0]"
"","12549","survey-multi-choice","5","139351","0.0-5.0","{""father_schooling"":""Ensino Médio completo""}","[0]"
"","526986","survey-html-form","6","666446","0.0-6.0","{""language_0"":""crioulo haitiano"",""listening_0"":""2"",""speaking_0"":""2"",""reading_0"":""4"",""writing_0"":""4"",""language_1"":""frances"",""listening_1"":""10"",""speaking_1"":""10"",""reading_1"":""5"",""writing_1"":""5"",""language_2"":""portugues"",""listening_2"":""18"",""speaking_2"":""17"",""reading_2"":""18"",""writing_2"":""18"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","169272","survey-html-form","7","835826","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""F"",""listening_1"":""5"",""speaking_1"":""5"",""reading_1"":""5"",""writing_1"":""5"",""language_2"":""P"",""listening_2"":""1"",""speaking_2"":""1"",""reading_2"":""1"",""writing_2"":""1""}",""
"","11878","survey-text","8","847830","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","42468","survey-text","9","890420","0.0-9.0","{""country_of_residence"":""Brasil 2021 julho""}",""
"","44596","survey-html-form","10","935127","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","286991","survey-html-form","11","1222224","0.0-11.0","{""language_0"":""C"",""context_0"":""1,3"",""language_1"":""F"",""context_1"":""2,1"",""language_2"":""P"",""context_2"":""2,1,3"",""language_3"":"""",""context_3"":""""}",""
"","253827","survey-html-form","12","1476165","0.0-12.0","{""language_0"":""C"",""home_0"":""1"",""friends_0"":""1"",""school_0"":""2"",""work_0"":""-"",""computer_0"":""-"",""games_0"":""-"",""language_1"":""F"",""home_1"":""-"",""friends_1"":""5"",""school_1"":""5"",""work_1"":""-"",""computer_1"":""-"",""games_1"":""-"",""language_2"":""P"",""home_2"":""17"",""friends_2"":""17"",""school_2"":""17"",""work_2"":""-"",""computer_2"":""17"",""games_2"":""17"",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","63601","survey-likert","13","1539875","0.0-13.0","{""new_languages"":3}","[0]"
"","182109","survey-html-form","14","1722096","0.0-14.0","{""language_0"":""C"",""listen_0"":""7"",""talk_0"":""6"",""read_0"":""6"",""write_0"":""7"",""language_1"":""F"",""listen_1"":""6"",""talk_1"":""5"",""read_1"":""7"",""write_1"":""6"",""language_2"":""P"",""listen_2"":""4"",""talk_2"":""2"",""read_2"":""7"",""write_2"":""4"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
